2e0b608d628f488b2012209437506e324eba1a35d369aabb4b25fac8c2fa3986,7ee93d7e2ce6afcf9d59178dea37a56f86b541fb1aae0192b4723d28c6825c70,db0ff54d106463fdb1150d477931afe7467b956c7c96cbc5b642dcb7e58d5ce1,9085580220c69b4701d8310e83fe9d2b13589bda36af6886763ac1ba1117cedc,eb18874a7fb7104a2eab00af8e6574baf58fdd133865c5e19a6447faa44da795,f6e9133d4bb3177b592913a51d20ead826d2c8edddbfd441fa41dc5713fbb3f7,9cae5657ecdfce6206b0c2cb5e99281236835d3d1c3c060e2bc03561e4c648b9,6dcab7328ba8f528a9df203b22688d1a48cff58a85252eed16e390cafa5f655e,9b9ef1e05b2ebd5cd6aa14e0ab9d3ba3274dde7872e0f2dad73eef29c323356d,53a994db0fad0660c1ce1322a59851633a5939513b5f5a9490fef1b76f5b30ef,0d76bb079dd4b5a56e7c1f48ff63ca28be931891c131b8471137989de8ce7352,e8d0045342c3e9acaa45f815ad130d1ed6d7071685aa6a4415ab5d233a50daac,0cedaf78a7ed542e190e493ebac2ad387223e9339204ea7f954dfc47a9cffb77,2a73dec04d9922afe3074e1a05416d378e569bfdcb509fcc9b182b97634fd1da,619b08d1e9fd776dfd3258f6dd3be2e1048031c0419a7cdfff1dab7a1bf3c55a,5c6c64bf16d74cbf7a33839f1aef09c509e613ed5271dca9f5bc6d8780c4ac2b,00d8102943718c2e0996a92a2faafee94fa4c24eecb7ee1a2278b56f7b6d106d,8dc1d99977c4854e4d29072be62d7343f6d2ddfe284aa01fe61fc449a136f283,2281dcb8f8ebbb3b8484d262f7aa239a89fc4f97ea07b8f6edf97d00724c10a8,7a6db66f97d3b52eca11a702f8700712871203f467632bdeed194926d4943ebd,8b9770dc46118d2ccde8befff1a21404f25eccdbd5da84c23cb2ea98cc4d9b7f,fe3061a946c464393c637dcdc2d237c5575d6dcc29b3e75b328f18a7c6e325db,f2c282fd15a950e1ffafa77c25d07bd32d0490296791946a0c5cb35394c579e7,28c6f33170e7ff08defb238c7178dabaa51379858fc11b5bf2eed498479cced2,ccf89dcf161d56969647c5e30c6e9aad54928476686c56ef0a9c8ca6fbab5d1f,024dcef0ce60489e1be1a028ec20d031ca9056f3b962963d1477096731b3cbe6,443cd11a7e09d545491ff22d02ebf30751e84346e770e596c2bbf8d506ec11b5,cde06edc921b98bc794f936f2f4660be2a646283444d6fdcdecb2f670977af88,161aebe8224dc108ab3b31302897ff22bb078a95e280dd5f578172cdc801624c,d9c87079688c236b5f18af8091dc477bc27535b2a2a02be30da0955a16b22e1b,3e48b2e0fc9234f427f463a329b0eee7f7d00162d64cb816058b80a8d25ff0f1,113c033bc1c53737280e87017e7f2b9a68caee88442a750a461ab62e29770a1e,9ebfea2f1edd5f7a2632041c7a17530fa2411849c1f94be21e2faa960dabc4de,cf3dd961cce2f7e3ecd6645e64dbec0902e963a321cbc69c90d93d177ce6ce61,d17c2181d82325fbb86a2f3d34dbe4547ae0f45783a29cab7b527ca8431c3a58,4a4940a586044183ea113e28a03a20e596c3478d74444656e8e22d39d9ff7596,15ac768e1bb7c9a827da0d136b0be0c090a746de0948229bc7b7a700076bc0ec,88a2b804ca4ea3c60f8c43937da403c5bc8b4b5fe28394943c36a2d302b3c4be,60304b30bff6288aa9746929a8c97b8676ed7107d5b45ee8a28b9f6cfc477030
"41.77","0","0","0","0","0","10000","376","15","0.3","0","100101","2.73","0","20","0","0","31001","0","0","0.25","0","0","0","0","0","1","2.28","0","51.04","0","0","0","0","5.67","0","0","0","0"
"62.65","0","0","0","0","0","20000","451.2","30","0.45","0","100101","3.27","0","20","0","0","31001","0","0","0.37","0","0","0","0","0","2","2.73","0","61.24","0","0","0","0","8.5","0","0","0","0"
"83.54","0","0","0","0","0","30000","526.4","100","0.6","0","100101","3.82","0","20","0","0","31001","0","0","0.5","0","0","0","0","0","3","3.19","0","71.45","0","0","0","0","11.34","0","0","0","0"
"104.5","0","0","0","0","0","40000","601.6","120","0.75","0","100101","4.36","0","20","0","0","31001","0","0","0.62","0","0","0","0","0","4","3.64","0","81.66","0","0","0","0","14.17","0","0","0","0"
"125.4","0","0","0","0","0","50000","676.8","150","0.9","0","100101","4.91","0","20","0","0","31001","0","0","0.75","0","0","0","0","0","5","4.1","0","91.87","0","0","0","0","17.01","0","0","0","0"
"167.1","0","0","0","0","0","0","789.5","0","1.2","0","100101","5.73","0","120","0","0","31001","0","0","1","0","0","10","0","0","6","4.79","2","1847.2","0","0","0","0","22.68","0","0","0","0"
"36.75","0","0","0","0","0","10000","330.8","15","0.25","0","100201","2.28","0","0","0","0","31002","0","0","0.22","4.68","0","0","0","0","1","1.94","0","0","0","0","0","0","0","0","0","42.15","0"
"55.12","0","0","0","0","0","20000","396.9","30","0.37","0","100201","2.73","0","0","0","0","31002","0","0","0.33","7.02","0","0","0","0","2","2.32","0","0","0","0","0","0","0","0","0","50.58","0"
"73.5","0","0","0","0","0","30000","463","100","0.5","0","100201","3.19","0","0","0","0","31002","0","0","0.44","9.36","0","0","0","0","3","2.71","0","0","0","0","0","0","0","0","0","59.01","0"
"91.87","0","0","0","0","0","40000","529.2","120","0.62","0","100201","3.64","0","0","0","0","31002","0","0","0.55","11.7","0","0","0","0","4","3.1","0","0","0","0","0","0","0","0","0","67.44","0"
"110.3","0","0","0","0","0","50000","595.3","150","0.75","0","100201","4.1","0","0","0","0","31002","0","0","0.66","14.04","0","0","0","0","5","3.49","0","0","0","0","0","0","0","0","0","75.87","0"
"147","0","0","0","0","0","0","694.5","0","1","0","100201","4.79","0","0","0","0","31002","0","0","0.88","18.72","30","0","0","0","6","34.07","0","0","0","0","0","0","0","0","0","548.6","0"
"40.62","0","0","0","0","0","10000","365.6","15","0.3","0","100301","2.73","0","15","0","0","31003","0","0","0.28","0","0","0","0","0","1","2.51","0","51.04","0","0","0","0","5.67","0","0","0","0"
"60.93","0","0","0","0","0","20000","438.7","30","0.45","0","100301","3.27","0","15","0","0","31003","0","0","0.42","0","0","0","0","0","2","3.01","0","61.24","0","0","0","0","8.5","0","0","0","0"
"81.24","0","0","0","0","0","30000","511.9","100","0.6","0","100301","3.82","0","15","0","0","31003","0","0","0.56","0","0","0","0","0","3","3.51","0","71.45","0","0","0","0","11.34","0","0","0","0"
"101.6","0","0","0","0","0","40000","585","120","0.75","0","100301","4.36","0","15","0","0","31003","0","0","0.7","0","0","0","0","0","4","4.01","0","81.66","0","0","0","0","14.17","0","0","0","0"
"121.9","0","0","0","0","0","50000","658.1","150","0.9","0","100301","4.91","0","15","0","0","31003","0","0","0.84","0","0","0","0","0","5","4.51","0","91.87","0","0","0","0","17.01","0","0","0","0"
