b48e19b6863c9c3337adb9cd9efa2ea3f1756c1421a6e57d65152f1fdadd6e5d,37b3b111c3939d5384dc1b502c5be7fbe39cb80f1f007474980c5ae74515481a,a7a63076f64e2727fe36ed399d882589ceaca4f3d5e21d8313210eb5d962eed2,4b03b44025b6e612f948ca0cb96e19ab0b61b1b6d4adf782af360c340f790c61,281c6fc2ce7052b64e9fc0fcd90bffc78b74bec8516867097cec4dfcb91e2bfa,d2953b9787de0a8cf267b499065fb2ae0fb26e06550ead12beeb2a542ba84c61,2cb1402599f6a343bf4dda1b33de36548dbb0a09e454934e47f1af0aeb0b80f5,06b4550f7e83d1f484846b826743364fc18665430705156a722c4b83df7bdcc4
"1","【料理】ダイスが2個に増える","0","1","0","1","1","52001"
"1","【料理】ダイスの目が必ず「1」になる","0","2","0","1","1","52002"
"3","【料理】次のターン数のカウントをスキップする","0","3","0","2","1","52002"
"1","【料理】ダイスの目が必ず「4」になる","0","4","0","1","1","52004"
"1","【料理】ダイスの目が\n「4・5・6」のみになる","0","5","0","1","1","52006"
"1","【料理】ダイスの目が1回目は必ず「3」に、2回目は必ず「6」になる","0","6","0","1","1","52007"
"1","【料理】ダイスの目が必ず「5」になる","0","7","0","1","1","52003"
"2","【料理】マイルマスの獲得マイルが200%アップする","0","8","0","7","1","52008"
"3","【イベント】次のターン数のカウントをスキップする","0","9","0","2","2","4"
"2","【イベント】マイルマスの獲得マイルが100%アップする","0","10","0","3","2","5"
"2","【イベント】ミニゲームの獲得マイルが100%アップする","0","11","0","5","2","6"
"3","【イベント】マイルショップの全商品が20%以上割引される","0","12","0","4","2","7"
"1","【料理】ダイスの目が1回目は必ず「8」に、2回目は必ず「1」になる","0","13","0","1","1","52009"
"2","【料理】「マイルマス」「トレ\nジャーマス」「ショップマス」のRANKが1つ上がる","0","14","0","6","1","52010"
"1","【料理】ダイスの目が1回目は必ず「2」に、2回目は必ず「7」になる","0","15","0","1","1","52011"
"1","【料理】ダイスの目が\n「1・2・3」のみになる","0","16","0","1","1","52012"
"3","【料理】次のターン数のカウントをスキップする","0","17","0","2","1","52012"
"1","【料理】移動時にマイルマスをスキップできる","0","18","0","8","1","52014"
"1","【料理】次回移動時に1マス分多く進める","0","19","0","1","1","52005"
"1","【料理】次回移動時に1マス分多く進める","2","20","2","1","1","52014"
"1","【料理】ダイスが2個に増える","0","21","0","1","1","52015"
"1","【料理】次回移動時に1マス分多く進める","0","22","0","1","1","52015"
"1","【料理】ダイスの目が必ず「6」になる","0","23","0","1","1","52016"
"1","【料理】移動系カテゴリーの料理が食べられなくなる","0","24","0","9","1","52017"
"1","【料理】ダイスの目が必ず「3」になる","0","25","0","1","1","52018"
"1","【料理】ダイスの目が必ず「8」になる","0","26","0","1","1","52019"
"3","【イベント】次のターン数のカウントをスキップする","0","27","0","2","2","98011"
"3","【イベント】次のターン数のカウントをスキップする","0","28","0","2","2","98012"
"2","【料理】移動時にマイルマスをスキップできる","0","29","0","10","1","52020"
"1","【料理】次回移動時に1マス分多く進める","2","30","2","1","1","52020"
"2","【料理】移動時にトレジャーマスをスキップできる","0","31","0","10","1","52021"
"1","【料理】ダイスの「5と6」の\n目が出る確率が3倍になる","0","32","0","1","1","52022"
"1","【料理】ダイスの目が1回目は必ず「6」に、2回目は必ず「3」になる","0","33","0","1","1","52023"
"1","【料理】次回移動時に3マス分多く進める","0","34","0","1","1","52024"
"2","【料理】移動時に「マイルマス」「トレジャーマス」をスキップできる","0","35","0","10","1","52025"
"1","【料理】ダイスの目が必ず「5」になる","0","36","0","1","1","52027"
"1","最大ｎマイルを入手する","0","1001","0","99","3","1"
"1","ダイスを1回振りなおせる","0","1002","0","99","3","2"
"1","ダイスを1回振りなおせる_有効ターン2","0","1003","0","99","3","3"
"1","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","0","11001","0","126501","3","1001"
"1","【仲間】最大1000マイルを入手する","0","11002","0","105301","3","1002"
"1","【仲間】料理を1つ入手する","0","11003","0","126401","3","1003"
"1","【仲間】ダイスの目を1回振りなおせる","0","11004","0","100501","3","1004"
"1","【仲間】ダイスの目を2回振りなおせる","0","11005","0","101301","3","1005"
"1","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","0","11006","0","104301","3","1006"
"1","【仲間】出目が3のダイスを同時に振ってどちらか選択できる","0","11007","0","102701","3","1007"
"1","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","0","11008","0","100901","3","1008"
"1","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","0","11009","0","105101","3","1009"
"1","【仲間】最大1000マイルを入手する","0","11010","0","101801","3","1010"
"1","【仲間】ダイスの表と裏どちらを適用するか選択できる","0","11011","0","129701","3","1011"
"1","【仲間】ダイスの目を1回振りなおせる","0","11012","0","101601","3","1012"
"1","【仲間】ダイスの目を2回振りなおせる","0","11013","0","105601","3","1013"
"1","【仲間】出目が3のダイスを同時に振ってどちらか選択できる","0","11014","0","102001","3","1014"
"1","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","0","11015","0","129601","3","1015"
"1","【仲間】出たダイスの目が奇数だった場合、ライバルを1ターン休みにできる","0","11016","0","100401","3","1016"
"1","【仲間】出たダイスの目が偶数だった場合、1マス分多く進める","0","11017","0","127701","3","1017"
"1","【仲間】出たダイスの目が奇数だった場合、ライバルを1ターン休みにできる","0","11018","0","127801","3","1018"
"1","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","0","11019","0","104801","3","1019"
"1","【仲間】ダイスの目を2回振りなおせる","0","11020","0","104701","3","1020"
"1","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","0","11021","0","105001","3","1021"
"1","【仲間】最大2000マイルを入手する","0","11022","0","103201","3","1022"
"1","【仲間】福引券を1枚入手する","0","11023","0","130901","3","1023"
"1","【仲間】料理を1つ入手する","0","11024","0","102501","3","1024"
