c82df534912f94c8f10ca6a5d361b48aaf406827ffbefdc03c0e551192f4a12f,caca9aed9e478b5a588eb1e5a9228999309fc1d5b8ce6147e93f6d1921b7f6bd,cabc7928adc5b4fe18f744bd896a4e2b38cc41ffe8c8c677f0e9834686b86b77,66ed0cb2deb50380ac90bf124b59cc361b7d932a6b4bd2129233ce78e769012f,e573d1aa7e495322186561499c7639bac7b6df3cd490ff71bb379af160636f9d,0a62796f2e407313685e34b6b6c1c585a9cebba924e4b825651e653065adfe68,6fe271683d3e217dfd406d405a6b56d9ed670c9c5639677e37e0450f9736e723,23dab71f8aee0a264640cfb942496deb3fe4cffba14c129eb96610e35f033863,645b1f13dae2bfdf5f2236e2664b4a3406ed5a02b7d28e5e94d904d8c8230822,9ac3ee279726349587a9f8785ab069ea31c21ed7bfd71be7293bc126c571ea31,09e889979e5eddf7a715cd531be62e312c361c50bb679258675acef58eecbf5c,8a02aecf8a7d46fa311af211b2d53fb8962188b3933cb3208e7cd687165f865f,8499104003ff51583dd16f44a30c8bdfd9ea4ec979b9628b3e7225b980bd9924,ec2c9bd5ef5bcd713c29000350c040d9a24d4079b3e7fbf4b285715f3249b460,d084197aba71bb3e9087d3c348ab126b9925ffd732b08436c3b4ebe272f456e3,8452d43709c047da13d979ba7cec9c2a2a4e9eb73e49adb602a262a7d28e712e,c836ffd2a044d94e1c841ebbbed60c7807d36a4bcd8be4c411da87303dbc562a,332d290352156779c7c763016efb87672351c0429577f9506081003f7bf2c964,1546dd24393acb240274121433b618fffc401b9ba06f5f34d2e46db477056b4d,1b24af17b78ba10c9535dec478bfd5a8cfd85bcbe94c344c9f405eb2744a52f2
"1001","『ミヤコ』の口癖であり、ユニオンバースト名にもなっているフレーズ","12427","4","4","4","1","してやるの","12390","12420","これ、何と言う？","1","","1","12398","1001","4","4","12375","プリンにしてやるの"
"1008","半年に一度開催される障害物競走。4人の走者から、1着のキャラを予想しよう！","12477","5","5","5","1","ランドソル","12531","12489","これ、何と言う？","1","","1","12523","0","5","5","12521","ランドソル杯"
"1010","『レイ（★6）』のユニオンバースト、その剣捌きはまるで嵐のように","12473","5","5","5","1","テンペスト","12531","12506","これ、何と言う？","1","","1","12488","0","5","5","12486","スラッシュテンペスト"
"1011","『マホ（★6）』のユニオンバースト。マホマホ王国ここにあり？","12480","5","5","5","1","キングダム","12531","12464","これ、何と言う？","2","","1","12512","0","5","5","12461","メルヘンキングダム"
"1012","『ハツネ（★6）』のユニオンバースト。夜空を照らす、まばゆい流星","12451","5","5","5","1","ミーティア","12540","12486","これ、何と言う？","2","","1","12450","0","5","5","12511","シューティング☆ミーティア"
"1013","『ナナカ（★6）』のユニオンバースト。唯一無二の魔法の輝き","12479","5","5","5","1","グリッター","12522","12483","これ、何と言う？","2","","1","12540","0","5","5","12464","ナナカ・∞・グリッター"
"1014","『カスミ』のユニオンバースト。悪しき者をとらえる魔法の檻","12490","5","5","5","1","クリミナル","12522","12511","これ、何と言う？","1","","1","12523","0","5","5","12463","クリミナルプリズン"
"1015","『イオ（★6）』のユニオンバースト。敵すら虜にする魅惑の旋風","12525","5","5","5","1","サイクロン","12452","12463","これ、何と言う？","2","","1","12531","0","5","5","12469","ハートラブサイクロン"
"1016","『ミミ（★6）』のユニオンバースト。ぴょんぴょん革命を巻き起こせ","12373","4","4","4","1","うさぎさん","12373","12366","これ、何と言う？","2","","1","12435","0","4","4","12358","うさぎさんレボリューション"
"1017","『ヨリ（★6）』のユニオンバースト。裁きの雷槍は空を切り裂く","12522","5","5","5","1","ジャベリン","12515","12505","これ、何と言う？","2","","1","12531","0","5","5","12472","ジャッジメントジャベリン"
"1018","『サレン（★6）』のユニオンバースト。終焉をもたらす不死鳥の羽ばたき","12463","5","5","5","1","フェニクス","12455","12491","これ、何と言う？","2","エンドオブフェニックス","1","12473","0","5","5","12501","エンドオブフェニックス"
"1019","『マヒル（★6）』のユニオンバースト。相棒と放つ絆の一撃","12505","5","5","5","1","エリザベス","12522","12470","これ、何と言う？","2","","1","12473","0","5","5","12456","エリザベスコンビネーション"
