c1a3d02cd40aa616010c04b45d5a15792e7b873680c1aceebbb0f545a81a78a1,5982c98a806d07d43ec9915a7c3cb2d66c272b5a729883aeeb61fe1cddaa9e35,1209af35d64d157a22a5e9fa405e0de315fdd7c3866e99dc11fa395ed069a770,cb18be5324935343acb7544aa5b5d775e9aac131e292345be2ae15b066d0540e,d5f276ec87572a409ba38a0c20e0c63491924f7f5465cbf986484ea2ce8936d8,8c9f3cd9c7202d3ac59e273d1ebec750f43a6f0da1c8c489f8780065564fe4f7,22a17f119dfc4082b2f05352389d1ea6fbb7415c887260f8a9508c04612a80fa,159fd02e4c34c6f36e3f82045c5676ffedc680ae560fcf254401db855f1f100c,423096970a0ad977a74b2bc81da5098a371e186792d963b974eacace2fd2eb1b,538466449ebff3ad4a66f5349dd9b4dbde9cf219734a6f0b21ca15eb506ff925,7d94ef44dec1f3d0c875a46d97c532184d33d77cf74d5745e435fdbb0ee4caff
"10001","10003","10002","0","0","0","0","50047","0","0","0"
"10001","10003","10002","0","0","0","0","50051","0","0","0"
"10001","10003","10002","0","0","10004","0","50061","0","0","0"
"10001","10003","10002","0","0","10005","0","50067","0","0","0"
"10001","10003","10002","0","10006","10005","0","50079","0","0","0"
"10001","10003","10002","0","10006","10005","0","50084","0","10007","0"
"10001","10003","10002","0","10006","10005","0","50094","0","10007","10008"
"10001","10003","10002","0","10006","10005","0","50108","10009","10007","10008"
"10001","10003","10002","0","10006","10005","0","50116","10009","10007","10008"
"10001","10003","10002","10010","10006","10005","0","50119","10009","10007","10008"
"10001","10003","10002","10010","10006","10005","0","50129","10009","10007","10008"
"10001","10003","10002","10010","10006","10005","10011","50140","10009","10007","10008"
"10002","10005","10003","10011","10007","10006","10012","50151","10010","10008","10009"
"10009","10011","10010","0","10013","10012","0","50162","0","0","0"
"10010","10012","10011","0","10014","10013","0","50172","0","0","0"
"10011","10013","10012","0","10015","10014","0","50183","0","0","0"
"10013","10015","10014","0","10005","10007","0","50190","0","0","0"
"10012","10014","10013","0","10016","10015","0","50195","0","0","0"
"10014","10016","10015","0","10002","10003","0","50200","0","0","0"
"10013","10015","10014","0","10017","10016","0","50217","0","0","0"
"10015","10017","10016","0","10009","10010","0","50231","0","0","0"
"10014","10016","10015","0","10018","10017","0","50237","0","0","0"
"10019","0","0","0","0","0","0","50248","0","0","0"
"10011","0","0","0","0","0","0","50261","0","0","0"
"10020","0","0","0","0","0","0","50267","0","0","0"
"10021","0","0","0","0","0","0","50278","0","0","0"
"10006","0","0","0","0","0","0","50291","0","0","0"
"10022","0","0","0","0","0","0","50298","0","0","0"
"10023","0","0","0","0","0","0","50309","0","0","0"
"10024","0","0","0","0","0","0","50321","0","0","0"
"10025","0","0","0","0","0","0","50331","0","0","0"
