e654b15a7f1dcbe7139b78490f6b3af5893c87d89bf09631314a5a8917ccf91b,4ef5349ae272d05994edb0fce49686f8ea288beab1da04b72e6d7af4ab6de5a4,6fab89d315eb37b22948cc38adb1cab052a926cc18a47d12e28ecc344461ef79,82ad93201d86e14e8a5921145018084dbcf45b1fe32d904690f450cf4c15b9b0,1b53655d51e51bdba6cc583cfd5e2f1c54676f6e403efb263ef9c30f31da77fe,50aaeafe6a71e28dd19b9abf1e264b3baaa27c06ea4dac3803a8db48c2a4ca60,247a44e0c592fbcc288bc1ed5bb6a64540fa42118dc3a5b38c17c09a6da4df95,55d0677f21bee78d7cb89829669dd70c96dbeffdb78a2003dc41130dc7d79c5a,678bc8710351abd77fe519a3cae658384e6b7017b065e766da5cb9fd66e85d39
"唯一無二の","2","0","1","1","3","1","1","1"
"完全無欠の","2","0","2","1","3","1","1","1"
"ランドソル最速の","2","1","3","1","3","1","1","1"
"明鏡止水の","2","0","4","1","3","1","1","1"
"史上最速の","2","0","5","1","3","1","1","1"
"最強最速の","2","0","6","1","3","1","1","1"
"アルティメット","2","2","7","1","3","1","1","1"
"百点満点","2","0","8","1","3","1","1","1"
"最優秀","2","0","9","1","3","1","1","1"
"一騎当千の","2","0","10","1","3","1","1","1"
"唯一無二の","2","0","11","1","3","1","1","1"
"天下無双の","2","0","12","1","3","1","1","1"
"泰然自若の","2","0","13","1","3","1","0","1"
"ハイパー","2","0","14","1","3","1","0","1"
"光速の","2","0","15","1","3","1","0","1"
"稀代の","2","0","16","1","3","1","0","1"
"極限の","2","0","17","1","3","1","0","1"
"至高の","2","0","18","1","3","1","0","1"
"煌めく","2","0","19","1","3","1","0","1"
"百戦錬磨の","2","0","20","1","3","1","0","1"
"疾風迅雷の","2","0","21","1","3","1","0","1"
"電光石火の","2","0","22","1","3","1","0","1"
"変幻自在の","2","0","23","1","3","0","1","1"
"空前絶後の","2","0","24","1","3","0","1","1"
"レペゼン","2","0","25","1","3","0","1","1"
"音速の","2","0","26","1","3","0","1","1"
"常識外れの","2","0","27","1","3","0","1","1"
"獅子奮迅の","2","0","28","1","3","0","1","1"
"勇猛果敢なる","2","2","29","1","3","0","1","1"
"威風堂々たる","2","2","30","1","3","0","1","1"
"急がば回れ","2","0","31","1","3","0","1","1"
"心頭滅却","2","0","32","1","3","0","1","1"
"夢見る","2","0","33","1","3","0","0","1"
"ナイス","2","0","34","1","3","0","0","1"
"そこそこの","2","0","35","1","3","0","0","1"
"若葉マークの","2","2","36","1","3","0","0","1"
"未来ある","2","0","37","1","3","0","0","1"
"新米","2","0","38","1","3","0","0","1"
"駆け出しの","2","0","39","1","3","0","0","1"
"ぼちぼちの","2","0","40","1","3","0","0","1"
"新進気鋭の","2","0","41","1","3","0","0","1"
"不撓不屈の","2","0","42","1","3","0","0","1"
"七転八起の","2","0","43","1","3","0","0","1"
"がんばれ","2","0","44","1","3","0","0","1"
"選ばれし","2","0","45","2","3","1","1","1"
"アルティメット","2","2","46","2","3","1","1","1"
"オーシャンブルー","2","1","47","2","3","1","1","1"
"海に愛された","2","2","48","2","3","1","1","1"
"大海を統べる","2","2","49","2","3","1","1","1"
"伝説の","2","0","50","2","3","1","1","1"
"世界を揺るがす","2","2","51","2","3","1","1","1"
"スーパーワイルド","2","1","52","2","3","1","1","1"
"神がかった","2","0","53","2","3","1","1","1"
"ぶっちぎりの","2","2","54","2","3","1","1","1"
"誰にも止められない","2","1","55","2","3","1","0","1"
"血湧き肉躍る","2","2","56","2","3","1","0","1"
"メガ","2","0","57","2","3","1","0","1"
"ナチュラルボーン","2","1","58","2","3","1","0","1"
"大海原の","2","0","59","2","3","1","0","1"
"アドレナリン全開の","2","1","60","2","3","1","0","1"
"オーマ産の","2","0","61","2","3","1","0","1"
"手練れの","2","0","62","2","3","1","0","1"
"歴戦の","2","0","63","2","3","1","0","1"
"水を得た","2","0","64","2","3","1","0","1"
"ド級の","2","0","65","2","3","1","0","1"
"ただ者ではない","2","2","66","2","3","0","1","1"
"勇猛なる","2","0","67","2","3","0","1","1"
"ひた走る","2","0","68","2","3","0","1","1"
"目にも留まらぬ","2","2","69","2","3","0","1","1"
"荒波の","2","0","70","2","3","0","1","1"
"レイジオブ","2","0","71","2","3","0","1","1"
"負けず嫌いの","2","2","72","2","3","0","1","1"
"伸び盛りの","2","0","73","2","3","0","1","1"
"型破りの","2","0","74","2","3","0","1","1"
"暴れる","2","0","75","2","3","0","1","1"
"荒れくるう","2","0","76","2","3","0","1","1"
"うわさの","2","0","77","2","3","0","0","1"
"ビーチサイドの","2","2","78","2","3","0","0","1"
"元気はつらつ","2","2","79","2","3","0","0","1"
"常夏を駆ける","2","2","80","2","3","0","0","1"
"マッスル","2","0","81","2","3","0","0","1"
"金波銀波の","2","0","82","2","3","0","0","1"
"生まれながらの","2","2","83","2","3","0","0","1"
"お騒がせの","2","0","84","2","3","0","0","1"
"未知数の","2","0","85","2","3","0","0","1"
"激ヤバ","2","0","86","2","3","0","0","1"
"負けるな","2","0","87","2","3","0","0","1"
"ライトスピード","2","2","88","3","3","1","1","1"
"プロフェッショナル","2","1","89","3","3","1","1","1"
"トップオブ","2","0","90","3","3","1","1","1"
"ゴールドメダル","2","2","91","3","3","1","1","1"
"アルティメット","2","2","92","3","3","1","1","1"
"ザ・ベスト","2","0","93","3","3","1","1","1"
"パーフェクト","2","2","94","3","3","1","1","1"
"100年に1人の","2","1","95","3","3","1","1","1"
"レジェンダリー","2","2","96","3","3","1","1","1"
"超一流の","2","0","97","3","3","1","1","1"
"世界の","2","0","98","3","3","1","1","1"
"選ばれし","2","0","99","3","3","1","1","1"
"アスレチック","2","2","100","3","3","1","0","1"
"偉大なる","2","0","101","3","3","1","0","1"
"スーパーソニック","2","1","102","3","3","1","0","1"
"ウルトラ","2","0","103","3","3","1","0","1"
"MVPの","2","0","104","3","3","1","0","1"
"ジェネラル","2","0","105","3","3","1","0","1"
"オールラウンド","2","2","106","3","3","1","0","1"
"シルバーメダル","2","2","107","3","3","1","0","1"
"聖なる","2","0","108","3","3","1","0","1"
"エクセレント","2","2","109","3","3","1","0","1"
"一流の","2","0","110","3","3","1","0","1"
"マーベラス","2","0","111","3","3","1","0","1"
"スーパー","2","0","112","3","3","0","1","1"
"フライング","2","0","113","3","3","0","1","1"
"グレート","2","0","114","3","3","0","1","1"
"アンストッパブル","2","1","115","3","3","0","1","1"
"カリスマ","2","0","116","3","3","0","1","1"
"万能","2","0","117","3","3","0","1","1"
"新世代の","2","0","118","3","3","0","1","1"
"栄えある","2","0","119","3","3","0","1","1"
"異彩を放つ","2","0","120","3","3","0","1","1"
"いぶし銀の","2","0","121","3","3","0","1","1"
"天下の","2","0","122","3","3","0","1","1"
"レッツゴー","2","0","123","3","3","0","0","1"
"グッド","2","0","124","3","3","0","0","1"
"ホップ・ステップ・","2","1","125","3","3","0","0","1"
"伸びしろのある","2","2","126","3","3","0","0","1"
"ブロンズメダル","2","2","127","3","3","0","0","1"
"期待の","2","0","128","3","3","0","0","1"
"ジャンピング","2","2","129","3","3","0","0","1"
"新時代の","2","0","130","3","3","0","0","1"
"知る人ぞ知る","2","2","131","3","3","0","0","1"
