137b7817085559355374df9d7313ea9eb3f2e1115548e715b8cda4d8ec54fe8a,08a3be5c91d64783360d4327e768a3a8ebfc69f326bb9effd21881f6367f7f96,fd100b2d65b8aa4da9fb39dad05027681238c5b484d0476af42a2cd757b0e067,93bc75427adfe2135cfcf2ce182924ff7ba713ce9301fc7e63e93cb4f336d48f,389656d328c6982313d43c9b986075c41ae7b759c630133748c2729a11e0d7a1
"0","999","20","1","30"
"24","999","20","2","30"
"32","999","21","3","30"
"40","999","21","4","30"
"48","999","22","5","30"
"64","999","22","6","30"
"80","999","23","7","30"
"96","999","23","8","30"
"120","999","24","9","30"
"168","999","24","10","30"
"224","999","25","11","30"
"280","999","25","12","30"
"344","999","26","13","30"
"420","999","26","14","30"
"502","999","27","15","30"
"584","999","28","16","30"
"666","999","30","17","30"
"748","999","35","18","30"
"830","999","40","19","30"
"930","999","45","20","30"
"1040","999","50","21","30"
"1178","999","55","22","30"
"1316","999","60","23","30"
"1458","999","70","24","30"
"1604","999","80","25","30"
"1755","999","85","26","30"
"1910","999","85","27","30"
"2070","999","86","28","30"
"2235","999","87","29","30"
"2405","999","88","30","30"
"2579","999","89","31","30"
"2760","999","90","32","30"
"2945","999","91","33","30"
"3136","999","92","34","30"
"3333","999","93","35","30"
"3535","999","94","36","30"
"3744","999","95","37","30"
"3974","999","96","38","30"
"4226","999","97","39","30"
"4504","999","98","40","30"
"4810","999","99","41","30"
"5152","999","100","42","30"
"5535","999","101","43","30"
"5965","999","102","44","30"
"6446","999","103","45","30"
"7004","999","104","46","30"
"7651","999","105","47","30"
"8401","999","106","48","30"
"9272","999","107","49","30"
"10282","999","108","50","30"
"11454","999","109","51","30"
"12813","999","110","52","30"
"14389","999","111","53","30"
"16159","999","112","54","30"
"17929","999","113","55","30"
"19699","999","114","56","30"
"21469","999","115","57","30"
"23239","999","116","58","30"
"25009","999","117","59","30"
"26779","999","118","60","30"
"28549","999","119","61","30"
"30319","999","120","62","30"
"32089","999","121","63","30"
"33859","999","122","64","30"
"35629","999","123","65","30"
"38284","999","124","66","30"
"40939","999","125","67","30"
"43594","999","126","68","30"
"46249","999","127","69","30"
"48904","999","128","70","30"
"51559","999","129","71","30"
"54214","999","130","72","30"
"56869","999","131","73","30"
"59524","999","132","74","30"
"62179","999","133","75","30"
"64834","999","134","76","30"
"68374","999","135","77","30"
"71914","999","136","78","30"
"75454","999","137","79","30"
"78994","999","138","80","30"
"82534","999","139","81","30"
"86074","999","140","82","30"
"89614","999","141","83","30"
"93154","999","142","84","30"
"96694","999","143","85","30"
"100234","999","144","86","30"
"103774","999","145","87","30"
"107314","999","146","88","30"
"110854","999","147","89","30"
"114394","999","148","90","30"
"117934","999","149","91","30"
"121474","999","150","92","30"
"125014","999","151","93","30"
"128554","999","152","94","30"
"132094","999","153","95","30"
"135634","999","154","96","30"
"139174","999","155","97","30"
"142714","999","156","98","30"
"146254","999","157","99","30"
"149794","999","158","100","30"
"153334","999","159","101","30"
"157759","999","160","102","30"
"162184","999","161","103","30"
"166609","999","162","104","30"
"171034","999","163","105","30"
"175459","999","164","106","30"
"179884","999","165","107","30"
"184309","999","166","108","30"
"188734","999","167","109","30"
"193159","999","168","110","30"
"197584","999","169","111","30"
"202009","999","170","112","30"
"206434","999","171","113","30"
"210859","999","172","114","30"
"215284","999","173","115","30"
"219709","999","174","116","30"
"224134","999","175","117","30"
"228559","999","176","118","30"
"232984","999","177","119","30"
"237409","999","178","120","30"
"241834","999","179","121","30"
"246259","999","180","122","30"
"250684","999","181","123","30"
"255109","999","182","124","30"
"259534","999","183","125","30"
"263959","999","184","126","30"
"268384","999","185","127","30"
"272809","999","186","128","30"
"277234","999","187","129","30"
"281659","999","188","130","30"
"286084","999","189","131","30"
"290509","999","190","132","30"
"294934","999","191","133","30"
"299359","999","192","134","30"
"303784","999","193","135","30"
"308209","999","194","136","30"
"312634","999","195","137","30"
"317059","999","196","138","30"
"321484","999","197","139","30"
"325909","999","198","140","30"
"330334","999","199","141","30"
"334759","999","200","142","30"
"339184","999","201","143","30"
"343609","999","202","144","30"
"348034","999","203","145","30"
"352459","999","204","146","30"
"356884","999","205","147","30"
"361309","999","206","148","30"
"365734","999","207","149","30"
"370159","999","208","150","30"
"374584","999","209","151","30"
"379009","999","210","152","30"
"383434","999","211","153","30"
"387859","999","212","154","30"
"392284","999","213","155","30"
"396709","999","214","156","30"
"401134","999","215","157","30"
"405559","999","216","158","30"
"409984","999","217","159","30"
"414409","999","218","160","30"
"418834","999","219","161","30"
"423259","999","220","162","30"
"427684","999","221","163","30"
"432109","999","222","164","30"
"436534","999","223","165","30"
"440959","999","224","166","30"
"445384","999","225","167","30"
"449809","999","226","168","30"
"454234","999","227","169","30"
"458659","999","228","170","30"
"463084","999","229","171","30"
"467509","999","230","172","30"
"471934","999","231","173","30"
"476359","999","232","174","30"
"480784","999","233","175","30"
"485209","999","234","176","30"
"489634","999","235","177","30"
"494059","999","236","178","30"
"498484","999","237","179","30"
"502909","999","238","180","30"
"507334","999","239","181","30"
"511759","999","240","182","30"
"516184","999","241","183","30"
"520609","999","242","184","30"
"525034","999","243","185","30"
"529459","999","244","186","30"
"533884","999","245","187","30"
"538309","999","246","188","30"
"542734","999","247","189","30"
"547159","999","248","190","30"
"551584","999","249","191","30"
"556009","999","250","192","30"
"560434","999","251","193","30"
"564859","999","252","194","30"
"569284","999","253","195","30"
"573709","999","254","196","30"
"578134","999","255","197","30"
"582559","999","256","198","30"
"586984","999","257","199","30"
"591409","999","258","200","30"
"595834","999","259","201","30"
"600259","999","260","202","30"
"604684","999","261","203","30"
"609109","999","262","204","30"
"613534","999","263","205","30"
"617959","999","264","206","30"
"622384","999","265","207","30"
"626809","999","266","208","30"
"631234","999","267","209","30"
"635659","999","268","210","30"
"640084","999","269","211","30"
"644509","999","270","212","30"
"648934","999","271","213","30"
"653359","999","272","214","30"
"657784","999","273","215","30"
"662209","999","274","216","30"
"666634","999","275","217","30"
"671059","999","276","218","30"
"675484","999","277","219","30"
"679909","999","278","220","30"
"684334","999","279","221","30"
"688759","999","280","222","30"
"693184","999","281","223","30"
"697609","999","282","224","30"
"702034","999","283","225","30"
"706459","999","284","226","30"
"710884","999","285","227","30"
"715309","999","286","228","30"
"719734","999","287","229","30"
"724159","999","288","230","30"
"728584","999","289","231","30"
"733009","999","290","232","30"
"737434","999","291","233","30"
"741859","999","292","234","30"
"746284","999","293","235","30"
"750709","999","294","236","30"
"755134","999","295","237","30"
"759559","999","296","238","30"
"763984","999","297","239","30"
"768409","999","298","240","30"
"772834","999","299","241","30"
"777259","999","300","242","30"
"781684","999","301","243","30"
"786109","999","302","244","30"
"790534","999","303","245","30"
"794959","999","304","246","30"
"799384","999","305","247","30"
"803809","999","306","248","30"
"808234","999","307","249","30"
"812659","999","308","250","30"
"817084","999","309","251","30"
"821509","999","310","252","30"
"825934","999","311","253","30"
"830359","999","312","254","30"
"834784","999","313","255","30"
"839209","999","314","256","30"
"843634","999","315","257","30"
"848059","999","316","258","30"
"852484","999","317","259","30"
"856909","999","318","260","30"
"861334","999","319","261","30"
"865759","999","320","262","30"
"870184","999","321","263","30"
"874609","999","322","264","30"
"879034","999","323","265","30"
"883459","999","324","266","30"
"887884","999","325","267","30"
"892309","999","326","268","30"
"896734","999","327","269","30"
"901159","999","328","270","30"
"905584","999","329","271","30"
"910009","999","330","272","30"
"914434","999","331","273","30"
"918859","999","332","274","30"
"923284","999","333","275","30"
"927709","999","334","276","30"
"932134","999","335","277","30"
"936559","999","336","278","30"
"940984","999","337","279","30"
"945409","999","338","280","30"
"949834","999","339","281","30"
"954259","999","340","282","30"
"958684","999","341","283","30"
"963109","999","342","284","30"
"967534","999","343","285","30"
"971959","999","344","286","30"
"976384","999","345","287","30"
"980809","999","346","288","30"
"985234","999","347","289","30"
"989659","999","348","290","30"
"994084","999","349","291","30"
"998509","999","350","292","30"
"1002934","999","351","293","30"
"1007359","999","352","294","30"
"1011784","999","353","295","30"
"1016209","999","354","296","30"
"1020634","999","355","297","30"
"1025059","999","356","298","30"
"1029484","999","357","299","30"
"1033909","999","358","300","30"
"1038334","999","359","301","30"
"1042759","999","360","302","30"
"1047184","999","361","303","30"
"1051609","999","362","304","30"
"1056034","999","363","305","30"
"1060459","999","364","306","30"
"1064884","999","365","307","30"
"1069309","999","366","308","30"
"1073734","999","367","309","30"
"1078159","999","368","310","30"
"1082584","999","369","311","30"
"1087009","999","370","312","30"
"1091434","999","371","313","30"
"1095859","999","372","314","30"
"1100284","999","373","315","30"
"1104709","999","374","316","30"
"1109134","999","375","317","30"
"1113559","999","376","318","30"
"1117984","999","377","319","30"
"1122409","999","378","320","30"
"1126834","999","379","321","30"
"1131259","999","380","322","30"
"1135684","999","381","323","30"
"1140109","999","382","324","30"
"1144534","999","383","325","30"
"1148959","999","384","326","30"
"1153384","999","385","327","30"
"1157809","999","386","328","30"
"1162234","999","387","329","30"
"1166659","999","388","330","30"
"1171084","999","389","331","30"
"1175509","999","390","332","30"
"1179934","999","391","333","30"
"1184359","999","392","334","30"
"1188784","999","393","335","30"
"1193209","999","394","336","30"
"1197634","999","395","337","30"
"1202059","999","396","338","30"
"1206484","999","397","339","30"
"1210909","999","398","340","30"
"1215334","999","399","341","30"
"1219759","999","400","342","30"
"1224184","999","401","343","30"
"1228609","999","402","344","30"
"1233034","999","403","345","30"
"1237459","999","404","346","30"
"1241884","999","405","347","30"
"1246309","999","406","348","30"
"1250734","999","407","349","30"
"1255159","999","408","350","30"
"1259584","999","409","351","30"
"1264009","999","410","352","30"
"1268434","999","411","353","30"
"1272859","999","412","354","30"
"1277284","999","413","355","30"
"1281709","999","414","356","30"
"1286134","999","415","357","30"
"1290559","999","416","358","30"
"1294984","999","417","359","30"
"1299409","999","418","360","30"
"1303834","999","419","361","30"
"1308259","999","420","362","30"
"1312684","999","421","363","30"
"1317109","999","422","364","30"
"1321534","999","423","365","30"
"1325959","999","424","366","30"
"1330384","999","425","367","30"
"1334809","999","426","368","30"
"1339234","999","427","369","30"
"1343659","999","428","370","30"
"1348084","999","429","371","30"
"1352509","999","430","372","30"
"1356934","999","431","373","30"
"1361359","999","432","374","30"
"1365784","999","433","375","30"
"1370209","999","434","376","30"
"1374634","999","435","377","30"
"1379059","999","436","378","30"
"1383484","999","437","379","30"
"1387909","999","438","380","30"
"1392334","999","439","381","30"
"1396759","999","440","382","30"
"1401184","999","441","383","30"
"1405609","999","442","384","30"
"1410034","999","443","385","30"
"1414459","999","444","386","30"
