a07a689122df46cb5b339fbeb52adb1d56af6dccde28d8f0065e23add942bb71,78601f2cb03d1be9d3ae621a616f017ffc9bc30f4a1c909034c88516f538d5e8,c14b794b9e61b2aab535e32a8f4cc6c4dd30a3e691db01aafbec2fc2e229dfc5,0e2a85077f6810f5abf14894c101dee152ecb51eb0c136787952c8a34fbb7c60
"1","170","1","1000"
"1","175","2","3000"
"1","180","3","5000"
"1","185","4","7000"
"1","190","5","9000"
"1","195","6","11000"
"1","200","7","13000"
"1","205","8","15000"
"1","210","9","17000"
"1","215","10","19000"
"1","220","11","21000"
"1","225","12","23000"
"1","230","13","25000"
"1","232","14","27000"
"1","234","15","29000"
"1","236","16","31000"
"1","238","17","33000"
"1","240","18","35000"
"1","242","19","37000"
"1","244","20","39000"
"1","246","21","41000"
"1","248","22","43000"
"1","250","23","9999999"
"2","170","24","1000"
"2","175","25","3000"
"2","180","26","5000"
"2","185","27","7000"
"2","190","28","9000"
"2","195","29","11000"
"2","200","30","13000"
"2","205","31","15000"
"2","210","32","17000"
"2","215","33","19000"
"2","220","34","21000"
"2","225","35","23000"
"2","230","36","25000"
"2","232","37","27000"
"2","234","38","29000"
"2","236","39","31000"
"2","238","40","33000"
"2","240","41","35000"
"2","242","42","37000"
"2","244","43","39000"
"2","246","44","41000"
"2","248","45","43000"
"2","250","46","9999999"
"3","170","47","1000"
"3","175","48","3000"
"3","180","49","5000"
"3","185","50","7000"
"3","190","51","9000"
"3","195","52","11000"
"3","200","53","13000"
"3","205","54","15000"
"3","210","55","17000"
"3","215","56","19000"
"3","220","57","21000"
"3","225","58","23000"
"3","230","59","25000"
"3","232","60","27000"
"3","234","61","29000"
"3","236","62","31000"
"3","238","63","33000"
"3","240","64","35000"
"3","242","65","37000"
"3","244","66","39000"
"3","246","67","41000"
"3","248","68","43000"
"3","250","69","9999999"
