9e8377b6f3753d5eeea0772a3d02185b090629b862806d3abee28303a4434207,16730fa7fa38d1c2bd3ba55a32faebf47c5b4769b96222768c926157abc9673d,84aba8c92d09d0b9cf3cfe0d14ac6e1242f5f5fd5264e02b428833eb2f4b705b,a70e3aabb3888a9d96a68bf390963df48794ca8b7e3a2ed429d14cb60c76c65f,a0abf7b82eefbcfbe7262f228bf7f628e26e3b6686adb156ab29c500c16f1716,a181bcc612786a17fc1a2e2b855aa45b3a8e591925460300b7ad963213d9e68d,6fc95c7bb96f484e5d5ad2ce45914da995ab92dd9430a3289aa6049b8570f1ad,fa6f2f3635ebd28c01fdb5feb03910781b1ab161beb578eb549bf02a0f946711,3806d0c107430a65a66579334e179341813ce570db347497e40112db2febaa6b,59e24d705a64e9fa242819bf3abaa5d5ea2f0fc25169fc813754177a5a55fb2b
"10001","2018/01/01 15:00:00","2019/02/15 14:59:59","0","0","0","0","0","0","0"
"10002","2019/02/15 15:00:00","2019/02/28 11:59:59","1","1001","0","1","0","1001","1001"
"10003","2019/02/28 12:00:00","2020/02/15 14:59:59","1","0","0","1","0","0","1001"
"10004","2020/02/15 15:00:00","2020/02/29 11:59:59","1","1002","1002","1","0","1002","1001"
"10005","2020/02/15 15:00:00","2020/02/29 11:59:59","2","1002","1002","2","2015009","1002","1002"
"10006","2020/02/29 12:00:00","2020/08/15 14:59:59","1","0","0","1","0","0","1001"
"10007","2020/02/29 12:00:00","2020/08/15 14:59:59","2","0","0","2","2015009","0","1002"
"10008","2020/08/15 15:00:00","2020/08/31 11:59:59","1","0","1003","1","0","0","1001"
"10009","2020/08/15 15:00:00","2020/08/31 11:59:59","2","0","1003","2","2015009","0","1002"
"10010","2020/08/31 12:00:00","2021/02/15 14:59:59","1","0","0","1","0","0","1001"
"10011","2020/08/31 12:00:00","2021/02/15 14:59:59","2","0","0","2","2015009","0","1002"
"10012","2021/02/15 15:00:00","2021/02/28 11:59:59","1","1003","1004","1","0","1003","1001"
"10013","2021/02/15 15:00:00","2021/02/28 11:59:59","2","1003","1004","2","2015009","1003","1002"
"10014","2021/02/28 12:00:00","2021/08/15 14:59:59","1","0","0","1","0","0","1001"
"10015","2021/02/28 12:00:00","2021/08/15 14:59:59","2","0","0","2","2015009","0","1002"
"10016","2021/08/15 15:00:00","2021/08/31 11:59:59","1","0","1005","1","0","0","1001"
"10017","2021/08/15 15:00:00","2021/08/31 11:59:59","2","0","1005","2","2015009","0","1002"
"10018","2021/08/31 12:00:00","2022/02/15 14:59:59","1","0","0","1","0","0","1001"
"10019","2021/08/31 12:00:00","2022/02/15 14:59:59","2","0","0","2","2015009","0","1002"
"10020","2022/02/15 15:00:00","2022/02/28 11:59:59","1","1004","1006","1","0","1004","1001"
"10021","2022/02/15 15:00:00","2022/02/28 11:59:59","2","1004","1006","2","2015009","1004","1002"
"10022","2022/02/28 12:00:00","2022/08/15 14:59:59","1","0","0","1","0","0","1001"
"10023","2022/02/28 12:00:00","2022/08/15 14:59:59","2","0","0","2","2015009","0","1002"
"10024","2022/08/15 15:00:00","2022/08/31 11:59:59","1","0","1007","1","0","0","1001"
"10025","2022/08/15 15:00:00","2022/08/31 11:59:59","2","0","1007","2","2015009","0","1002"
"10026","2022/08/31 12:00:00","2023/02/15 14:59:59","1","0","0","1","0","0","1001"
"10027","2022/08/31 12:00:00","2023/02/15 14:59:59","2","0","0","2","2015009","0","1002"
"10028","2023/02/15 15:00:00","2023/02/28 11:59:59","1","1005","1008","1","0","1005","1001"
"10029","2023/02/15 15:00:00","2023/02/28 11:59:59","2","1005","1008","2","2015009","1005","1002"
"10030","2023/02/28 12:00:00","2023/08/15 14:59:59","1","0","0","1","0","0","1001"
"10031","2023/02/28 12:00:00","2023/08/15 14:59:59","2","0","0","2","2015009","0","1002"
"10032","2023/03/15 12:00:00","2023/08/15 14:59:59","2","0","0","3","2201005","0","1003"
"10033","2023/08/15 15:00:00","2023/08/31 11:59:59","1","0","1009","1","0","0","1001"
"10034","2023/08/15 15:00:00","2023/08/31 11:59:59","2","0","1009","2","2015009","0","1002"
"10035","2023/08/31 12:00:00","2024/02/14 23:59:59","1","0","0","1","0","0","1001"
"10036","2023/08/31 12:00:00","2024/02/14 23:59:59","2","0","0","2","2015009","0","1002"
"10037","2023/08/15 15:00:00","2023/08/31 11:59:59","2","0","1009","3","2201005","0","1003"
"10038","2023/08/31 12:00:00","2024/02/14 23:59:59","3","0","0","3","2201005","0","1003"
"10039","2024/02/15","2024/02/29 11:59:59","1","1006","1010","1","0","1006","1001"
"10040","2024/02/15","2024/02/29 11:59:59","2","1006","1010","2","2015009","1006","1002"
"10041","2024/02/29 12:00:00","2024/08/15 14:59:59","1","0","0","1","0","0","1001"
"10042","2024/02/29 12:00:00","2024/08/15 14:59:59","2","0","0","2","2015009","0","1002"
"10043","2024/02/15","2024/02/29 11:59:59","3","1006","1010","3","2201005","1006","1003"
"10044","2024/02/29 12:00:00","2024/08/15 14:59:59","3","0","0","3","2201005","0","1003"
"10045","2024/08/15 15:00:00","2024/08/16 11:59:59","1","0","1011","1","0","0","1001"
"10046","2024/08/15 15:00:00","2024/08/16 11:59:59","2","0","1011","2","2015009","0","1002"
"10047","2024/08/15 15:00:00","2024/08/16 11:59:59","3","0","1011","3","2201005","0","1003"
"10048","2024/08/16 12:00:00","2024/08/21 11:59:59","1","0","1011","1","0","0","1004"
"10049","2024/08/16 12:00:00","2024/08/21 11:59:59","2","0","1011","2","2015009","0","1004"
"10050","2024/08/16 12:00:00","2024/08/21 11:59:59","3","0","1011","3","2201005","0","1004"
"10051","2024/08/21 12:00:00","2024/08/31 11:59:59","1","0","1011","1","0","0","1001"
"10052","2024/08/21 12:00:00","2024/08/31 11:59:59","2","0","1011","2","2015009","0","1002"
