5a1fd9f33d06185c9b6601c056cdb11d3ca3c42fa219027e19dd9847d642a567,5db08e0602d87a5f8763336128dcca411d3a75c85ac42f15079384a3ab4c03ed,fc602bf96586aae7cf032d5e09ca29d7b7cd2849a4c4671c8a2d08e9ddbbabee,b88d66933916b2bb8ed4646ffae646f52ac29b5b82ee0bbe071a85ddd1840ec9,2f28b4f986fdc7d14413f40374d59d792940cc8d6b2764f42bdbd68cc6e4a068
"3001","1","3","803100201","0"
"3001","2","3","803100202","0"
"3001","3","3","803100203","0"
"3002","1","3","803100204","0"
"3002","2","3","803100205","0"
"3002","3","3","803100206","0"
"3003","1","3","803100207","0"
"3003","2","3","803100208","0"
"3003","3","3","803100209","0"
"3004","1","3","803100210","0"
"3004","2","3","803100211","0"
"3004","3","3","803100212","0"
"3005","1","3","803100213","0"
"3005","2","3","803100214","0"
"3005","3","3","803100215","0"
"3006","1","3","803100216","0"
"3006","2","3","803100217","0"
"3006","3","3","803100218","0"
"3007","1","3","803100219","0"
"3007","2","3","803100220","0"
"3007","3","3","803100221","0"
