aa6516f2ac0add640685d87f6849cabd3a4be99e9c16a965660833730c1dd4e8,a09b3c53843273420d0d79f2a3f312bfe3e1348f75097fb7e9174ba90405eb99,afa840a787446cac76fe77106bebda81b04a3720bc67e96d7f307d5855201f5f,38f9df649317f8a4ea438453487c3545d59b16fba2f0636bb4fe64cf8314d793,8d5d5287daf9e59f003ffbd81454dd825ec9c318b6927d17136358af581bff6c
"1045","1037","1","1025","1048"
"1006","1062","2","1003","1004"
"1006","1029","3","1003","1007"
"1062","1025","4","1047","1045"
"1022","1003","5","1043","1013"
"1019","1048","6","1006","1004"
"1003","1037","7","1062","1033"
"1059","1050","8","1056","1053"
"1034","1030","9","1001","1011"
"1026","1046","10","1063","1023"
"1044","1014","11","1020","1038"
"1040","1008","12","1017","1049"
"1020","1017","13","1023","1044"
"1020","1001","14","1017","1038"
"1008","1036","15","1030","1048"
"1011","1004","16","1044","1038"
"1022","1005","17","1043","1011"
"1047","1042","18","1046","1016"
"1063","1041","19","1014","1028"
"1058","1061","20","1052","1055"
"1024","1031","21","1025","1001"
"1005","1064","22","1024","1063"
"1044","1066","23","1040","1000"
"1010","1076","24","1000","1038"
"1043","1077","25","1003","1019"
"1068","1071","26","1070","1069"
"1090","1089","27","1092","1091"
"1099","1097","28","1098","1100"
"1103","1101","29","1102","1104"
"1107","1105","30","1106","1108"
"1021","1083","31","1012","1006"
"1084","1086","32","1087","1085"
"1096","1093","33","1094","1095"
