162c06ba648640de9587507734bf54a4df7b8c02046ea92c5f91bd65256684f9,c8ff79ba85400864551383727bc4898c866b6868fa628b329696a21bafdd4de1,0fcaedd40f481788ba20c44800a17a68679175c3e2da7662b996eeaa44afe5a8,a1b9753b68c07057378aa87d2e60461634bd426f37989151ac53d6bedab3998f,df5c1d1678b555d10a4f598f192f5673838792d8c54618c8d08ae6656d253aa1,e80b2b5c38ce22af0906b81718c3f0e2bccf219b5ebbcd0e988d6142b91deadf,def7bcf808bdfe72a4ae439e5ca5e919bab37fe67779599e58071a5f7c1d0d1f,9d4b82330ec518f3bbfd5016972eed29f7303c8a5477ac4fa0dbe9bca0b907e9,25267dad5fad6e26869531159df76889a515833462fb5b6ffc85fca211f45fec,5fa5f7a4fa233492704f0c872e9a57de9801bbafbeb14b461be6446a54c4447b,c54f22a6445b0570c7c852e5b648684426a33d0b3cd035d07359f0d1f6437ac1,f76792b669db93e23093fa51405df0351b6161c27abe4484e58095560005f864,7c11a4fd3191f77a622810272d8e71baf4b7c45f17d8146aa2befa17571e7fc9,ae18812728314465742c27bc90f62e49fb20073d6981c66df7b8a82331b8c6c9,6294f14758d43062104875785bcbbefe2ceec269b57ba4df7bf1d1b8a3eaf42c,786b14f4e36af0b9b2468e751d3368c6ea9065e3f9e0e797cdd07d2dcfd617d3,2ff3209aba35348604985d15793149eb80d2a1bddd4b8f97cca6b3d65b0ec7b4,12ad9c2f2e00b55e73190f926195b290574903e38fb0fd36db87f71450518b3b,0c46aa4577e7d6bb045451dc62b727859f9e80485c17c15bc2bb8b39ff2e6d20,b257e477f846799dab2bc5c86b7778857a0eb5b54f066a6c4d21ecce866b2316,53f6deccabeec4f046e8ddc7330c15d2c395c4bc9d5aae14c4cd3ca4c7f65aee
"901000102","2000001","0","0","0","901000105","901000106","512000011","0","901000103","51200001","0","0","0","0","100182","90","0","0","ラストバトル","0"
"901000201","2000002","bgm_M06","0","100022","901000104","0","512000021","bgm_M06","901000202","51200002","512000022","bgm_M06","0","0","100021","90","bgm_M06","0","チュートリアルバトル","0"
"901000201","2000006","bgm_M06","0","100022","901000104","0","512000021","bgm_M06","901000202","51200006","512000022","bgm_M06","0","0","100021","90","bgm_M06","0","チュートリアルバトル","0"
"901000301","2003005","bgm_M17","0","0","901000303","0","520030051","0","901000302","52003005","0","0","0","0","100671","90","bgm_M17_03_and_M29","0","ADVバトル","0"
"901000401","2004002","bgm_M06","0","0","901000403","0","520040021","0","901000402","52004002","0","0","0","0","100011","90","bgm_M06","0","ADVバトル","0"
"901000501","5001004","bgm_M47","0","0","0","0","550010041","0","0","55001004","0","0","0","0","81000111","90","bgm_M47","0","ジズバトル","0"
"901000401","5001006","bgm_M47","0","0","901000502","0","550010041","0","901000501","55001006","0","0","0","0","81000106","90","bgm_M47","0","ジズバトル","0"
"901000601","5002005","bgm_M102","0","0","901000603","0","550020051","0","901000602","55002005","0","0","0","0","81000205","90","bgm_M102","0","アルマバトル","0"
"901000601","5002006","bgm_M102","0","0","901000603","0","550020052","0","901000602","55002006","0","0","0","0","81000206","90","bgm_M102","0","アルマバトル","0"
"901000601","5003006","bgm_M109","0","0","901000702","901000703","550030061","0","901000701","55003006","0","0","0","0","81000305","90","bgm_M109","0","ガルグバトル","0"
"901000601","5004005","bgm_M116","0","0","901000802","901000803","550040051","0","901000801","55004005","0","0","0","0","100931","90","bgm_M116","0","水着バトル","0"
"901000906","5005006","bgm_M124","0","0","901000902","901000903","550050061","0","901000901","55005006","0","0","901000904","0","81000505","90","bgm_M124","0","島クジラバトル","0"
"901000906","5011005","bgm_M192","0","0","901001002","901001003","550110051","0","901001001","55011005","0","0","0","0","81001105","90","bgm_M192","0","バレンタインボスバトル","0"
"901001001","5011006","0","0","0","901001003","0","550110051","0","901001002","55011006","0","0","0","0","81001106","90","0","0","バレンタインボスバトル","0"
