b8dc614b777988a6d0f9a7aa27d37a29ec5d2852913d21727fa23d0ffec1f658,94a5957b8a9aae3a34152c1641fc7ef9b0ef0da96614b3a14271ae5dbfb881f6,8a2aa8cc7ee7ef6cb89b49c35e463106189b17535a10cb704172993f52405e6e,31a0c40e24ff387d00f574d3492ad3d5896ddf2c4bde9b03c0c1fb13734268d7,947d617eb5cee0c690f62949823a579c2d15493b30457dc11028fc4a2a8c9d7a
"30","100","10","10001","255"
"34","100","10","10002","110"
"37","100","10","10003","185"
"41","101","10","10004","388"
"46","100","10","10005","603"
"51","100","10","10006","696"
"54","100","10","10007","478"
"58","101","10","10008","240"
"62","100","10","10009","371"
"67","100","10","10010","253"
"71","100","10","10011","408"
"75","100","10","10012","342"
"78","101","10","10013","549"
"82","100","10","10014","696"
"87","100","10","10015","468"
"92","100","10","10016","641"
"96","100","10","10017","701"
"101","100","10","10018","531"
"105","100","10","10019","387"
"108","100","10","10020","315"
"112","100","10","10021","241"
"117","100","10","10022","316"
"120","100","10","10023","741"
"125","100","10","10024","1007"
"129","101","10","10025","730"
"133","100","10","10026","647"
"137","100","10","10027","836"
"140","100","10","10028","1087"
"143","100","10","10029","818"
"147","100","10","10030","558"
"152","101","10","10031","228"
"155","100","10","10032","569"
"159","101","10","10033","724"
"162","101","10","10034","367"
"165","100","10","10035","9"
"170","100","10","10036","101"
"173","101","10","10037","509"
"178","100","10","10038","214"
"183","400","10","10039","511"
"188","100","10","10040","477"
"192","100","10","10041","739"
"197","101","10","10042","485"
"202","100","10","10043","670"
"205","100","10","10044","339"
"210","100","10","10045","193"
"215","101","10","10046","376"
"219","100","10","10047","719"
"224","100","10","10048","1012"
"227","100","10","10049","1199"
"232","100","10","10050","870"
"237","100","10","10051","521"
"240","100","10","10052","632"
"244","100","10","10053","263"
"247","101","10","10054","180"
"252","100","10","10055","295"
"255","200","10","10056","594"
"259","100","10","10057","252"
"262","100","10","10058","623"
"265","101","10","10059","219"
"270","100","10","10060","379"
"273","101","10","10061","218"
"277","100","10","10062","478"
"281","100","10","10063","415"
"284","100","10","10064","700"
"289","100","10","10065","411"
"292","100","10","10066","326"
"296","101","10","10067","763"
"300","100","10","10068","591"
"304","300","10","10069","837"
"307","100","10","10070","432"
"310","100","10","10071","379"
"314","101","10","10072","31"
"317","100","10","10073","216"
"321","100","10","10074","412"
"326","101","10","10075","183"
"330","100","10","10076","57"
"335","100","10","10077","204"
"340","100","10","10078","486"
"345","100","10","10079","858"
"349","101","10","10080","584"
"352","100","10","10081","178"
"357","100","10","10082","448"
"361","100","10","10083","793"
"364","101","10","10084","1102"
"369","100","10","10085","975"
"374","100","10","10086","1132"
"379","101","10","10087","922"
"383","100","10","10088","752"
"386","100","10","10089","457"
"391","100","10","10090","367"
"395","101","10","10091","410"
"398","100","10","10092","93"
"402","100","10","10093","425"
"407","100","10","10094","54"
"410","100","10","10095","255"
"414","100","10","10096","318"
"417","101","10","10097","535"
"422","100","10","10098","467"
"425","100","10","10099","695"
"429","100","10","10100","820"
"434","101","10","10101","676"
"439","100","10","10102","880"
"444","100","10","10103","656"
"447","400","10","10104","849"
"452","100","10","10105","1077"
"456","100","10","10106","1195"
"461","101","10","10107","1053"
"464","100","10","10108","975"
"467","300","10","10109","762"
"471","100","10","10110","1120"
"476","101","10","10111","1062"
"481","100","10","10112","815"
"484","100","10","10113","680"
"488","100","10","10114","626"
"492","100","10","10115","658"
"495","100","10","10116","804"
"500","100","10","10117","645"
"503","200","10","10118","716"
"506","100","10","10119","792"
"510","100","10","10120","891"
"514","100","10","10121","1092"
"519","101","10","10122","1181"
"522","100","10","10123","1102"
"526","101","10","10124","1042"
"529","100","10","10125","846"
"532","100","10","10126","880"
"537","101","10","10127","945"
"541","100","10","10128","892"
"546","100","10","10129","1018"
"551","101","10","10130","866"
"554","100","10","10131","630"
"558","101","10","10132","543"
"563","100","10","10133","320"
"566","100","10","10134","421"
"570","101","10","10135","483"
"575","100","10","10136","600"
"580","100","10","10137","505"
"583","100","10","10138","321"
"586","101","10","10139","268"
"590","100","10","10140","373"
"595","100","10","10141","579"
"599","400","10","10142","386"
"604","100","10","10143","511"
"608","100","10","10144","599"
"612","101","10","10145","639"
"615","100","10","10146","731"
"619","300","10","10147","689"
"624","100","10","10148","478"
"628","101","10","10149","583"
"633","100","10","10150","338"
"636","100","10","10151","142"
"640","100","10","10152","383"
"644","100","10","10153","555"
"649","101","10","10154","510"
"653","100","10","10155","751"
"656","100","10","10156","529"
"659","100","10","10157","491"
"662","100","10","10158","265"
"665","100","10","10159","440"
"670","101","10","10160","236"
"674","100","10","10161","351"
"677","101","10","10162","302"
"682","100","10","10163","150"
"686","100","10","10164","71"
"690","101","10","10165","14"
"694","100","10","10166","211"
"698","101","10","10167","127"
"702","100","10","10168","375"
"706","100","10","10169","497"
"710","200","10","10170","412"
"714","100","10","10171","638"
"719","100","10","10172","835"
"722","100","10","10173","921"
"727","101","10","10174","828"
"730","100","10","10175","882"
"735","100","10","10176","658"
"739","101","10","10177","883"
"743","100","10","10178","1105"
"748","100","10","10179","1186"
"752","100","10","10180","979"
"755","400","10","10181","780"
"760","100","10","10182","644"
"764","100","10","10183","397"
"768","100","10","10184","561"
"773","100","10","10185","530"
"778","101","10","10186","653"
"783","100","10","10187","695"
"787","100","10","10188","531"
"793","101","10","10189","653"
"799","100","10","10190","414"
"804","100","10","10191","190"
"809","101","10","10192","147"
"815","100","10","10193","334"
"820","100","10","10194","270"
"825","100","10","10195","487"
"831","101","10","10196","590"
