0e41d9409671118970b9054ead6310e7b622ca0015a0238e7e09e1fecd3c8826,62273fc1218c608d8f09f0910401473dccca436fd313d5aa0aaec8367584f88f,1800fcfde5c28cef324d5b8a3f5af629cde7dea5018c0accd7ede3703fc03a6c,913de1e797ace17c2e7714505fa9ac94eaddef315b7132b7acb99ec1f8ddb47d,8ec5469a11e9a6294186af470eeef75f77056f11fd0077ff1823b8db22188954,e420105619022f193600b8c2af6d76620ccf9a531110131e840d6b0a43fd4584,b6784f2af320a48052cdb84f51200275adb292d2c0cf2585b477baf9c2f10cb4,652da0c825b5e92ef4274dace0412fdc460bb8120ee10568fd5e1d64809fc9e0,6d579eae156a7a1f6310b4f9297a2d9f68ae19d85c9d35363f8f12ebc4ac6e1e,7c0ac6ad6818e523669501f67fbb577257a933c218d00e3711d80ed57e944896,d311c6ffc1f2be48f6b37aa3dbeab396d31f3695ab002b6f7bb28193c2729f94
"1","102611","1","5","ttk_idle_def","1","-120","850","100","1","1010001"
"2","2","","31","","1","1","0","0","1","1010002"
"1","1","","31","","1","1","-80","-120","1","1010003"
"1","","","93","","","","","","1","1010004"
"vo_minigame_1005","vo_minigame_1005_top_000","","21","","","","0","0","1","1010005"
"102611","ttk_doya","0.3","3","","0.3","1","0","ttk_idle_doya","1","1010006"
"102611","任された仕事は\nきちんとやるよ","0","11","","0","","8","","1","1010007"
"0","","","91","","","","","","1","1010008"
"1","102611","1","5","ttk_idle_def","1","-120","850","100","2","1020001"
"2","2","","31","","1","1","0","0","2","1020002"
"1","1","","31","","1","1","-80","-120","2","1020003"
"1","","","93","","","","","","2","1020004"
"vo_minigame_1005","vo_minigame_1005_top_001","","21","","","","0","0","2","1020005"
"102611","ttk_idle_smile","0.3","3","","0.3","1","0","ttk_idle_def","2","1020006"
"102611","あたしの前に\n現れたこと\n後悔させてあげる","0","11","","0","","8","","2","1020007"
"0","","","91","","","","","","2","1020008"
"1","102611","1","5","ttk_idle_def","1","-120","850","100","3","1030001"
"2","2","","31","","1","1","0","0","3","1030002"
"1","1","","31","","1","1","-80","-120","3","1030003"
"1","","","93","","","","","","3","1030004"
"vo_minigame_1005","vo_minigame_1005_top_002","","21","","","","0","0","3","1030005"
"102611","ttk_joy","0.3","3","","0.1","1","0","ttk_idle_joy","3","1030006"
"102611","コツをつかめば\n結構楽しいかも\nいや、労働は労働か…","0","11","","0","","8","","3","1030007"
"2.2","","","93","","","","","","3","1030008"
"102611","ttk_talk_sad","0.3","3","","0.3","","1","","3","1030009"
"3","","","93","","","","","","3","1030010"
"102611","ttk_idle_def","0.3","3","","0.3","","1","","3","1030011"
"0","","","91","","","","","","3","1030012"
"1","102611","1","5","ttk_idle_def","1","-120","850","100","4","1040001"
"2","2","","31","","1","1","0","0","4","1040002"
"1","1","","31","","1","1","-80","-120","4","1040003"
"1","","","93","","","","","","4","1040004"
"vo_minigame_1005","vo_minigame_1005_top_003","","21","","","","0","0","4","1040005"
"102611","ttk_shock","0.3","3","","0.3","1","0","ttk_idle_shock","4","1040006"
"102611","ねずみのことなんか\n知りたくないよ\nはぁ…めんどくさい","0","11","","0","","8","","4","1040007"
"5","","","93","","","","","","4","1040008"
"102611","ttk_idle_def","0.3","3","","0.3","","1","","4","1040009"
"0.7","","","93","","","","","","4","1040010"
"1","102611","1","5","ttk_idle_def","1","-120","850","100","5","1050001"
"2","2","","31","","1","1","0","0","5","1050002"
"1","1","","31","","1","1","-80","-120","5","1050003"
"1","","","93","","","","","","5","1050004"
"vo_minigame_1005","vo_minigame_1005_top_004","","21","","","","0","0","5","1050005"
"102611","ttk_surprise","0.3","3","","0.3","","0","","5","1050006"
"102611","うわっ！？\nこっちこないでよ！\nはぁ…チマチマ\n追い払うのは大変だ…","0","11","","0","","8","","5","1050007"
"0.9","","","93","","","","","","5","1050008"
"102611","ttk_talk_anger","0.3","3","","0.3","","1","","5","1050009"
"0.8","","","93","","","","","","5","1050010"
"102611","ttk_sad","0.3","3","","0.3","1","0","ttk_talk_sad","5","1050011"
"5","","","93","","","","","","5","1050012"
"102611","ttk_idle_def","0.3","3","","0.3","","1","","5","1050013"
"0","","","91","","","","","","5","1050014"
"1","102611","1","5","ttk_idle_def","1","-120","850","100","6","1060001"
"2","2","","31","","1","1","0","0","6","1060002"
"1","1","","31","","1","1","-80","-120","6","1060003"
"1","","","93","","","","","","6","1060004"
"vo_minigame_1005","vo_minigame_1005_top_005","","21","","","","0","0","6","1060005"
"102611","ttk_idle_worry","0.3","3","","0.3","","1","","6","1060006"
"102611","こんなことに\n慣れたくないよ…\nでも牧場のためには\nやるしかないか","0","11","","0","","8","","6","1060007"
"7","","","93","","","","","","6","1060008"
"102611","ttk_amz","0.3","3","","0.3","1","0","ttk_idle_def","6","1060009"
"0","","","91","","","","","","6","1060010"
