c5eae9c32a07abaf4fdf7a2f6164e2607e36acbf7ec9b3e8eb5f01c1394454bb,431f7bc9cd07d442701c5e0ca833b4488f2bb97a8dc853ce3c8395a8a8ca722a,cd16da876b8e168ac35e4e4279bc0addbd18d3a98f47ead581b8312e01aa92b5,a290679704ce5dbb4c23a0d61ce34a9b518348bc36599c8f91922d18d1bfdd57,78da649c247ef059a16ff3b42ea643489712f6f09f77fb6bbb0a5657474c1c01,82fa89d04a639371cd116e01dd080c96d22748e89b12be74e8b73207a8e9c5b5,4441558122aa4686f0f53591bdf573e10355b795af4c826c887b712322794550,399d5fd8d2cc2d84f0598405afd0b258f337650ef4b85b36c58979637aca395d,d9a7304ff3eaa624e2ac63b2a467a09d41001e0fef7bec37bff76f68c0f84240,5bc38438189bef83b214b014f8827e2acbeff4b1f8b31e062c6fd72163d8e8a7,62b202fd27a0fe368939e2db3d1d006a1586bfc1979fcc76e3880b17585c8129,9d0d552c092ec82d1ec6a22e49fe8ba94acc0de971791ab60cedda52d34c5572,8389baf4ab385556ad5ba7443731e84719ee43916485b44fbe189906d749b497,435a985fbd128b7547c1462eb8221b0543f5fbf5507f7df4a50cf42e88abe12f,277a2a632fc804169015ceeeeb145c670a9ff49f6e66aa062dc750eda9fa262a,f37d0359c8999a4d835c3a155ea3bf0bc0fa27096faba6eaa3020d3255be8de2
"104","0","1","1","0","0","103","0","101","0","1","102","105","10016","5","1"
"204","0","2","2","0","0","203","0","201","1","1","202","205","10021","2","2"
"304","0","2","5","0","0","303","0","301","1","1","302","305","10053","5","3"
"404","0","2","4","0","0","403","0","401","1","1","402","405","10044","8","4"
"504","0","3","4","0","0","503","0","501","2","1","502","505","10042","2","5"
"604","0","3","2","0","0","603","0","601","3","1","602","605","10024","5","6"
"704","0","3","1","0","0","703","0","701","4","1","702","705","10015","8","7"
"0","0","4","101","0","0","0","0","801","5","1","0","0","11012","2","8"
"904","0","4","2","0","0","903","0","901","6","1","902","905","10023","5","9"
"0","0","4","101","0","0","0","0","1001","7","1","0","0","11011","8","10"
"1104","0","5","5","0","0","1103","0","1101","8","1","1102","1105","10052","2","11"
"1204","0","5","4","0","0","1203","0","1201","9","1","1202","1205","10045","5","12"
"1304","0","5","2","0","0","1303","0","1301","10","1","1302","1305","10021","8","13"
"1404","0","6","1","0","0","1403","0","1401","11","1","1402","1405","10013","2","14"
"1504","0","6","5","0","0","1503","0","1501","12","1","1502","1505","10054","5","15"
"0","0","6","101","0","0","0","0","1601","13","1","0","0","11015","8","16"
"0","0","7","100","0","0","0","0","1701","14","1","0","0","11002","2","17"
"1804","0","7","4","0","0","1803","0","1801","15","1","1802","1805","10043","5","18"
"1904","0","7","3","16","0","1903","0","1901","16","1","1902","1905","10034","8","19"
"2004","0","8","4","0","0","2003","0","2001","17","1","2002","2005","10041","2","20"
"0","0","8","100","0","0","0","0","2101","18","1","0","0","11003","5","21"
"2204","0","8","2","0","0","2203","0","2201","19","1","2202","2205","10025","8","22"
"2304","0","9","1","0","0","2303","0","2301","20","1","2302","2305","10011","2","23"
"2404","0","9","2","0","0","2403","0","2401","21","1","2402","2405","10022","5","24"
"2504","0","9","4","0","0","2503","0","2501","22","1","2502","2505","10045","8","25"
"0","25","10","100","24","0","2603","0","2601","23","1","2602","0","11006","5","26"
"2704","0","11","3","0","0","2703","0","2701","26","1","2702","2705","10031","2","27"
"2804","0","11","4","0","0","2803","0","2801","26","1","2802","2805","10044","5","28"
"2904","0","11","7","0","0","2903","0","2901","26","1","2902","2905","10075","8","29"
"3004","0","12","3","0","0","3003","0","3001","27","1","3002","3005","10032","2","30"
"3104","0","12","1","0","0","3103","0","3101","28","1","3102","3105","10013","5","31"
"3204","0","12","4","0","0","3203","0","3201","29","1","3202","3205","10044","8","32"
"3304","0","13","4","0","0","3303","0","3301","30","1","3302","3305","10041","2","33"
"3404","0","13","2","0","0","3403","0","3401","31","1","3402","3405","10022","5","34"
"3504","0","13","5","0","0","3503","0","3501","32","1","3502","3505","10053","8","35"
"3604","0","14","2","0","0","3603","0","3601","33","1","3602","3605","10024","2","36"
"3704","0","14","4","0","0","3703","0","3701","34","1","3702","3705","10045","5","37"
"3804","0","14","1","0","0","3803","0","3801","35","1","3802","3805","10012","8","38"
"3904","0","15","4","0","0","3903","0","3901","36","1","3902","3905","10043","2","39"
"4004","0","15","3","0","0","4003","0","4001","37","1","4002","4005","10035","5","40"
"4104","0","15","7","0","0","4103","0","4101","38","1","4102","4105","10072","8","41"
"4204","0","16","2","0","0","4203","0","4201","39","1","4202","4205","10021","2","42"
"4304","0","16","3","0","0","4303","0","4301","40","1","4302","4305","10034","5","43"
"4404","0","16","1","0","0","4403","0","4401","41","1","4402","4405","10015","8","44"
"4504","0","17","2","0","0","4503","0","4501","42","1","4502","4505","10022","2","45"
"4604","0","17","2","0","0","4603","0","4601","43","1","4602","4605","10023","5","46"
"4704","0","17","7","0","0","4703","0","4701","44","1","4702","4705","10074","8","47"
"4804","0","18","3","0","0","4803","0","4801","45","1","4802","4805","10031","2","48"
"4904","0","18","5","0","0","4903","0","4901","46","1","4902","4905","10052","5","49"
"5004","0","18","2","0","0","5003","0","5001","47","1","5002","5005","10025","8","50"
"5104","0","19","4","0","0","5103","0","5101","48","1","5102","5105","10041","2","51"
"5204","0","19","3","0","0","5203","0","5201","49","1","5202","5205","10033","5","52"
"5304","0","19","7","0","0","5303","0","5301","50","1","5302","5305","10074","8","53"
"0","53","20","101","52","0","5403","0","5401","51","1","5402","0","11016","5","54"
"5504","0","21","4","0","0","5503","0","5501","54","1","5502","5505","10041","2","55"
"0","0","21","100","0","0","0","0","5601","54","1","5602","0","11002","5","56"
"5704","0","21","6","0","0","5703","0","5701","54","1","5702","5705","10065","8","57"
"5804","0","22","2","0","0","5803","0","5801","55","1","5802","5805","10022","2","58"
"5904","0","22","1","0","0","5903","0","5901","56","1","5902","5905","10013","5","59"
"0","0","22","101","0","0","0","0","6001","57","1","6002","0","11015","8","60"
"6104","0","23","2","0","0","6103","0","6101","58","1","6102","6105","10021","2","61"
"6204","0","23","3","0","0","6203","0","6201","59","1","6202","6205","10032","5","62"
"6304","0","23","2","0","0","6303","0","6301","60","1","6302","6305","10023","8","63"
"6404","0","24","2","0","0","6403","0","6401","61","1","6402","6405","10024","2","64"
"6504","0","24","7","0","0","6503","0","6501","62","1","6502","6505","10071","5","65"
"0","0","24","100","0","0","0","0","6601","63","1","0","0","11004","8","66"
"6704","0","25","5","0","0","6703","0","6701","64","1","6702","6705","10055","2","67"
"6804","0","25","5","0","0","6803","0","6801","65","1","6802","6805","10051","5","68"
"6904","0","25","4","0","0","6903","0","6901","66","1","6902","6905","10042","8","69"
"7004","0","26","6","0","0","7003","0","7001","67","1","7002","7005","10064","2","70"
"7104","0","26","6","0","0","7103","0","7101","68","1","7102","7105","10061","5","71"
"0","0","26","101","0","0","0","0","7201","69","1","0","0","11013","8","72"
"7304","0","27","3","0","0","7303","0","7301","70","1","7302","7305","10033","2","73"
"7404","0","27","1","0","0","7403","0","7401","71","1","7402","7405","10014","5","74"
"7504","0","27","5","0","0","7503","0","7501","72","1","7502","7505","10052","8","75"
"7604","0","28","4","0","0","7603","0","7601","73","1","7602","7605","10044","2","76"
"0","0","28","100","0","0","0","0","7701","74","1","0","0","11005","5","77"
"0","0","28","101","0","0","0","0","7801","75","1","7802","0","11011","8","78"
"7904","0","29","3","0","0","7903","0","7901","76","1","7902","7905","10034","2","79"
"8004","0","29","7","0","0","8003","0","8001","77","1","8002","8005","10073","5","80"
"8104","0","29","3","0","0","8103","0","8101","78","1","8102","8105","10035","8","81"
"8204","81","30","6","80","0","8203","0","8201","79","1","8202","8205","10066","5","82"
"8304","0","31","6","0","0","8303","0","8301","82","1","8302","8305","10062","2","83"
"8404","0","31","1","0","0","8403","0","8401","82","1","8402","8405","10014","5","84"
"8504","0","31","2","0","0","8503","0","8501","82","1","8502","8505","10021","8","85"
"8604","0","32","5","0","0","8603","0","8601","83","1","8602","8605","10053","2","86"
"8704","0","32","1","0","0","8703","0","8701","84","1","8702","8705","10011","5","87"
"8804","0","32","7","0","0","8803","0","8801","85","1","8802","8805","10072","8","88"
"8904","0","33","4","0","0","8903","0","8901","86","1","8902","8905","10045","2","89"
"9004","0","33","4","0","0","9003","0","9001","87","1","9002","9005","10042","5","90"
"9104","0","33","5","0","0","9103","0","9101","88","1","9102","9105","10053","8","91"
"9204","0","34","6","0","0","9203","0","9201","89","1","9202","9205","10064","2","92"
"9304","0","34","3","0","0","9303","0","9301","90","1","9302","9305","10035","5","93"
"9404","0","34","5","0","0","9403","0","9401","91","1","9402","9405","10051","8","94"
"9504","0","35","3","0","0","9503","0","9501","92","1","9502","9505","10033","2","95"
"9604","0","35","4","0","0","9603","0","9601","93","1","9602","9605","10044","5","96"
"9704","0","35","7","0","0","9703","0","9701","94","1","9702","9705","10075","8","97"
"9804","0","36","3","0","0","9803","0","9801","95","1","9802","9805","10032","2","98"
"9904","0","36","2","0","0","9903","0","9901","96","1","9902","9905","10023","5","99"
"10004","0","36","2","0","0","10003","0","10001","97","1","10002","10005","10024","8","100"
"10104","0","37","5","0","0","10103","0","10101","98","1","10102","10105","10051","2","101"
"10204","0","37","1","0","0","10203","0","10201","99","1","10202","10205","10012","5","102"
"10304","0","37","3","0","0","10303","0","10301","100","1","10302","10305","10035","8","103"
"10404","0","38","6","0","0","10403","0","10401","101","1","10402","10405","10063","2","104"
"10504","0","38","5","0","0","10503","0","10501","102","1","10502","10505","10055","5","105"
"10604","0","38","7","0","0","10603","0","10601","103","1","10602","10605","10071","8","106"
"10704","0","39","5","0","0","10703","0","10701","104","1","10702","10705","10052","2","107"
