a9bd61c7b9aeddf3abbb14daf8d9daba4088558a7119cc7d11800e419c413f03,d8c49b3e77713cf4801ca1b33713a2b5a7c4d70a1617635e7b4ad9799949d6a6,6bfd3d071b50a07d939178f271c1ab2fde26a042ae5027b8300c18658da06708,ac2c28ad7de48c86a62fd54a3bc9868cb5d8b8e8c6b480212da5745a4f5cec3b,1022a7c9dadec3d8cc791a7dac7a95da44e08f868e01b6f45e0afe3347f329bb,9d05707046d29202c76fddd8af038aac85078a631b460830cc6fe378a8946daf,fc9b177356025edfce316f25899587bdc593f62e0f6a2167970b7ca80ef5ffac,af67bf347f9c4ff122eb6cc2744be31fdd8967b508df21c92a8e2cac56043783,8b9c7ea5de6f62d5955e762514e9c0070bac0de3e2988cf847d905437ee0cbd7,0da1272de8ebb14544acb5b160a67a41030fa6d2e567eacc9fb7fcd5289f742d,3e629f4a0ea46e924d17420456a7a4aa7bc8eef138db0398d863bd162f232f33,5327c46b0f7a75945dc7f328f1e5bd5f938b7fcd0a0bdf9c171e79d1beead4e5,c9373429132f266929c1765749ea0a5bf2ca19b4a8db577964ec8fa141752627,88f17440d5b722ee281317203e28370fc7e7e725ec75e0745e2110878f507fb0,2cab07a8f947645faadd4d709792cb40cc27d32f8e8f654409d1f98f563f6b08,c8abfd06a5bb52a561e130decefa1d291746128056190ba862a1adddc6154291,372153161e588e628b18f586ddcc845921dc8f3ea91405e43d219bed2e03d7c5,57ad44e6812039c715e935b0f0ef9f6f4dfb3db6c57c30e34884d3d55f0175fe,601ff272b8372d33471018225303919304e4420150f4afaebb96b5164f2edb4c,34457583371bf17cb289c604456451056537e92b943b09c7c7534047bb8f1ac6,1333160296b6b60a446833e5d9b8090fe2246b68207f876c00052956bdd9e57a,fc5751b011bb9aebf12c3e6e742c11c20583b1e4cca268cc2ecf060f01fff38f
"0","10","62001","101","101","9004","10110101","10101","601","1","0","6114","0","1","2","2025/01/31 12:00:00","0","イベントクエストを1回クリアしよう","1","0","0","0"
"1","50","62001","101","201","9002","10120101","20101","601","2","0","6113","94002","1","2","2025/01/31 12:00:00","0","イベントストーリー オープニングを閲覧しよう","2","12","100000","0"
"2","50","62001","101","201","9002","10120102","20102","601","2","0","6113","94002","1","2","2025/01/31 12:00:00","0","イベントストーリー 第1話（迷宮女王）を閲覧しよう","2","12","100000","0"
"3","50","62001","101","201","9002","10120103","20103","601","2","0","6113","94002","1","2","2025/01/31 12:00:00","0","イベントストーリー 第1話（誓約女君）を閲覧しよう","2","12","100000","0"
"4","50","62001","101","201","9002","10120104","20104","601","2","0","6113","94002","1","2","2025/01/31 12:00:00","0","イベントストーリー 第1話（跳躍王）を閲覧しよう","2","12","100000","0"
"5","50","62001","101","201","9002","10120105","20105","601","2","0","6113","94002","1","2","2025/01/31 12:00:00","0","イベントストーリー 第2話を閲覧しよう","2","12","100000","0"
"6","50","62001","101","201","9002","10120106","20106","601","2","0","6113","94002","1","2","2025/02/06 12:00:00","0","イベントストーリー 第3話を閲覧しよう","2","12","100000","0"
"7","50","62001","101","201","9002","10120107","20107","601","2","0","6113","94002","1","2","2025/02/06 12:00:00","0","イベントストーリー 第4話（覇瞳皇帝）を閲覧しよう","2","12","100000","0"
"8","50","62001","101","201","9002","10120108","20108","601","2","0","6113","94002","1","2","2025/02/06 12:00:00","0","イベントストーリー 第4話（変貌大妃）を閲覧しよう","2","12","100000","0"
"9","50","62001","101","201","9002","10120109","20109","601","2","0","6113","94002","1","2","2025/02/06 12:00:00","0","イベントストーリー 第4話（嚮導老君）を閲覧しよう","2","12","100000","0"
"10","50","62001","101","201","9002","10120110","20110","601","2","0","6113","94002","1","2","2025/02/06 12:00:00","0","イベントストーリー 第5話を閲覧しよう","2","12","100000","0"
"11","50","62001","101","201","9002","10120111","20111","601","2","0","6113","94002","1","2","2025/02/06 12:00:00","0","イベントストーリー エンディングを閲覧しよう","2","12","100000","0"
"12","50","62001","101","201","9002","10120112","20112","601","2","0","6113","94002","1","2","2025/02/06 12:00:00","0","イベントストーリー エピローグを閲覧しよう","2","12","100000","0"
"1","30","91002","101","202","9003","10120201","20201","601","2","0","6114","22002","1","8","2025/01/31 12:00:00","0","イベント前編クエスト N-1をクリアしよう","1","2","1","0"
"2","30","91002","101","202","9003","10120202","20202","601","2","0","6114","22002","1","8","2025/01/31 12:00:00","0","イベント前編クエスト N-2をクリアしよう","1","2","1","0"
"3","30","91002","101","202","9003","10120203","20203","601","2","0","6114","22002","1","8","2025/01/31 12:00:00","0","イベント前編クエスト N-3をクリアしよう","1","2","1","0"
"4","30","91002","101","202","9003","10120204","20204","601","2","0","6114","22002","1","8","2025/01/31 12:00:00","0","イベント前編クエスト N-4をクリアしよう","1","2","1","0"
"5","30","91002","101","202","9003","10120205","20205","601","2","0","6114","22002","1","8","2025/01/31 12:00:00","0","イベント前編クエスト N-5をクリアしよう","1","2","1","0"
"6","30","91002","101","202","9003","10120206","20206","601","2","0","6114","22002","1","8","2025/01/31 12:00:00","0","イベント前編クエスト N-6をクリアしよう","1","2","1","0"
"7","30","91002","101","202","9003","10120207","20207","601","2","0","6114","22002","1","8","2025/01/31 12:00:00","0","イベント前編クエスト N-7をクリアしよう","1","2","1","0"
"8","30","91002","101","202","9003","10120208","20208","601","2","0","6114","22002","1","8","2025/01/31 12:00:00","0","イベント前編クエスト N-8をクリアしよう","1","2","1","0"
"9","30","91002","101","202","9003","10120209","20209","601","2","0","6114","22002","1","8","2025/01/31 12:00:00","0","イベント前編クエスト N-9をクリアしよう","1","2","1","0"
"10","30","91002","101","202","9003","10120210","20210","601","2","0","6114","22002","1","8","2025/01/31 12:00:00","0","イベント前編クエスト N-10をクリアしよう","1","2","1","0"
