b513d571fe1d4cf9447ee72ab41542486e7a827e071b906e313f8c1b028bac66,1c7a6570c3603660a064c59b910074a1aaf9b6be37e8a956de2e06c0e85b02a9,d8768148208720eb35b476905c3ddf40900704b6b617708cfe9b2a47ccbc39ed,f34bc8bbd7ebe68e57b0eaa490c73a02873ce951aa665a84b8ec62f6a35a5441,cdebbd80ba21a4c0e591e100802fdee14b7a1b40d9fbc3456bf9e3e957be897c,9da04e2927c79b54a5822cd2687da8c27a2c8b6c23bcc14f5f9a646a30253c8d,0605b87c833c01077fd202aedb78b55c2e556ca15851f221b6055aa8459d65f2,6166cbf7ff03cd2f8a69d00834e5f03a0edd6cbe5c6ccfce489331e1aba3616c,6e3f59805d3a90db3b3dd63aeca2c3abca9dc28240ffb9190143cc0a9d414ee8,666fd5f5dba82f61d5d72b90ab3185d62f32b99045c2925dafa453ceba2a9a62
"1","10000","1","100","0","パーツを20個獲得しよう","3","20","1","1"
"1","10001","2","100","0","パーツを25個獲得しよう","3","25","1","2"
"1","10002","2","100","0","パーツを30個獲得しよう","3","30","1","3"
"1","10003","3","100","0","パーツを35個獲得しよう","3","35","1","4"
"1","10004","3","100","0","パーツを40個獲得しよう","3","40","1","5"
"1","10005","4","100","0","パーツを45個獲得しよう","3","45","1","6"
"1","10006","4","100","0","パーツを50個獲得しよう","3","50","1","7"
"2","20000","3","101","0","総戦力を1500以上にしよう","2","1500","1","101"
"2","20001","3","101","0","総戦力を2000以上にしよう","2","2000","1","102"
"2","20002","3","101","0","総戦力を2500以上にしよう","2","2500","1","103"
"2","20003","3","101","0","総戦力を3000以上にしよう","2","3000","1","104"
"2","20004","3","101","0","総戦力を3500以上にしよう","2","3500","1","105"
"2","20005","4","101","0","総戦力を4000以上にしよう","2","4000","1","106"
"2","20006","4","101","0","総戦力を4500以上にしよう","2","4500","1","107"
"2","20007","4","101","0","総戦力を5000以上にしよう","2","5000","1","108"
"2","20008","4","101","0","総戦力を6000以上にしよう","2","6000","1","109"
"2","20009","4","101","0","総戦力を7000以上にしよう","2","7000","1","110"
"2","20010","5","101","0","総戦力を8000以上にしよう","2","8000","1","111"
"2","20011","5","101","0","総戦力を9000以上にしよう","2","9000","1","112"
"2","20012","5","101","0","総戦力を10000以上にしよう","2","10000","1","600"
"3","30000","2","200","0","バトルポイントを累計100pt獲得しよう","4","100","2","201"
"3","30001","2","200","0","バトルポイントを累計200pt獲得しよう","4","200","2","202"
"3","30002","2","200","0","バトルポイントを累計300pt獲得しよう","4","300","2","203"
"3","30003","2","200","0","バトルポイントを累計400pt獲得しよう","4","400","2","204"
"3","30004","2","200","0","バトルポイントを累計500pt獲得しよう","4","500","2","205"
"3","30005","3","200","0","バトルポイントを累計600pt獲得しよう","4","600","2","206"
"3","30006","3","200","0","バトルポイントを累計700pt獲得しよう","4","700","2","207"
"3","30007","3","200","0","バトルポイントを累計800pt獲得しよう","4","800","2","208"
"3","30008","3","200","0","バトルポイントを累計900pt獲得しよう","4","900","2","209"
"3","30009","3","200","0","バトルポイントを累計1000pt獲得しよう","4","1000","2","210"
"5","50000","7","400","0","フブキから5個パーツを獲得しよう","1","5","4","401"
"5","50001","7","400","0","フブキから10個パーツを獲得しよう","1","10","4","402"
"5","50002","7","400","0","フブキから15個パーツを獲得しよう","1","15","4","403"
"5","50003","7","400","0","フブキから20個パーツを獲得しよう","1","20","4","404"
"5","50004","7","400","0","フブキから25個パーツを獲得しよう","1","25","4","405"
"5","50005","7","400","0","フブキから30個パーツを獲得しよう","1","30","4","406"
"5","50006","7","400","0","フブキから35個パーツを獲得しよう","1","35","4","407"
"5","50007","7","400","0","フブキから40個パーツを獲得しよう","1","40","4","408"
"5","50008","7","400","0","フブキから45個パーツを獲得しよう","1","45","4","409"
"5","50009","6","400","0","フブキから50個パーツを獲得しよう","1","50","4","700"
"6","60000","7","209","30009","バトルポイントを800pt獲得しよう（何度でも）","4","800","2","999"
"7","70000","6","300","0","ステージ14をクリアしよう","3","14","3","799"
"7","70001","8","301","0","ステージ50をクリアしよう","3","50","3","800"
