84dc7233ac9fa7bd8be02fb0f23927bc1cda255727d419a994ebe4933005a940,af0a5065b328ca0541c22ffb7465a776d436618a1cb0e401f2b477a654350865,53c33e95e21fdc0e383fe86c160e8a8017cca2185a9fac9905526b845f036264,6a495c3ffa1d4637fbb73eb0c1682d791b4da6ac4496fbcc87dd31926cd5b2e0,c258a48ae8e68fa6238d2f8053fdf670102b22f8ad770baf2074a447465a7a01
"12","94002","1001","8000000","1"
"2","90005","1001","40","2"
"12","94002","1002","8000000","3"
"2","90005","1002","50","4"
"12","94002","1003","8000000","5"
"2","90005","1003","60","6"
"12","94002","1004","8000000","7"
"2","90005","1004","70","8"
"8","91002","1005","150","9"
"12","94002","1005","8000000","10"
"2","90005","1005","80","11"
"12","94002","1006","8000000","12"
"2","90005","1006","90","13"
"8","91002","1007","300","14"
"12","94002","1007","8000000","15"
"2","90005","1007","100","16"
"12","94002","2001","8000000","17"
"12","94002","2002","8000000","18"
"12","94002","2003","8000000","19"
"12","94002","2004","8000000","20"
"12","94002","2005","8000000","21"
"12","94002","2006","8000000","22"
"12","94002","2007","8000000","23"
"12","94002","2008","8000000","24"
"12","94002","2009","8000000","25"
"12","94002","2010","8000000","26"
"12","94002","7001","8000000","27"
"2","90005","7001","5","28"
"12","94002","7002","8000000","29"
"2","90005","7002","5","30"
"12","94002","7003","8000000","31"
"2","90005","7003","5","32"
"12","94002","7004","8000000","33"
"2","90005","7004","10","34"
"12","94002","7005","8000000","35"
"2","90005","7005","10","36"
"12","94002","7006","8000000","37"
"2","90005","7006","10","38"
"12","94002","7007","8000000","39"
"2","90005","7007","15","40"
"12","94002","7008","8000000","41"
"2","90005","7008","15","42"
"12","94002","7009","8000000","43"
"2","90005","7009","15","44"
"12","94002","7010","8000000","45"
"2","90005","7010","20","46"
"12","94002","7011","8000000","47"
"2","90005","7011","20","48"
"12","94002","7012","8000000","49"
"2","90005","7012","20","50"
"12","94002","7013","8000000","51"
"2","90005","7013","25","52"
"12","94002","7014","8000000","53"
"2","90005","7014","25","54"
"12","94002","7015","8000000","55"
"2","90005","7015","25","56"
"12","94002","7016","8000000","57"
"2","90005","7016","30","58"
"12","94002","7017","8000000","59"
"2","90005","7017","30","60"
"12","94002","7018","8000000","61"
"2","90005","7018","30","62"
"12","94002","7019","8000000","63"
"2","90005","7019","35","64"
"12","94002","7020","8000000","65"
"2","90005","7020","35","66"
"12","94002","7021","8000000","67"
"2","90005","7021","35","68"
"12","94002","7022","8000000","69"
"2","90005","7022","40","70"
"12","94002","8001","8000000","71"
"2","90008","8001","1000","72"
"12","94002","8002","8000000","73"
"2","90008","8002","1250","74"
"12","94002","8003","8000000","75"
"2","90008","8003","1500","76"
"12","94002","8004","8000000","77"
"2","90008","8004","1750","78"
"12","94002","8005","8000000","79"
"2","90008","8005","2000","80"
"12","94002","8006","8000000","81"
"2","90008","8006","2250","82"
"12","94002","8007","8000000","83"
"2","90008","8007","2500","84"
