ea7b108a9b0ab89835e298e53585766affa2063c017fce7fbd79e8b5f4794233,b6835692af4dab56fac983280cc51d56c51a61b8cd2fb7d8da8878cb0436dc23,46e60d8f6f36a3cf36a6f7a402cade8fa623b4391f22afec77750033ed7b16af,5d03f08440d45840e8330fe22fe44b4f6bf773b331bc2e2f28a9418a3107d033,e18d4d1b07dba74c1ebd7641f32e4e2d43c10da60a413ed7b32d40732532183b,730423cda8ff27f7fe657d705845cf7894d017c419319822225b79ad7069c7c3
"1","10101001","15","1001","1","58002001"
"2","10101002","15","1002","1","58002002"
"3","10101003","15","1003","1","58002003"
"4","10201001","15","1001","1","56011001"
"5","10201002","15","1002","1","56011002"
"6","10201003","15","1003","1","56011003"
"7","91002","8","0","50","56011003"
"8","10201004","15","1001","1","56011004"
"9","10201005","15","1002","1","56011005"
"10","10201006","15","1003","1","56011006"
"11","91002","8","0","50","56011006"
"12","10201007","15","1001","1","56011007"
"13","10201008","15","1002","1","56011008"
"14","10201009","15","1003","1","56011009"
"15","91002","8","0","50","56011009"
"16","10201010","15","1001","1","56011010"
"17","10201011","15","1002","1","56011011"
"18","10201012","15","1003","1","56011012"
"19","91002","8","0","50","56011012"
"20","10201013","15","1001","1","56011013"
"21","10201014","15","1002","1","56011014"
"22","10201015","15","1003","1","56011015"
"23","91002","8","0","50","56011015"
"24","10201016","15","1001","1","56011016"
"25","10201017","15","1002","1","56011017"
"26","10201018","15","1003","1","56011018"
"27","91002","8","0","50","56011018"
"28","10201019","15","1001","1","56011019"
"29","10201020","15","1002","1","56011020"
"30","10201021","15","1003","1","56011021"
"31","91002","8","0","50","56011021"
"32","10201022","15","1001","1","56011022"
"33","10201023","15","1002","1","56011023"
"34","10201024","15","1003","1","56011024"
"35","91002","8","0","50","56011024"
"36","10201025","15","1001","1","56011025"
"37","10201026","15","1002","1","56011026"
"38","10201027","15","1003","1","56011027"
"39","91002","8","0","50","56011027"
"40","10201028","15","1001","1","56011028"
"41","10201029","15","1002","1","56011029"
"42","10201030","15","1003","1","56011030"
"43","91002","8","0","50","56011030"
"44","10201031","15","1001","1","56011031"
"45","10201032","15","1002","1","56011032"
"46","10201033","15","1003","1","56011033"
"47","91002","8","0","50","56011033"
"48","10201034","15","1001","1","56011034"
"49","10201035","15","1002","1","56011035"
"50","10201036","15","1003","1","56011036"
"51","91002","8","0","50","56011036"
"52","10201037","15","1001","1","56011037"
"53","10201038","15","1002","1","56011038"
"54","10201039","15","1003","1","56011039"
"55","91002","8","0","50","56011039"
"56","10201040","15","1001","1","56011040"
"57","10201041","15","1002","1","56011041"
"58","10201042","15","1003","1","56011042"
"59","91002","8","0","50","56011042"
"60","10201043","15","1001","1","56011043"
"61","10201044","15","1002","1","56011044"
"62","10201045","15","1003","1","56011045"
"63","91002","8","0","50","56011045"
"64","10201046","15","1001","1","56011046"
"65","10201047","15","1002","1","56011047"
"66","10201048","15","1003","1","56011048"
"67","91002","8","0","50","56011048"
"68","10201049","15","1001","1","56011049"
"69","10201050","15","1002","1","56011050"
"70","10201051","15","1003","1","56011051"
"71","91002","8","0","50","56011051"
"72","10201052","15","1001","1","56011052"
"73","10201053","15","1002","1","56011053"
"74","10201054","15","1003","1","56011054"
"75","91002","8","0","50","56011054"
"76","10201055","15","1001","1","56011055"
"77","10201056","15","1002","1","56011056"
"78","10201057","15","1003","1","56011057"
"79","91002","8","0","50","56011057"
"80","10201058","15","1001","1","56011058"
"81","10201059","15","1002","1","56011059"
"82","10201060","15","1003","1","56011060"
"83","91002","8","0","50","56011060"
"84","10201061","15","1001","1","56011061"
"85","10201062","15","1002","1","56011062"
"86","10201063","15","1003","1","56011063"
"87","91002","8","0","50","56011063"
"88","10201064","15","1001","1","56011064"
"89","10201065","15","1002","1","56011065"
"90","10201066","15","1003","1","56011066"
"91","91002","8","0","50","56011066"
"92","10201067","15","1001","1","56011067"
"93","10201068","15","1002","1","56011068"
"94","10201069","15","1003","1","56011069"
"95","91002","8","0","50","56011069"
"96","10201070","15","1001","1","56011070"
"97","10201071","15","1002","1","56011071"
"98","10201072","15","1003","1","56011072"
"99","91002","8","0","50","56011072"
"100","10201073","15","1001","1","56011073"
"101","10201074","15","1002","1","56011074"
"102","10201075","15","1003","1","56011075"
"103","91002","8","0","50","56011075"
"104","10201076","15","1001","1","56011076"
"105","10201077","15","1002","1","56011077"
"106","10201078","15","1003","1","56011078"
"107","91002","8","0","50","56011078"
"108","10201079","15","1001","1","56011079"
"109","10201080","15","1002","1","56011080"
"110","10201081","15","1003","1","56011081"
"111","91002","8","0","50","56011081"
"112","10201082","15","1001","1","56011082"
"113","10201083","15","1002","1","56011083"
"114","10201084","15","1003","1","56011084"
"115","91002","8","0","50","56011084"
"116","10201085","15","1001","1","56011085"
"117","10201086","15","1002","1","56011086"
"118","10201087","15","1003","1","56011087"
"119","91002","8","0","50","56011087"
"120","10201088","15","1001","1","56011088"
"121","10201089","15","1002","1","56011089"
"122","10201090","15","1003","1","56011090"
"123","91002","8","0","50","56011090"
"124","10201091","15","1001","1","56011091"
"125","10201092","15","1002","1","56011092"
"126","10201093","15","1003","1","56011093"
"127","91002","8","0","50","56011093"
"128","10201094","15","1001","1","56011094"
"129","10201095","15","1002","1","56011095"
"130","10201096","15","1003","1","56011096"
"131","91002","8","0","50","56011096"
"132","10201097","15","1001","1","56011097"
"133","10201098","15","1002","1","56011098"
"134","10201099","15","1003","1","56011099"
"135","91002","8","0","50","56011099"
"136","10201100","15","1001","1","56011100"
"137","10201101","15","1002","1","56011101"
"138","10201102","15","1003","1","56011102"
"139","91002","8","0","50","56011102"
"140","10201103","15","1001","1","56011103"
"141","10201104","15","1002","1","56011104"
"142","10201105","15","1003","1","56011105"
"143","91002","8","0","50","56011105"
"144","10201106","15","1001","1","56011106"
"145","10201107","15","1002","1","56011107"
"146","10201108","15","1003","1","56011108"
"147","91002","8","0","50","56011108"
"148","10201109","15","1001","1","56011109"
"149","10201110","15","1002","1","56011110"
"150","10201111","15","1003","1","56011111"
"151","91002","8","0","50","56011111"
"152","10201112","15","1001","1","56011112"
"153","10201113","15","1002","1","56011113"
"154","10201114","15","1003","1","56011114"
"155","91002","8","0","50","56011114"
"156","10201115","15","1001","1","56011115"
"157","10201116","15","1002","1","56011116"
"158","10201117","15","1003","1","56011117"
"159","91002","8","0","50","56011117"
"160","10201118","15","1001","1","56011118"
"161","10201119","15","1002","1","56011119"
"162","10201120","15","1003","1","56011120"
"163","91002","8","0","50","56011120"
"164","10201121","15","1001","1","56011121"
"165","10201122","15","1002","1","56011122"
"166","10201123","15","1003","1","56011123"
"167","91002","8","0","50","56011123"
"168","10201124","15","1001","1","56011124"
"169","10201125","15","1002","1","56011125"
"170","10201126","15","1003","1","56011126"
"171","91002","8","0","50","56011126"
"172","10201127","15","1001","1","56011127"
