9d44106bb9b98fde52769a3a669725a5a50190ddfa4891976775b3dfdd17b135,30bdd41edbf6100d89cbd39e2d49c282694b1de50c640cb1bb85638e7ed65e28,abf59c22bc77173825c49242148ef07e8a849762e039d7f777a4f9183098de49,a30dee0765bc8b83e0fa3103a270cc18d25ecb0c63b60fd340561c40f10ba75f,08d4109885a37b525d151d95334d8992ceea59149f581fa3ad1472b20a8262e6
"320001011","2","25011","1000","32000101"
"320001012","2","25012","1000","32000101"
"320001021","2","25013","1000","32000102"
"320001022","2","25014","1000","32000102"
"320001031","8","91002","1000","32000103"
"320001032","12","94002","3000000","32000103"
"320001033","2","25015","1000","32000103"
"320001034","2","25021","1000","32000103"
"320001041","2","25013","1000","32000104"
"320001042","2","25014","1000","32000104"
"320001051","2","25012","1000","32000105"
"320001052","2","25015","1000","32000105"
"320001061","8","91002","1000","32000106"
"320001062","12","94002","3000000","32000106"
"320001063","2","25011","1000","32000106"
"320001064","2","25021","1000","32000106"
"320001071","2","25014","1000","32000107"
"320001072","2","25015","1000","32000107"
"320001081","2","25011","1000","32000108"
"320001082","2","25013","1000","32000108"
"320001091","8","91002","1000","32000109"
"320001092","12","94002","3000000","32000109"
"320001093","2","25012","1000","32000109"
"320001094","2","25021","1000","32000109"
"320001101","2","25011","3000","32000110"
"320001102","2","25012","3000","32000110"
"320001103","2","25013","3000","32000110"
"320001104","2","25014","3000","32000110"
"320001105","2","25015","3000","32000110"
"320001111","2","25011","3000","32000111"
"320001112","2","25012","3000","32000111"
"320001113","2","25013","3000","32000111"
"320001114","2","25014","3000","32000111"
"320001115","2","25015","3000","32000111"
"320001121","2","25011","3000","32000112"
"320001122","2","25012","3000","32000112"
"320001123","2","25013","3000","32000112"
"320001124","2","25014","3000","32000112"
"320001125","2","25015","3000","32000112"
"320001131","2","21953","1","32000113"
"320001132","2","25021","2000","32000113"
