69f99b44b43574c4f18862f984ec152cede769dcf6fd2ab1a6fa37986148157f,ea3ca5355c89ec119b120b2fd12b80a2e12cb6179a39e50b385fa0c4b75e2f78,0c585275b39a749b0a062a082a5f49c28322c4d4ca1568fff2a75f84b396b708,f549bcb15d390a0dcbeb41bfba06eb9f2f3bd3b9850ca1c90aa23a6ddbbb870b,98c14842de60af1efc768a49ade71e278bcb85bc5ce94d6951307a1c072f5e6f,906ca91502bd06d721e054eec13d0466636a317f6b9077aadff93816d04cd3ea,33f91f95b831a81c903657bfffdc9b088cc7b3dbd81ef1c0b340f71843c44912
"1","0","2","0","10101","0","300"
"1","1","2","0","10101","0","360"
"1","2","2","0","10101","0","420"
"1","3","2","0","10101","0","480"
"1","4","2","0","10101","0","540"
"1","5","2","0","10101","0","600"
"2","0","2","0","10101","0","900"
"2","1","2","0","10101","0","960"
"2","2","2","0","10101","0","1020"
"2","3","2","0","10101","0","1080"
"2","4","2","0","10101","0","1140"
"2","5","2","0","10101","0","1200"
"3","0","2","0","10101","0","1500"
"3","1","2","0","10101","0","1560"
"3","2","2","0","10101","0","1620"
"3","3","2","0","10101","0","1680"
"3","4","2","0","10101","0","1740"
"3","5","2","0","10101","0","1800"
"4","0","2","0","10101","0","2100"
"4","1","2","0","10101","0","2160"
"4","2","2","0","10101","0","2220"
"4","3","2","0","10101","0","2280"
"4","4","2","0","10101","0","2340"
"4","5","2","0","10101","0","2400"
"5","0","2","0","10101","0","2700"
"5","1","2","0","10101","0","2760"
"5","2","2","0","10101","0","2820"
"5","3","2","0","10101","0","2880"
"5","4","2","0","10101","0","2940"
"5","5","2","0","10101","0","3000"
"1","0","5","0","10102","0","150"
"1","1","5","0","10102","0","180"
"1","2","5","0","10102","0","210"
"1","3","5","0","10102","0","240"
"1","4","5","0","10102","0","270"
"1","5","5","0","10102","0","300"
"2","0","5","0","10102","0","450"
"2","1","5","0","10102","0","480"
"2","2","5","0","10102","0","510"
"2","3","5","0","10102","0","540"
"2","4","5","0","10102","0","570"
"2","5","5","0","10102","0","600"
"3","0","5","0","10102","0","750"
"3","1","5","0","10102","0","780"
"3","2","5","0","10102","0","810"
"3","3","5","0","10102","0","840"
"3","4","5","0","10102","0","870"
"3","5","5","0","10102","0","900"
"4","0","5","0","10102","0","1050"
"4","1","5","0","10102","0","1080"
"4","2","5","0","10102","0","1110"
"4","3","5","0","10102","0","1140"
"4","4","5","0","10102","0","1170"
"4","5","5","0","10102","0","1200"
"5","0","5","0","10102","0","1350"
"5","1","5","0","10102","0","1380"
"5","2","5","0","10102","0","1410"
"5","3","5","0","10102","0","1440"
"5","4","5","0","10102","0","1470"
"5","5","5","0","10102","0","1500"
"1","0","7","0","10103","0","150"
"1","1","7","0","10103","0","180"
"1","2","7","0","10103","0","210"
"1","3","7","0","10103","0","240"
"1","4","7","0","10103","0","270"
"1","5","7","0","10103","0","300"
"2","0","7","0","10103","0","450"
"2","1","7","0","10103","0","480"
"2","2","7","0","10103","0","510"
"2","3","7","0","10103","0","540"
"2","4","7","0","10103","0","570"
"2","5","7","0","10103","0","600"
"3","0","7","0","10103","0","750"
"3","1","7","0","10103","0","780"
"3","2","7","0","10103","0","810"
"3","3","7","0","10103","0","840"
"3","4","7","0","10103","0","870"
"3","5","7","0","10103","0","900"
"4","0","7","0","10103","0","1050"
"4","1","7","0","10103","0","1080"
"4","2","7","0","10103","0","1110"
"4","3","7","0","10103","0","1140"
"4","4","7","0","10103","0","1170"
"4","5","7","0","10103","0","1200"
"5","0","7","0","10103","0","1350"
"5","1","7","0","10103","0","1380"
"5","2","7","0","10103","0","1410"
"5","3","7","0","10103","0","1440"
"5","4","7","0","10103","0","1470"
"5","5","7","0","10103","0","1500"
"1","0","10","0","10104","0","300"
"1","1","10","0","10104","0","360"
"1","2","10","0","10104","0","420"
"1","3","10","0","10104","0","480"
"1","4","10","0","10104","0","540"
"1","5","10","0","10104","0","600"
"2","0","10","0","10104","0","900"
"2","1","10","0","10104","0","960"
"2","2","10","0","10104","0","1020"
"2","3","10","0","10104","0","1080"
"2","4","10","0","10104","0","1140"
"2","5","10","0","10104","0","1200"
"3","0","10","0","10104","0","1500"
"3","1","10","0","10104","0","1560"
"3","2","10","0","10104","0","1620"
"3","3","10","0","10104","0","1680"
"3","4","10","0","10104","0","1740"
"3","5","10","0","10104","0","1800"
"4","0","10","0","10104","0","2100"
"4","1","10","0","10104","0","2160"
"4","2","10","0","10104","0","2220"
"4","3","10","0","10104","0","2280"
"4","4","10","0","10104","0","2340"
"4","5","10","0","10104","0","2400"
"5","0","10","0","10104","0","2700"
"5","1","10","0","10104","0","2760"
"5","2","10","0","10104","0","2820"
"5","3","10","0","10104","0","2880"
"5","4","10","0","10104","0","2940"
"5","5","10","0","10104","0","3000"
"1","0","2","0","10201","0","300"
"1","1","2","0","10201","0","360"
"1","2","2","0","10201","0","420"
"1","3","2","0","10201","0","480"
"1","4","2","0","10201","0","540"
"1","5","2","0","10201","0","600"
"2","0","2","0","10201","0","900"
"2","1","2","0","10201","0","960"
"2","2","2","0","10201","0","1020"
"2","3","2","0","10201","0","1080"
"2","4","2","0","10201","0","1140"
"2","5","2","0","10201","0","1200"
"3","0","2","0","10201","0","1500"
"3","1","2","0","10201","0","1560"
"3","2","2","0","10201","0","1620"
"3","3","2","0","10201","0","1680"
"3","4","2","0","10201","0","1740"
"3","5","2","0","10201","0","1800"
"4","0","2","0","10201","0","2100"
"4","1","2","0","10201","0","2160"
"4","2","2","0","10201","0","2220"
"4","3","2","0","10201","0","2280"
"4","4","2","0","10201","0","2340"
"4","5","2","0","10201","0","2400"
"5","0","2","0","10201","0","2700"
"5","1","2","0","10201","0","2760"
"5","2","2","0","10201","0","2820"
"5","3","2","0","10201","0","2880"
"5","4","2","0","10201","0","2940"
"5","5","2","0","10201","0","3000"
"1","0","5","0","10202","0","150"
"1","1","5","0","10202","0","180"
"1","2","5","0","10202","0","210"
"1","3","5","0","10202","0","240"
