3cfad3139f9cf70db71c986c1390dd8a39b058fd086834d1601e4a2b619aab9a,6d37729b7f459b73d5a2b34a953da34be1babbf2891a5f40e5795917b160de6e,3c11f9208a5ba10bc7e45ad79fcb1d7c6b095f4b898c261ab4eabbd84907501b,5076e105cc1237fcada34998e2ecf1cb15cf3fd8f0c108b5fb04e19cab4b2f4c,49fe1222173f9080b18d10ea289eedc9b9dc09a1491a93274cb458bf9a09e16f,d57d9a54363994b0ef7cfa624bd4ee4dfb2485fe2d4b7895dbe55ff8d7e0b984,ccc4d0cc5723e8bb31296775fb614b0af630c7c0ab73169416bac5c320899f5b,696628b66858b900db21e43adb38e898b7e8c296a8599072163b34892e86804d,73289c7a42344ba2ab38dd590c130879ef2b98312c73289a33adec9ea94d441a,633d3569d44aba4238a6fdc49b037e6839efad753c712acafaaa130859f675d1,8b407e88912632aea3ded1d0dba4d6cab1a6c8ef853be76a995ab03dd6e5e689
"メインクエスト1-10 (NORMAL)をクリアしよう","10101","11001010","1","10101001","0","1","10101001","0","0","11"
"ペコリーヌをLv10にしよう","10101","105801","10","10101002","0","1","10101002","0","0","1"
"ペコリーヌをRANK2にしよう","10101","105801","2","10101003","0","1","10101003","99017","0","2"
"メインストーリー第1章をすべて閲覧しよう","10101","2001006","1","10101004","0","1","10101004","0","0","16"
"キャラのスキルLvを合計で50回上げよう","10101","0","50","10101005","0","1","10101005","0","0","9"
"メインクエスト2-6 (NORMAL)をクリアしよう","10101","11002006","1","10101006","0","1","10101006","31059","99010","11"
"プリンセスナイト強化を1回行おう","10101","0","1","10101007","0","1","10101007","0","0","10"
"経験値クエストを1回クリアしよう","10101","21002","1","10101008","0","1","10101008","0","0","12"
"マナクエストを1回クリアしよう","10101","21001","1","10101009","0","1","10101009","0","0","12"
"メインクエスト2-12 (NORMAL)をクリアしよう","10101","11002012","1","10101010","0","1","10101010","0","0","11"
"Cygames IDと連携しよう","10101","0","1","10101011","0","1","10101011","0","0","18"
"ペコリーヌをRANK3にしよう","10101","105801","3","10101012","0","1","10101012","99017","0","2"
"ペコリーヌをLv20にしよう","10101","105801","20","10101013","0","1","10101013","0","0","1"
"メインクエスト3-12 (NORMAL)をクリアしよう","10101","11003012","1","10101014","0","1","10101014","0","0","11"
"メインストーリー第2章をすべて閲覧しよう","10101","2002006","1","10101015","0","1","10101015","0","0","16"
"メインクエスト4-10 (NORMAL)をクリアしよう","10101","11004010","1","10101016","0","1","10101016","99010","0","11"
"メインクエスト2-2 (HARD)をクリアしよう","10101","12002002","1","10101017","0","1","10101017","0","0","11"
"ペコリーヌの絆ランクを4にしよう","10101","1058","4","10101018","0","1","10101018","0","0","3"
"ペコリーヌを★3にしよう","10101","105801","3","10101019","0","1","10101019","0","0","4"
"メインクエスト5-13 (NORMAL)をクリアしよう","10101","11005013","1","10101020","0","1","10101020","0","0","11"
"メインストーリー第3章をすべて閲覧しよう","10101","2003010","1","10101021","0","1","10101021","0","0","16"
"メインクエスト4-1 (HARD)をクリアしよう","10101","12004001","1","10101022","0","1","10101022","0","0","11"
"コッコロを★3にしよう","10101","105901","3","10101023","0","1","10101023","0","0","4"
"メインクエスト6-14 (NORMAL)をクリアしよう","10101","11006014","1","10101024","0","1","10101024","0","0","11"
"メインクエスト7-14 (NORMAL)をクリアしよう","10101","11007014","1","10101025","0","1","10101025","99010","0","11"
"メインストーリー第1部ステップ1のミッションをすべて達成しよう","10101","1010101","25","10101026","0","1","10101026","0","0","17"
"メインクエスト9-2 (NORMAL)をクリアしよう","10102","11009002","1","10102001","0","1","10102001","99010","0","11"
"メインストーリー第4章をすべて閲覧しよう","10102","2004010","1","10102002","0","1","10102002","0","0","16"
"聖跡調査クエストを1回クリアしよう","10102","18001","1","10102003","0","1","10102003","0","0","13"
"ペコリーヌの専用装備１を装備しよう","10102","105801","1","10102004","0","1","10102004","0","0","5"
"コッコロの専用装備１を装備しよう","10102","105901","1","10102005","0","1","10102005","0","0","5"
"メインクエスト6-1 (HARD)をクリアしよう","10102","12006001","1","10102006","0","1","10102006","0","0","11"
"ユイを★3にしよう","10102","100201","3","10102007","0","1","10102007","0","0","4"
"メインクエスト9-15 (NORMAL)をクリアしよう","10102","11009015","1","10102008","0","1","10102008","31058","99010","11"
"ペコリーヌを★4にしよう","10102","105801","4","10102009","0","1","10102009","0","0","4"
"メインクエスト10-17 (NORMAL)をクリアしよう","10102","11010017","1","10102010","0","1","10102010","99010","99018","11"
"メインストーリー第5章をすべて閲覧しよう","10102","2005010","1","10102011","0","1","10102011","0","0","16"
"メインクエスト11-17 (NORMAL)をクリアしよう","10102","11011017","1","10102012","0","1","10102012","99010","99018","11"
"メインストーリー第1部ステップ2のミッションをすべて達成しよう","10102","1010201","12","10102013","0","1","10102013","0","0","17"
"メインクエスト8-1 (HARD)をクリアしよう","10103","12008001","1","10103001","0","1","10103001","0","0","11"
"ユイを★4にしよう","10103","100201","4","10103002","0","1","10103002","0","0","4"
"メインストーリー第6章をすべて閲覧しよう","10103","2006099","1","10103003","0","1","10103003","0","0","16"
"メインクエスト12-17 (NORMAL)をクリアしよう","10103","11012017","1","10103004","0","1","10103004","31059","99010","11"
"コッコロを★4にしよう","10103","105901","4","10103005","0","1","10103005","0","0","4"
