d30c8bfc91e4bf3340a5a9c8813c0174055a117a6ca39367412de5cc98316c42,d88575617ad77f0c9bee7c5754b2a17d59fc30b76abe36dc73deffe728465fde,4a3d82606daf94c041fb89e192bcf8691b7bea6ae17cab8113f76cad070e3f63,27e67476dced2b5aa0f3afc3da11b42753f3968135e4e81d508572526598754c,1ac054b7f9d542c4527cbf7b7fbc4ea2efb3239d5df7b1a36ffdb7ca7b5d0b24,f2f3b0bb171e992b3fa08e81d933c35397748a28abdcf0fb42af29f3b249d9c1,42f4f722318e7f2a7f7ac0fc36a343dbe085dc318c11a3c30aac300221377fa6,1feb15997b4a66974990cbb793d815204c10556a0cc8a7b5d94fc39b2f1ec186,3cc10aa9d29a65e1aab8561e590b1f208843092a288972df33417d09d3744458,564da509c75eba5446b0016808c04e11b828e925c218d43c4cc213f9ea096c3d,f1c3925ff9da44f4733d6be600c3092d68a57acaabebb896b8337b04c7523b5c
"1","1","129811","1","167","1001","1.65","-224","100","drama_idle","1"
"1","1","129911","0","-49","1002","1.65","-224","100","drama_idle","1"
"1","3","drama_idle","","","1003","0.2","","1","","129811"
"1","3","drama_talk_arm_crossed_in","0","drama_talk_arm_crossed_loop","1004","0.2","1","0","","129911"
"1","21","vo_minigame_1013_top_talk_1_000","","0","1005","","","0","","vo_minigame_1013"
"1","11","魔物がいくらでも\n湧いてくるのなら、\n戦う相手に困りません\nむしろ好都合ですわね","0","1","1006","0","0","6","0","129911"
"1","91","","","","1007","","","","","0"
"1","3","drama_idle_arm_crossed","","","1008","0.2","","1","","129911"
"1","3","drama_talk_doya_in_smile","0","drama_talk_doya_loop_smile","1009","0.2","1","0","","129811"
"1","21","vo_minigame_1013_top_talk_1_001","","0","1010","","","0","","vo_minigame_1013"
"1","11","ははっ…\nそんな扱いになると\n魔物も少し気の毒に\n思えちまうな～","0","1","1011","0","0","6","0.3","129811"
"1","91","","","","1012","","","","","0"
"1","3","drama_idle_arm_crossed","","","1013","0.2","","1","","129811"
"1","3","drama_talk_smile_in","0","drama_talk_smile_loop","1014","0.2","1","0","","129911"
"1","21","vo_minigame_1013_top_talk_1_002","","0","1015","","","0","","vo_minigame_1013"
"1","11","訓練の糧になれるなら\n彼らも光栄でしょう\nクスクス…喜びの声が\n聞こえてくるようです","0","1","1016","0","0","5","0.5","129911"
"1","91","","","","1017","","","","","0"
"1","3","drama_idle","","","1018","0.2","","1","","129911"
"1","3","drama_idle","","","1019","0.2","","1","","129811"
"2","1","129811","1","167","2001","1.65","-224","100","drama_idle","1"
"2","1","129911","0","-49","2002","1.65","-224","100","drama_idle","1"
"2","3","drama_idle","","","2003","0.2","","1","","129911"
"2","3","drama_talk_admire_in","","drama_talk_admire_loop","2004","0.2","1","0","","129811"
"2","21","vo_minigame_1013_top_talk_2_000","","0","2005","","","0","","vo_minigame_1013"
"2","11","こうして兵士が大勢\n集まると、壮観だな\n訓練兵とは思えない\n迫力ってやつがあるよ","0","1","2006","0","0","7","0.5","129811"
"2","91","","","","2007","","","","","0"
"2","3","drama_idle_admire","","","2008","0.2","","1","","129811"
"2","3","drama_talk_arm_crossed_in","","drama_talk_arm_crossed_loop","2009","0.2","1","0","","129911"
"2","21","vo_minigame_1013_top_talk_2_001","","0","2010","","","0","","vo_minigame_1013"
"2","11","そんな彼らを従えて\n教育するのが私たち…\n期待に応え、全力で\nしつけてあげましょう","0","1","2011","0","0","5","0.3","129911"
"2","91","","","","2012","","","","","0"
"2","3","drama_idle_arm_crossed","","","2013","0.2","","1","","129911"
"2","3","drama_talk_guts2_in","","drama_talk_guts2_loop","2014","0.2","1","0","","129811"
"2","21","vo_minigame_1013_top_talk_2_002","","0","2015","","","0","","vo_minigame_1013"
"2","11","エリコの教官姿も、\nしっかり決まってるし\nよ～しっ、あたしも\n負けてられねえぜ！","0","1","2016","0","0","8","0.3","129811"
"2","91","","","","2017","","","","","0"
"2","3","drama_idle","","","2018","0.2","","1","","129811"
"2","3","drama_idle","","","2019","0.2","","1","","129911"
"3","1","129811","1","167","3001","1.65","-224","100","drama_idle","1"
"3","1","129911","0","-49","3002","1.65","-224","100","drama_idle","1"
"3","3","drama_idle","","","3003","0.2","","1","","129811"
"3","3","drama_talk_thinking","","","3004","0.2","","1","","129911"
"3","21","vo_minigame_1013_top_talk_3_000","","0","3005","","","0","","vo_minigame_1013"
"3","11","実際に魔物と対峙し、\nその体に刃を打ち込む\n訓練もこの感触が\nあってこそですわね","0","1","3006","0","0","5","0.8","129911"
"3","91","","","","3007","","","","","0"
"3","3","drama_idle_thinking","","","3008","0.2","","1","","129911"
"3","3","drama_talk_sad_in","","drama_talk_sad_loop","3009","0.2","1","0","","129811"
"3","21","vo_minigame_1013_top_talk_3_001","","0","3010","","","0","","vo_minigame_1013"
"3","11","相変わらず物騒な\n物言いしてるけど…\nま、理屈よりまず実践\nって教え方もありか","0","1","3011","0","0","7","0.5","129811"
"3","91","","","","3012","","","","","0"
"3","3","drama_idle_sad","","","3013","0.2","","1","","129811"
"3","3","drama_talk_arm_crossed_in","","drama_talk_arm_crossed_loop","3014","0.2","1","0","","129911"
"3","21","vo_minigame_1013_top_talk_3_002","","0","3015","","","0","","vo_minigame_1013"
"3","11","では新兵たちにも\n実践的教育の良さを\n身をもって体験して\nいただきましょう","0","1","3016","0","0","6","0.3","129911"
