6eb2c5f9f4973e4c249047303252c863b8c2086293ebbc37810f679607d2b652,67e0e47fb0f524ee57cf76d15ab70386b8ef2dcaf5b0ae2b4c3ba6c4e49295a9,2bb78f91b3a29a8b03e2eb82ed89f33ee5c9f06ce2a81bbaad68fce31118911a,2f9ea28bddf1d9e2dc495a9937caf2b38ef0f96b5226cf4e3fb651b2e2651c2f,ac1522070b0a309ab337346e73ec370030fc0ee21b334b456943497ae8321e3d
"0","1","0","1","1001"
"0","2","0","1","1002"
"0","3","0","1","1003"
"0","4","0","1","1004"
"0","1","0","2","2001"
"0","2","0","2","2002"
"0","3","0","2","2003"
"0","4","0","2","2004"
"0","1","1","2","2101"
"0","2","1","2","2102"
"0","3","1","2","2103"
"0","4","1","2","2104"
"10001","11","2","2","2111"
"10001","12","2","2","2112"
"10001","13","2","2","2113"
"0","1","0","3","3001"
"0","2","0","3","3002"
"0","3","0","3","3003"
"0","4","0","3","3004"
"0","1","0","4","4001"
"0","2","0","4","4002"
"0","3","0","4","4003"
"0","4","0","4","4004"
"0","100","0","4","4005"
"0","10101","1","5","5010"
"1","10201","2","5","5020"
"2","10202","2","5","5021"
"0","10301","3","5","5030"
"1","10301","3","5","5031"
"0","10302","4","5","5040"
"0","10303","5","5","5050"
"0","10304","6","5","5060"
"0","90001","1","6","6001"
"0","90001","2","6","6002"
"1","90001","2","6","6003"
"0","90001","3","6","6006"
"1","91101","3","6","6007"
"2","91201","3","6","6008"
"3","91301","3","6","6009"
"0","90001","4","6","6010"
"1","91101","4","6","6011"
"2","91201","4","6","6012"
"3","91301","4","6","6013"
"0","90001","5","6","6014"
"1","91101","5","6","6015"
"2","91201","5","6","6016"
"3","91301","5","6","6017"
"0","90001","6","6","6018"
"1","91101","6","6","6019"
"2","91201","6","6","6020"
"3","91301","6","6","6021"
"0","90002","0","7","7000"
"1","90002","0","7","7001"
"2","90003","0","7","7002"
"1","90002","2","7","7003"
"2","90003","2","7","7004"
"1","91102","3","7","7005"
"2","91103","3","7","7006"
"1","91102","4","7","7007"
"2","91103","4","7","7008"
"1","91102","5","7","7009"
"2","91103","5","7","7010"
"1","91102","6","7","7011"
"2","91103","6","7","7012"
"0","20101","0","9","9001"
"0","20201","0","10","10001"
"0","20202","1","10","10002"
"0","10501","8","101","10180"
"0","1","1","100","100001"
"0","1","2","100","100002"
"0","2","3","100","100003"
"0","2","4","100","100004"
"0","2","5","100","100005"
"0","2","6","100","100006"
"0","10301","98001","101","980001"
"2","10402","98001","101","980002"
"1","10401","98011","101","980011"
"2","10402","98012","101","980012"
