292aacb2c2cfaa660da1bb59f3ca42d6410dbc74f38f583438bf047057a1184d,91552ff39b8f5d90fb83aaf6f73773f8c2b260f9aabb893da3019764b3e111a2,38667f2260e3dd1c9b8247967ad0b68f80e05f0c4fd8a252dbc7b8aa9f4409eb
"118301","20114","180701"
"118301","20115","180701"
"118401","20116","180701"
"118401","20117","180701"
"118401","20118","180701"
"120501","20123","180801"
"120401","20124","180801"
"120601","20125","180801"
"120401","20126","180801"
"120501","20127","180801"
"120601","20128","180801"
"120601","30157","180801"
"121801","20129","180901"
"121801","20130","180901"
"121701","20131","180901"
"121801","20132","180901"
"121701","20133","180901"
"121701","20134","180901"
"121701","20135","180901"
"124301","20148","181001"
"124301","20149","181001"
"124401","20150","181001"
"124401","20151","181001"
"128101","20167","181101"
"128101","20168","181101"
"128101","20169","181101"
"128101","20170","181101"
"128201","20171","181101"
"128201","20172","181101"
"128101","20175","181101"
