e8046a89d06996d472c53e69c7f5f6a2a58264403bcc4f84fe69930fa380ebd8,aef0eb2e809f69aed07e3ad9f7c2e2b83bd5966c816224f0e1c1d80083bcb735,878f06430a90ae2a2476f8549af91f150e310baf047148b8c21007187abc39f5
"32025","1","1"
"32046","2","1"
"32048","3","1"
"32016","4","1"
"32060","5","1"
"32078","5","2"
"32031","6","1"
"32007","7","1"
"32050","8","1"
"32033","9","1"
"32058","10","1"
"32075","10","2"
"32042","11","1"
"32021","12","1"
"32023","13","1"
"32027","14","1"
"32049","15","1"
"32011","16","1"
"32045","17","1"
"32030","18","1"
"32013","19","1"
"32040","20","1"
"32018","21","1"
"32028","22","1"
"32043","23","1"
"32017","24","1"
"32010","25","1"
"32036","26","1"
"32004","27","1"
"32020","28","1"
"32059","29","1"
"32076","29","2"
"32014","30","1"
"32038","31","1"
"32003","32","1"
"32089","32","2"
"32071","33","1"
"32029","34","1"
"32044","35","1"
"32056","36","1"
"32012","37","1"
"32047","38","1"
