59a1501338a99c7e8998ca7028734d0f0b06b2d15124935ec74e3ce4c4c309bf,c373e920fe0ea0a3452361e298dcac28532dbab18fbe5a9f054d31014360c4c8,fe87c60dc38b675af9764f8e132cf54e6f26b238ab2445b26971884ca08456c3,7827d14d8d11a59ef6fa7656e159a4af969207a449f7fb62ab9f157c8d92098a,4dff51337a10474762928fcc1ff75e8c186c9de80dfca9b27a6c12fffd6834c0,8ca98d64b864b0ad0010ab6dd50969aff07e5f4a443f2e67575985964897f74d,47eb03843e036e02d0a7f0e51406103f7e129c1fbe9791cc0043fc16e25fcff4,9de6382c4bb9c2c7f0dc90a7742250016343839ac1bac9bfb6167eab447216d8,eed32837f8b0e38e64788f3c5b3385b47a04cd2ee7f56c56a6c17a9a9fd48849,e76cdf2b5a69109dbe6cb062facc831faf9a344d48526c4bae6559e6dbb28c84,2914ea74ac76a8988d9ae9f746eb3ad1d6403b99049131b5a41391eb116b10fa,8c062590ee214152a7770ab09fd5c57675712fa647d7840e83cfba17706ec9fd,594913211b75e843b1ca7a1df64f40145f82e6fe85aec090d3885d2aac7c162d
"130011","2","0","0","10000101","0","100001","ヤマト","攻撃力と攻撃速度を小アップ","攻撃力を15％アップさせ、攻撃速度を10％\nアップさせる。","0","0","2210101"
"130111","2","0","0","10000201","0","100002","ワカナ","最大HPと攻撃速度を小アップ","最大HPを15％アップさせ、攻撃速度を10％\nアップさせる。","0","0","2210201"
"130211","2","0","0","0","0","100003","フブキ","敵の移動速度と攻撃速度を小ダウン","バトル開始から３秒間、敵の移動速度と攻撃\n速度を15%ダウンさせる。","0","0","2210301"
"105811","2","0","1","10000401","0","100004","ペコリーヌ","最大HPを中アップ","最大HPを25％アップさせる。","0","0","0"
"106011","2","0","2","0","0","100005","キャル","敵の移動速度を中ダウン","バトル開始から３秒間、敵の移動速度を25％\nダウンさせる。","0","0","2210501"
"105911","2","0","3","10000601","0","100006","コッコロ","コスト上限を大アップ","コスト上限を50％アップさせる。","0","0","0"
"106411","3","0","4","0","0","100007","シェフィ","移動速度を中アップ","移動速度を25％アップさせる。","0","0","2210701"
"131311","2","0","5","10000801","0","100008","リリ","攻撃力と移動速度を小アップ","攻撃力を15％アップさせ、移動速度を10％\nアップさせる。","0","0","2210801"
"131411","2","0","6","10000901","0","100009","クリア","最大HPと移動速度を小アップ","最大HPを15％アップさせ、移動速度を10％\nアップさせる。","0","0","2210901"
"131511","2","0","7","10001001","0","100010","プレシア","コスト上限と移動速度を小アップ","コスト上限を25％アップさせ、移動速度を\n10％アップさせる。","0","0","2211001"
"126411","2","0","8","10001101","0","100011","クローチェ","攻撃力と攻撃速度を小アップ","攻撃力を10％アップさせ、バトル開始から\n３秒間、攻撃速度を15％アップさせる。","0","0","2211101"
"126511","3","0","9","0","0","100012","ライラエル","攻撃力を中アップ","バトル開始から３秒間、攻撃力を25％アップ\nさせる。","0","0","2211201"
"127711","2","0","10","0","0","100013","リンド","攻撃速度と攻撃力をアップ","バトル開始から３秒間、攻撃速度を10％アッ\nプさせ、その後、攻撃力を25％アップさせる。","0","0","2211301"
"127811","2","0","11","0","0","100014","ヴルム","自分の攻撃速度と敵の攻撃力をダウン","バトル開始から３秒間、自分の攻撃速度を\n10％ダウンさせ、その後、敵の攻撃力を25％\nダウンさせる。","0","0","2211401"
