35cada1b63213b81dad3ac78e7fdd1964e819c387e0637d740fc50f59b6be510,aff3e08619595c64f0dba1e41c9f42695605e10815e2bdcf46940fd727f3bba9,cb2889d02d3fe2bdacbe9f009e3f21f1611f2cd2dd4aa1503b42c532cf92a30c,ddfe7c8de52f4afe611fc7b69ca9f01105e6ac50e7e79e59ea5a8a9526e3fd99,966905f6d968d05cb55aedd8ba966fe07b908098d7f1ab93ff797c752d887533,88d41375a29b34d489a72a47d89a678b7a41bda46c41a73292730fb5823a2e46,783f039b25437080cc5d22739c86da85a729fecb42559ad1084bb1d800f96bb3,1d76e10ef8c76f3c3ffd5256c77a0f503478217baebb8060e2413df53b6db7db,7bca7cd6a4e42aa9f399003edc93ee3324aaf8fc753eefe8b8eb172043c2f6c8,fc5422cba2954eeafbd1719018a230cf02f2491531586dc6e564b69c2fed4ea8,4973f5923000d39c712e90ecc0e08c6b6c2a306536dd849ea179bbf701a7c2c7
"1","100","850","1010001","1","-120","1","102611","ttk_idle_def","5","1"
"1","0","0","1010002","1","1","2","2","","31",""
"1","-120","-80","1010003","1","1","1","1","","31",""
"","","","1010004","1","","1","","","93",""
"","0","0","1010005","1","","vo_minigame_1005","vo_minigame_1005_top_000","","21",""
"0.3","ttk_idle_doya","0","1010006","1","1","102611","ttk_doya","","3","0.3"
"0","","8","1010007","1","","102611","任された仕事は\nきちんとやるよ","","11","0"
"","","","1010008","1","","0","","","91",""
"1","100","850","1020001","2","-120","1","102611","ttk_idle_def","5","1"
"1","0","0","1020002","2","1","2","2","","31",""
"1","-120","-80","1020003","2","1","1","1","","31",""
"","","","1020004","2","","1","","","93",""
"","0","0","1020005","2","","vo_minigame_1005","vo_minigame_1005_top_001","","21",""
"0.3","ttk_idle_def","0","1020006","2","1","102611","ttk_idle_smile","","3","0.3"
"0","","8","1020007","2","","102611","あたしの前に\n現れたこと\n後悔させてあげる","","11","0"
"","","","1020008","2","","0","","","91",""
"1","100","850","1030001","3","-120","1","102611","ttk_idle_def","5","1"
"1","0","0","1030002","3","1","2","2","","31",""
"1","-120","-80","1030003","3","1","1","1","","31",""
"","","","1030004","3","","1","","","93",""
"","0","0","1030005","3","","vo_minigame_1005","vo_minigame_1005_top_002","","21",""
"0.1","ttk_idle_joy","0","1030006","3","1","102611","ttk_joy","","3","0.3"
"0","","8","1030007","3","","102611","コツをつかめば\n結構楽しいかも\nいや、労働は労働か…","","11","0"
"","","","1030008","3","","2.2","","","93",""
"0.3","","1","1030009","3","","102611","ttk_talk_sad","","3","0.3"
"","","","1030010","3","","3","","","93",""
"0.3","","1","1030011","3","","102611","ttk_idle_def","","3","0.3"
"","","","1030012","3","","0","","","91",""
"1","100","850","1040001","4","-120","1","102611","ttk_idle_def","5","1"
"1","0","0","1040002","4","1","2","2","","31",""
"1","-120","-80","1040003","4","1","1","1","","31",""
"","","","1040004","4","","1","","","93",""
"","0","0","1040005","4","","vo_minigame_1005","vo_minigame_1005_top_003","","21",""
"0.3","ttk_idle_shock","0","1040006","4","1","102611","ttk_shock","","3","0.3"
"0","","8","1040007","4","","102611","ねずみのことなんか\n知りたくないよ\nはぁ…めんどくさい","","11","0"
"","","","1040008","4","","5","","","93",""
"0.3","","1","1040009","4","","102611","ttk_idle_def","","3","0.3"
"","","","1040010","4","","0.7","","","93",""
"1","100","850","1050001","5","-120","1","102611","ttk_idle_def","5","1"
"1","0","0","1050002","5","1","2","2","","31",""
"1","-120","-80","1050003","5","1","1","1","","31",""
"","","","1050004","5","","1","","","93",""
"","0","0","1050005","5","","vo_minigame_1005","vo_minigame_1005_top_004","","21",""
"0.3","","0","1050006","5","","102611","ttk_surprise","","3","0.3"
"0","","8","1050007","5","","102611","うわっ！？\nこっちこないでよ！\nはぁ…チマチマ\n追い払うのは大変だ…","","11","0"
"","","","1050008","5","","0.9","","","93",""
"0.3","","1","1050009","5","","102611","ttk_talk_anger","","3","0.3"
"","","","1050010","5","","0.8","","","93",""
"0.3","ttk_talk_sad","0","1050011","5","1","102611","ttk_sad","","3","0.3"
"","","","1050012","5","","5","","","93",""
"0.3","","1","1050013","5","","102611","ttk_idle_def","","3","0.3"
"","","","1050014","5","","0","","","91",""
"1","100","850","1060001","6","-120","1","102611","ttk_idle_def","5","1"
"1","0","0","1060002","6","1","2","2","","31",""
"1","-120","-80","1060003","6","1","1","1","","31",""
"","","","1060004","6","","1","","","93",""
"","0","0","1060005","6","","vo_minigame_1005","vo_minigame_1005_top_005","","21",""
"0.3","","1","1060006","6","","102611","ttk_idle_worry","","3","0.3"
"0","","8","1060007","6","","102611","こんなことに\n慣れたくないよ…\nでも牧場のためには\nやるしかないか","","11","0"
"","","","1060008","6","","7","","","93",""
"0.3","ttk_idle_def","0","1060009","6","1","102611","ttk_amz","","3","0.3"
"","","","1060010","6","","0","","","91",""
