b81ef1afee3eb7c125f4f5d457c3a569e0844aa466543505e7cf0d7ea5d3a877,9a15ef77cf37830253e9861c5de38f7c2be24099ec7a4d857e0207857e3650ed,0cf37df91799813817d3a24d98a0ccfcc56934c60b1de7c6446bc50a300104d7,590bf60f567b95d886a8822d02b4bbbad59b25c1c0f951822f185c61388c6a9f,48c1611a613a1ef44037261b73971ae0476df95e14a1598f6e274f4359e1f23f,20a7e8088726208ccf07ac2a042ccf90b9513045bd60a833fbc7c326f0dcb3c8,abb291ff21796c847b1a4d23f514585c9ffca16e74497f05106177e9dcb7d714,f053414e123fda10f71a8be0ed20ab9b01a270cf7de692a905808a8a9278c9ce,2651805e6c44cf2e4b41101da1323112e85a59cd2cf5c5970d9af15da6df1826,404ea14c3c0e4c98a5b5ac6d2b9af72d5e9823c5339b9298335ad4d5b09c3c98,4e2f20306c55f5a5418525306f989680f6b27afddd96f57ee7dec04ea1d0fb58
"1010001","1.3","01_uek_cmn_idol_def_N","1","1","1","0","100","-496","-157","105831"
"1010002","1.3","01_uek_cmn_idol_def_N","1","1","1","0","110","-355","-178","105931"
"1010003","1.3","01_uek_cmn_idol_def_N","1","1","1","1","100","410","-124","112631"
"1010004","1.3","01_uek_cmn_idol_def_N","1","1","1","1","110","389","-258","112531"
"1010005","1.3","01_uek_cmn_idol_def_N","1","1","1","0","120","-415","-234","106031"
"1010006","1.3","01_uek_cmn_idol_def_N","1","1","1","1","120","262","-235","112431"
"1010007","0","","105831","1","3","0.2","0","01_uek_cmn_pose03","1","01_uek_01_peko"
"1010008","0","","105931","1","3","0.2","0","01_uek_talk_normal","1","01_uek_01_kokkoro"
"1010009","0","","106031","1","3","0.2","0","01_uek_cmn_pose02","1","01_uek_01_kyaru"
"1010010","0","","112631","1","3","0.2","0","01_uek_cmn_pose03","1","01_uek_01_mio"
"1010011","0","","112531","1","3","0.2","0","01_uek_cmn_pose02","1","01_uek_01_rin"
"1010012","0","","112431","1","3","0.2","0","01_uek_cmn_pose01","1","01_uek_01_uduki"
"1010013","","","3","1","93","","","","",""
"1010014","0.2","","112631","1","3","","1","","0","01_uek_cmn_pose03"
"1010015","0.2","","112431","1","3","","1","","0","01_uek_cmn_pose01"
"1010016","0.2","","105831","1","3","","1","","0","01_uek_cmn_pose03"
"1010017","0.2","","105931","1","3","0.1","0","01_uek_cmn_idol_def_N","1","01_uek_talk_normal"
"1010018","0.2","","106031","1","3","0.1","0","01_uek_cmn_idol_def_N","1","01_uek_cmn_pose02"
"1010019","0.2","","112531","1","3","0.1","0","01_uek_cmn_idol_def_N","1","01_uek_cmn_pose02"
"1010020","","","105831","1","11","","10","","","うわぁ～…！\n大きくなりすぎて\nやばいですね☆"
"1010021","","","0","1","91","","","","",""
"1010022","","","105931","1","11","","10","","","うえきちゃんが\nどこまで続くのか\n分からないほどです"
"1010023","","","0","1","91","","","","",""
"1010024","","","112631","1","11","","10","","","こういうのってさ\n上がどうなってるか\n見てみたいよね！"
"1010025","","","0","1","91","","","","",""
"1010026","","","112531","1","11","","10","","","確かにね…それに\nこうなった理由も\n分かるかも"
"1010027","","","0","1","91","","","","",""
"1010028","","","106031","1","11","","10","","","ま、興味はあるし\n付き合ってあげるわ"
"1010029","","","0","1","91","","","","",""
"1010030","","","112431","1","11","","10","","","はい♪みなさんで\n頂上を目指して\n頑張りましょう！"
"1010031","","","0","1","91","","","","",""
"1020001","1.3","02_uek_cmn_idol_def_N","1","2","1","0","100","0","0","104431"
"1020002","","","104431","2","3","","0","02_uek_02_ilya_loop","0","02_uek_02_ilya"
"1020003","","","104431","2","11","","10","0","","はーっはっはっは！\n世界征服への\n第一歩を始めるぞ！"
"1020004","","","0","2","91","","","","0",""
"1030001","1.3","01_uek_cmn_idol_def_N","1","3","1","0","100","-140","-10","105831"
"1030002","1.3","01_uek_cmn_idol_def_N","1","3","1","1","100","120","10","105931"
"1030003","1.3","01_uek_cmn_idol_def_N","1","3","1","1","100","0","0","106031"
"1030004","","","105831","3","3","","0","01_uek_03_peko_loop","0","01_uek_03_peko"
"1030005","","","106031","3","3","","0","01_uek_03_kyaru_loop","0","01_uek_03_kyaru"
"1030006","","","105831","3","11","","10","0","","キャルちゃん！\n見てください\nいい景色ですよ☆"
"1030007","","","0","3","91","","","","",""
"1030008","","","106031","3","11","","10","0","","ちょ、あんた！\n引っぱんないでよ！\n落ちるでしょうが！"
"1030009","","","0","3","91","","","","",""
"1030010","","","105931","3","3","","0","01_uek_cmn_idol_def_N","1","01_uek_03_kokkoro"
"1030011","","","105931","3","11","","10","0","","ふふ、この先も\nきっと素敵な景色が\n待っているはずです"
"1040001","1.3","02_uek_cmn_idol_def_N","1","4","1","0","100","-120","-30","101131"
"1040002","1.3","02_uek_cmn_idol_def_N","1","4","1","1","100","20","-5","104931"
"1040003","","","101131","4","3","","1","","","02_uek_talk_joy2"
"1040004","","","101131","4","11","","10","0","","マスターセンリも\n一発からです！\n頑張りますよ！"
"1040005","","","0","4","91","","","","",""
"1040006","0.2","","101131","4","3","","1","","","02_uek_cmn_idol_def_N"
"1040007","0.2","","104931","4","3","","1","","","02_uek_04_shizuru"
"1040008","","","104931","4","11","","10","0","","それを言うなら\n千里の道も一歩から\nだよ、リノちゃん"
"1040009","","","0","4","91","","","","",""
