4247daaa223a17302abefa786bb0ebc17f7217109e92d25ad8e865af432e8ae2,98b1cca7b61752e80ec3f4b5046d68d8c4b7fd25d4be1ed72ddb479bd454fdbc,3844b0766cbb9155d808ea6db370233682cfea558ac993449fad9ebc5af4eced,5eff5050f6f40ed81244e133da4a8e3425267f3bffdfb7c6882cbd77dae59d14,dc0496337f9067eef57cb2933028677a34f9166de7ac96b67b534b80be4359b8,d5812cddc12683339c4c743b1ece68f975afd96c19b31251717e98124948980d,8db4a237e324a9b605b3b9c29a3c77af1df78990afd0bf983e3baf58e2d0fd16
"101","8","2500","累計スコアを2500pt 獲得しよう","1","91002","10"
"102","8","5000","累計スコアを5000pt 獲得しよう","1","91002","10"
"103","8","10000","累計スコアを10000pt 獲得しよう","1","91002","10"
"104","8","12500","累計スコアを12500pt 獲得しよう","1","91002","10"
"105","8","15000","累計スコアを15000pt 獲得しよう","1","91002","10"
"106","8","20000","累計スコアを20000pt 獲得しよう","1","91002","10"
"107","8","25000","累計スコアを25000pt 獲得しよう","1","91002","10"
"108","8","30000","累計スコアを30000pt 獲得しよう","1","91002","10"
"109","8","35000","累計スコアを35000pt 獲得しよう","1","91002","10"
"110","8","40000","累計スコアを40000pt 獲得しよう","1","91002","10"
"111","8","45000","累計スコアを45000pt 獲得しよう","1","91002","10"
"112","15","50000","累計スコアを50000pt 獲得しよう","1","11001302","1"
"201","8","2500","累計スコアを2500pt 獲得しよう","2","91002","10"
"202","8","5000","累計スコアを5000pt 獲得しよう","2","91002","10"
"203","8","10000","累計スコアを10000pt 獲得しよう","2","91002","10"
"204","8","12500","累計スコアを12500pt 獲得しよう","2","91002","10"
"205","8","15000","累計スコアを15000pt 獲得しよう","2","91002","10"
"206","8","20000","累計スコアを20000pt 獲得しよう","2","91002","10"
"207","8","25000","累計スコアを25000pt 獲得しよう","2","91002","10"
"208","8","30000","累計スコアを30000pt 獲得しよう","2","91002","10"
"209","8","35000","累計スコアを35000pt 獲得しよう","2","91002","10"
"210","8","40000","累計スコアを40000pt 獲得しよう","2","91002","10"
"211","8","45000","累計スコアを45000pt 獲得しよう","2","91002","10"
"212","15","50000","累計スコアを50000pt 獲得しよう","2","11001303","1"
