ee45c1238726cfb9d741e2277ef26e8cb58ae4673191f8c2fc58deefc29e7126,18e6635be63953778639472b8475c54c26f811bbaea958b1e5dc7b2770f03df5,33d398c346c2916cb4b5c050274d438c8c33f1b1aa90eb03060336edff8feadc,e440083a0e6e1291b5af429c22607256f56a01a46c2198bced42348671af1a74,ec5353405e1a5d5a9f55a19a232f87f406a8331644678f5c8e08745b93fb1e98
"0","2700","1","1","1"
"0","3600","1","2","2"
"0","5400","1","3","3"
"1","3600","1","4","1"
"1","5400","1","5","2"
"1","7200","1","6","3"
"0","1800","2","7","1"
"0","2700","2","8","2"
"0","3600","2","9","3"
"1","2700","2","10","1"
"1","4050","2","11","2"
"1","5400","2","12","3"
"0","1800","3","13","1"
"0","2700","3","14","2"
"0","3600","3","15","3"
"1","2700","3","16","1"
"1","4050","3","17","2"
"1","5400","3","18","3"
"0","1800","4","19","1"
"0","2700","4","20","2"
"0","3600","4","21","3"
"1","2700","4","22","1"
"1","4050","4","23","2"
"1","5400","4","24","3"
