c4b348edeae2d8395adcdd017e0ded417041021f26c458c9c107a571bcf0e434,ca79328d97b773dce04fbe3b9bd3863e1f4ee91470da55d1830d6d70db794a5d,d0857a1d421f5db37a5d7a2b0446352cc37fbbdced21de735d28ecd8fef3f203,d673a56043a88cc8a5f1a0403a3d99a78ca9f12821812882c96d53208904fd09,2c3362655cbe4c506245145963a858e8cd7fe05c2c1f4068afb37163b2a799fc,531adccbbf7b93ea6fa0c9bd9fd816495a7a71c3f02e15aa0e91b30fffea593d,9c7f0123b782146bfe4c6efce70276dd72c5d977538122b5274cfc7eb2b4acfc,39b12a0f28021cd746c65ba330ca6e0adcd376697f2dd086e79ef532535b8a92,6dd85a61e2e56ddc1a1cbcaf7d67a9ae49e1dd73a5b8e072f57bac2d8506ebb2,a2ae02f3a1b5156533f9d3510a6f16631c95670f5dfab96b5e2301208f107397,af20f914f74ad262fe25069c7dbdba4e3713b96be39ba05a579bf2e17225d1d6
"1004601","10046","2022/7/31 11:00:00","2022/8/31 10:59:59","活动特别章节","活动「美里的夏日声援！　追梦的盛夏棒球队」的\n特别章节已解锁。","也可以从特别剧情\n阅读独特的故事。","5046601","前往剧情","1","5046601"
"1004801","10048","2022/9/15 0:00:00","2022/9/30 10:59:59","活动特别章节","观看活动「快乐变身 双生天使」的\n结局，即可解锁特别章节。","也可以从特别剧情\n阅读独特的故事。","0","前往剧情","2","5048"
"1004802","10048","2022/9/15 0:00:00","2022/9/30 10:59:59","活动特别章节","在活动「快乐变身 双生天使」中\n收到了拉菲的信！","也可以从特别剧情\n阅读独特的故事。","0","前往剧情","3","5048"
"1005601","10056","2023/1/15 0:00:00","2023/1/30 10:59:59","活动特别章节","活动「新春美食公主！　孤注一掷的少女们」的\n特别章节已解锁。","也可以从特别剧情\n阅读独特的故事。","5056601","前往剧情","4","5056"
"1006101","10061","2023/2/28 11:00:00","2023/3/19 14:59:59","活动特别章节","活动「灰姑娘课程　璀璨的日子有着苹果的滋味」的\n特别章节已解锁。","可以从特别剧情\n阅读独特的故事。","5061601","前往剧情","3","5061"
"1006102","10061","2023/3/14 23:59:59","2023/3/19 14:59:59","活动特别章节","活动「灰姑娘课程　璀璨的日子有着苹果的滋味」的\n特别章节已解锁。","","5061602","前往剧情","5","10061"
"1006103","10061","2023/3/19 15:00:00","2023/3/31 10:59:59","活动特别章节","活动「灰姑娘课程　璀璨的日子有着苹果的滋味」的\n特别章节已解锁。","可以从特别剧情\n阅读独特的故事。","5061601","前往剧情","3","5061"
"1006601","10066","2023/4/28 11:00:00","2023/5/31 10:59:59","小游戏剧情解锁","小游戏「大激战！词语接龙 龙人竞赛」\n解锁了新的剧情","观看需要在「大家的游戏桌」中\n购买「大激战！词语接龙 龙人竞赛」\n并游玩EXTRA","5027704","前往剧情","6","1004"
"1007001","10070","2023/7/14 23:59:59","2023/7/19 14:59:59","伊绪的新增评论","“暑假的绘画日记”里\n增加了伊绪老师的修改意见。","可以从“暑假的绘画日记”封面切换\n页面，查看修改意见。","5070601","前往活动","5","10070"
"1007301","10073","2023/8/18 12:00:00","2023/8/31 10:59:59","活动特别章节","活动「美里的夏日应援！　追梦的盛夏棒球队」的\n特别章节已解锁。","也可以从特别剧情\n阅读独特的故事。","5046601","前往剧情","1","5046601"
"1007501","10075","2023/9/24 23:59:59","2023/9/30 10:59:59","活动特别章节","观看活动「快乐变身 双生天使」的\n结局，即可解锁特别章节。","也可以从特别剧情\n阅读独特的故事。","0","前往剧情","2","5048"
"1007502","10075","2023/9/24 23:59:59","2023/9/30 10:59:59","活动特别章节","在活动「快乐变身 双生天使」中\n收到了拉菲的信！","也可以从特别剧情\n阅读独特的故事。","0","前往剧情","3","5048"
"1008201","10082","2024/01/12 23:59:59","2024/01/17 14:59:59","新增大合照","“大家一起办年节菜派对”中\n新增了大合照。","","5082601","前往活动","5","1004"
"1008301","10083","2024/01/25 23:59:59","2024/01/28 14:59:59","活动特别章节","活动「新春美食公主！　赌上关键一掷的少女们」的\n特别章节已解锁。","也可以从特别剧情\n阅读独特的故事。","5056601","前往剧情","4","5056"
