94ccba0b455a9edd3718c4014f7ee06b226303b6230b95765021eec4f8bfd5bf,a2272e596f2ae2eb7b57c7b7752ed9d161bf607aeed91695dc9d82cb074de884,3ca6c3983aba490c3f179ee3d5a2b00ed2dac2542b8bfcc3632ab75be4994f19,b3d45325eca1df221a84360deadbdaf1ae17af6ccc1584a3036eaf09ea176e3e,323489b381af6f040fd7efb8ce95f410b4ef0ba1c28cacf7ce3f7d40aac3ccec,1068a022c8f3a3919fd0bcf4dab25832b7ac44ce2f085a5e4008b5d9ce66163a,17c567761190d0e6b25766c81c87b15f903f2fc2fd78db13f391f0da869ff594,7c3539cf96f7639a7f5f7965e7f90c77293b8ec47ead9f7e72575de195219689
"101","短时间内，展开障碍物屏障　（技能值上升量：大）","短时间内，展开障碍物屏障！","2001","3","0","0","0"
"102","中等时间内，小幅提升　　速度与跳跃（技能值上升量：小）","中等时间内，小幅提升速度与跳跃！","3","5","5","5","0"
"103","短时间内，中幅提升速度　　　（技能值上升量：中）","短时间内，中幅提升速度！","1","4","6","0","0"
"104","中等时间内，展开障碍物屏障！　（技能值上升量：小）","中等时间内，展开障碍物屏障！","2001","5","0","0","0"
"105","中等时间内，小幅提升速度　　　（技能值上升量：小）","中等时间内，小幅提升速度！","1","6","3","0","0"
"106","中等时间内，小幅降低　　对手的速度（技能值上升量：大）","中等时间内，小幅降低对手的速度！","1001","6","4","0","0"
"107","中等时间内，特大幅度提升　　速度与跳跃（技能值上升量：小）","中等时间内，特大幅度提升速度与跳跃！","3","5","17","16","0"
"108","在本回合，中幅提升速度　（技能值上升量：小）","在本回合，中幅提升速度！","1","40","8","0","0"
"109","短时间内，特大幅度提升速度　　（技能值上升量：特小）","短时间内，特大幅度提升速度！","1","4","30","0","0"
"110","在本回合，中幅降低对手的速度（技能值上升量：小）","在本回合，对手会明显减速！","1001","40","10","0","0"
"111","在极短时间内，展开　　　障碍物屏障（技能值上升量：大）","在极短时间内，展开障碍物屏障！","2001","1","0","0","0"
"112","短时间内，大幅降低领先的对手的速度（技能值上升量：小）","短时间内，领先的对手会明显减速！","1004","4","15","0","0"
"113","中等时间内，小幅提升速度　　　（技能值上升量：大）","中等时间内，小幅提升速度！","1","6","5","0","0"
"114","中等时间内，小幅提升跳跃　　　（技能值上升量：大）","中等时间内，小幅提升跳跃！","2","5","5","0","0"
"115","长时间展开防止能力降低的屏障（技能值上升量：特大）","长时间使用屏障防止能力降低！","2002","7","0","0","0"
"116","通过累积，小幅提升速度　　　（技能值上升量：特大）","通过累积，小幅提升速度！","1","25","3","0","0"
"117","通过累积，小幅降低　　对手的速度（技能值上升量：特大）","通过累积，对手会略微减速！","1001","25","3","0","0"
"118","长时间特大幅度提升　　速度与跳跃（技能值上升量：中）","长时间特大幅度提升速度与跳跃！","3","7","30","20","0"
"119","短时间内，大幅降低领先的对手的速度（技能值上升量：中）","短时间内，领先的对手会明显减速！","1004","4","15","0","0"
"120","长时间展开防止能力降低的屏障（技能值上升量：大）","长时间使用屏障防止能力降低！","2002","7","0","0","0"
"121","长时间特大幅度提升跳跃　　（技能值上升量：中）","长时间特大幅度提升跳跃！","2","12","30","0","0"
"122","通过累积，大幅降低领先的对手的速度（技能值上升量：中）","通过累积，领先的对手会有明显减速！","1004","30","15","0","0"
"123","短时间内大幅提升速度后，　　　速度降低（技能值上升量：大）","短时间内大幅加速后，极短时间内减速！","4","4","11","2","8"
"124","长时间中幅提升速度　　　（技能值上升量：大）","长时间中幅提升速度！","1","8","9","0","0"
"125","短时间内，展开障碍物屏障　（技能值上升量：中）","短时间内，展开障碍物屏障！","2001","4","0","0","0"
"126","通过累积，小幅降低　　对手的速度（技能值上升量：特大）","通过累积，对手会略微减速！","1001","30","3","0","0"
"127","长时间特大幅度提升速度　　（技能值上升量：特小）","长时间特大幅度提升速度！","1","10","22","0","0"
"128","短时间内，特大幅度提升跳跃　　（技能值上升量：大）","短时间内，特大幅度提升跳跃！","2","4","30","0","0"
"129","短时间内，特大幅度降低　　对手的速度（技能值上升量：大）","短时间内，特大幅度降低对手的速度！","1001","3","20","0","0"
"130","短时间内，特大幅度提升速度　　（技能值上升量：大）","短时间内，特大幅度提升速度！","1","4","30","0","0"
