seasonpass_mission_id,mission_type,disp_group,category_icon,description,mission_condition,condition_value_1,condition_value_2,condition_value_3,condition_value_4,condition_value_5,condition_num,mission_reward_id,system_id,event_id,start_time,end_time
"1005001","1","1","191","累计消耗100体力吧","220004","0","0","0","0","0","100","10020001","0","10005","2024/12/31 11:00:00","2025/02/24 04:59:59"
"1005002","1","2","191","累计消耗200体力吧","220004","0","0","0","0","0","200","10020001","0","10005","2024/12/31 11:00:00","2025/02/24 04:59:59"
"1005003","1","3","191","累计消耗300体力吧","220004","0","0","0","0","0","300","10020001","0","10005","2024/12/31 11:00:00","2025/02/24 04:59:59"
"1005004","1","4","191","累计消耗400体力吧","220004","0","0","0","0","0","400","10020001","0","10005","2024/12/31 11:00:00","2025/02/24 04:59:59"
"1005005","1","5","191","累计消耗500体力吧","220004","0","0","0","0","0","500","10020001","0","10005","2024/12/31 11:00:00","2025/02/24 04:59:59"
"1005006","2","19","192","地下城商店消耗2000个地下城金币","220011","0","0","0","0","0","2000","10020002","204","10005","2025/02/03 05:00:00","2025/02/24 04:59:59"
"1005007","2","14","192","在地下城获得10000个地下城金币","220008","0","0","0","0","0","10000","10020002","104","10005","2025/01/27 05:00:00","2025/02/24 04:59:59"
"1005008","2","16","192","进行探索20次","220007","0","0","0","0","0","20","10020002","103","10005","2025/02/03 05:00:00","2025/02/24 04:59:59"
"1005009","2","2","192","完成日常任务50次","220001","0","0","0","0","0","50","10020002","0","10005","2025/01/06 05:00:00","2025/01/13 04:59:59"
"1005010","2","13","192","通关主线困难关卡20次","220006","0","0","0","0","0","20","10020002","102","10005","2024/12/31 11:00:00","2025/01/06 04:59:59"
"1005011","2","4","192","累计登陆7天","220002","0","0","0","0","0","7","10020002","0","10005","2025/01/06 05:00:00","2025/01/27 04:59:59"
"1005012","2","6","192","期间内通关任意主线普通关卡100次","220012","0","0","0","0","0","100","10020002","101","10005","2024/12/31 11:00:00","2025/02/03 04:59:59"
"1005013","2","3","192","期间内进行技能强化10次","220013","0","0","0","0","0","10","10020002","503","10005","2025/01/06 05:00:00","2025/01/20 04:59:59"
"1005014","2","17","192","通关任意地下城5次","220014","0","0","0","0","0","5","10020002","104","10005","2025/02/03 05:00:00","2025/02/24 04:59:59"
"1005015","2","15","192","完成公主竞技场战斗5次","220005","0","0","0","0","0","5","10020002","402","10005","2025/02/03 05:00:00","2025/02/24 04:59:59"
"1005016","2","12","192","完成战斗竞技场战斗5次","220015","0","0","0","0","0","5","10020002","401","10005","2024/12/31 11:00:00","2025/01/06 04:59:59"
"1005017","2","18","192","开启限时商店10次吧","220003","0","0","0","0","0","10","10020002","0","10005","2025/02/03 05:00:00","2025/02/24 04:59:59"
"1005018","2","20","192","战斗竞技场时间报酬收取2000个竞技场金币","220016","0","0","0","0","0","2000","10020002","401","10005","2025/02/03 05:00:00","2025/02/24 04:59:59"
"1005019","2","10","192","公主竞技场时间报酬收取2000个公主竞技场金币","220017","0","0","0","0","0","2000","10020002","402","10005","2024/12/31 11:00:00","2025/02/03 04:59:59"
"1005020","2","9","192","战斗竞技场商店消耗1000个竞技场金币","220018","0","0","0","0","0","1000","10020002","202","10005","2024/12/31 11:00:00","2025/02/03 04:59:59"
"1005021","2","11","192","公主竞技场商店消耗1000个公主竞技场金币","220019","0","0","0","0","0","1000","10020002","203","10005","2024/12/31 11:00:00","2025/02/10 04:59:59"
