df3edcd32eef67d00b02fc5d37594981cacd67436f0ae317c09c1008380b3b45,897e1ee5d0fc9bc571f6a7dbada3c809026f558a8d202ae056c01648526caac7,8c8d942d146bb2e395789d29e26c557c88bf75147674d1a0d2037c8bc3f982ed
"20001","31012","31038"
"20002","31020","31004"
"20003","31010","31017"
"20004","31076","31028"
"20005","31080","31032"
"20006","31047","31034"
"20007","31082","31022"
"20008","31009","31051"
"20009","31085","31029"
"20010","31089","31002"
"20011","31090","31011"
"20012","31043","31008"
"20013","31093","31018"
"20014","31053","31045"
"20015","31101","31050"
"20016","31105","31014"
"20017","31056","31040"
"20018","31112","31036"
"20019","31037","31005"
"20020","31116","31044"
"20021","31121","31021"
"20022","31123","31049"
"20023","31107","31046"
"20024","31028","31033"
"20025","31130","31065"
"20026","31132","31027"
"20027","31135","31023"
"20028","31016","31013"
"20029","31141","31054"
"20030","31014","31037"
"20031","31146","31048"
"20032","31147","31060"
"20033","31156","31003"
"20034","31156","31003"
"20035","31158","31010"
"20036","31032","31031"
"20037","31065","31015"
"20038","31168","31040"
"20039","31018","31050"
"20040","31174","31109"
"20041","31096","31051"
"20042","31178","31047"
