116f855cf41f2023816f621d25a29c5989316dc645ca19b35be8cf552cd23b1c,3894f200ab2ac2557f533a514c1061ecbd76b13b4d43d889c352ab3d5b634811,078ca66e79d2dbd106a8ab10e801198c88c6ded4095cc2b9092b774a6725edb5
"180701","2","118401"
"180701","3","118301"
"180701","4","118401"
"180701","5","118401"
"180701","6","118301"
"180701","7","118401"
"180701","8","118301"
"105701","9","170301"
"105701","10","170301"
"105701","11","170301"
"105701","12","170301"
"180801","2","120401"
"180801","3","120501"
"180801","4","120601"
"180801","5","120501"
"180801","6","120601"
"180801","7","120501"
"180801","8","120401"
"180901","2","121701"
"180901","3","121801"
"180901","4","121701"
"180901","5","121801"
"180901","6","121701"
"180901","7","121801"
"180901","8","121801"
"181001","2","124401"
"181001","3","124301"
"181001","4","124401"
"181001","5","124401"
"181001","6","124301"
"181001","7","124401"
"181001","8","124301"
"181101","2","128201"
"181101","3","128101"
"181101","4","128201"
"181101","5","128201"
"181101","6","128101"
"181101","7","128201"
"181101","8","128101"
