dec95607c63ec53d51051ce810416fb87cd25ec0eafb2b6d63a2ea6b440c41a7,f87608153fb0d1997f2841d2242fdd42666c6547ed2c1844a28e76755531a030,43e93ba1b468b4d9c4981237f6719bf29496bec6b3c8549f50b679ce6fb7a2bf,a65cadbe3bd8572d3487d5164bd7da45b3238e1c532f184350f4a6b6565bcbdc,a6456c700a88b907a871a7e806b6d4acd2e0faf6fcd8feb2c9fdfcddf38772f9,940a4d51710b042f48f7b6531b82834eb68c63cd902dbba1c48693e24d7eb1cc,2ed939c87ebbd2d5d5de5f047ff456d08c9a5eef64609f66da0d617d0fa3f308,9c8cd1854cb67cf0b83ce2c7a3c9be06a11d2b8877bb2ab5eaf8f0fdb9129e56,c2fbc38a5dbf9be8fa1b238504b76f290ff29fb8d6c7c24aec940757620145f5,68c281cd828a39226df791237a13f839ecb204eb24501b2a87264ef81c7e6fd5,ebecaf8da9ba804ca7fc9253d46c8d79a457ffb7a5d8e236d06bd326888651d0,b4465b7a382b98af93af3373fbc9794c02e10b562ec9b20025ba8c23f751b344,0c899a5d9505dbdd21d5a1c5afe840f1cf70b5483c1490590a03e1d6c3eabb68,5ff0e24086aa95df8f9365fe76d3625b3e2192bab860e7d729beb1bf7cc89060,d54793b0a3282bcfb8d56807e56b024c85597025e2dbc3f4e2c00722b4eeb3ff,2774e508579c413e12cc20f8f5d52d5d8eec863284012dd28f0e0e548db64f6d,c302bdbbcde3f1b2d28459861329bc8739a029129eafdd44665ff8b387c27468,40f60be4a585ad6daf2909e4527ca7783ae98bca1ed68b234b9a4b01651ee60a,a6a0c34074177038924a463383055b1ee4b527982ebea1d8f2e95da040644972,a462a0aea4201f8b5001181037354b0a3027fd02cb8d8054b5a72595a09a461a,14852a72a4e9d0237a693af49637c94d92a11c6a099d1587179d5ea137051b09,f7399c4408a80c05252578138d5cf516e5516bbc513fa5b3b5f8395b97e120ad,ee31c51fe37cba9a81dfa839a09ec2ef6c3e63455ec930d466aca89c206b943c,5a8d314a7329a72d299a2d2aaf341f2b199aa0e8264887385f203859f1ce7aff,f234db21aa4e3f3a7c4d7875480546e4324b30ac8949d3e36d228d75aa9cf03f
"100101","1","1","1","100000","18","32001","50","0","160","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0"
"100101","2","1","1","100000","11","31001","50","0","80","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0"
"100101","3","1","0","100000","15","25001","10","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100101","3","2","0","200000","15","25001","15","0","200","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0"
"100101","3","3","0","400000","15","25001","20","0","300","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0"
"100101","3","4","0","500000","15","25001","25","0","400","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0"
"100101","3","5","1","600000","15","25001","30","0","500","0","0","0","40","0","0","0","0","0","0","2","0","2","0","0"
"100201","1","1","1","100000","18","32002","50","0","0","100","0","0","0","0","0","0","0","0","0","0","10","0","0","0"
"100201","2","1","1","100000","11","31002","50","0","0","60","0","0","0","0","0","0","0","0","0","0","10","0","0","0"
"100201","3","1","0","100000","15","25001","10","0","0","20","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"100201","3","2","0","200000","15","25001","15","0","0","40","0","4","0","0","0","0","0","0","0","0","0","0","0","0"
"100201","3","3","0","400000","15","25001","20","0","0","60","0","6","0","0","0","0","0","0","0","0","0","0","0","0"
"100201","3","4","0","500000","15","25001","25","0","0","80","0","8","0","0","0","0","0","0","0","0","0","0","0","0"
"100201","3","5","1","600000","15","25001","30","0","0","100","0","10","0","0","0","0","0","0","0","0","10","0","0","0"
"100301","1","1","1","100000","18","32003","50","0","160","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0"
"100301","2","1","1","100000","11","31003","50","0","80","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0"
"100301","3","1","0","100000","15","25001","10","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100301","3","2","0","200000","15","25001","15","0","200","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0"
"100301","3","3","0","400000","15","25001","20","0","300","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0"
