733f4a59c2fd40e4b7a1e0ecae915371ed8704eff166bdd8532fee2e55f61a02,cac52146ce8d6dc1f7a32f48cdb1dc3c62a7a40619ca8cf1ac256be0385f17ca,5dd8941d23e76f987c179d7aadc483cc5d0ef93fd700cd0f2762818eed92b978,39dea5ac83ee4a8773ac516910b4e8642ce3c20cef317449e7f15858e772bb5d,a4043c495d82081f5ea0679ef16a674b79d07946ae4217e1c6d712677a9ddfb2,7360674b6d8d374bb79ec78a9393e5a9a8200b0db1481de7c2187789414351e5,441c739a62bf33f69dd1475842cdd0a415f46a482203c081e746960b7345e229,3a64499252a3513c4cbfa42757ed104864e7b4594a06facfaf3a11d432ca96a3,c7268ece545ee37f8904e4571c509340e98e7bc726d560c4146089766e1c5084
"1","1","0","1","2020/06/27 5:00:00","2020/07/08 4:59:59","0","0","0"
"2","2","0","1","2020/09/15 5:00:00","2020/09/29 4:59:59","0","0","0"
"3","3","0","1","2021/01/08 5:00:00","2021/01/22 4:59:59","0","0","0"
"4","4","0","1","2021/03/01 5:00:00","2021/03/15 4:59:59","1","0","0"
"5","5","0","0","2021/03/15 5:00:00","2021/04/17 4:59:59","1","4","14"
"6","6","0","1","2021/08/21 5:00:00","2021/09/07 4:59:59","1","0","0"
"7","7","0","1","2021/12/20 5:00:00","2022/01/03 15:59:59","1","0","0"
"8","8","0","1","2022/01/28 5:00:00","2022/02/12 4:59:59","1","0","0"
"9","9","0","1","2022/04/30 5:00:00","2022/05/07 4:59:59","1","0","0"
"10","10","0","1","2022/08/15 5:00:00","2022/09/01 4:59:59","1","0","0"
"11","11","0","1","2022/11/10 5:00:00","2022/11/17 4:59:59","1","0","0"
"12","12","0","0","2022/11/17 5:00:00","2022/11/30 4:59:59","1","11","7"
"13","13","0","1","2022/12/21 5:00:00","2023/01/04 4:59:59","1","0","0"
"14","14","0","0","2023/01/04 5:00:00","2023/01/31 4:59:59","1","13","14"
"15","15","0","1","2023/02/15 5:00:00","2023/03/01 4:59:59","1","0","0"
"16","16","0","0","2023/03/01 5:00:00","2023/03/31 4:59:59","1","15","14"
"17","17","0","1","2023/04/28 5:00:00","2023/05/08 4:59:59","1","0","0"
"18","18","0","1","2023/08/15 5:00:00","2023/09/01 4:59:59","1","0","0"
"19","19","0","0","2023/09/01 5:00:00","2023/09/30 4:59:59","1","18","17"
"20","20","0","1","2023/11/03 5:00:00","2023/11/10 4:59:59","1","0","0"
"21","21","0","0","2023/11/10 5:00:00","2023/11/30 4:59:59","1","20","7"
"22","22","0","1","2023/12/20 5:00:00","2024/01/02 4:59:59","1","0","0"
"23","23","0","0","2024/01/02 5:00:00","2024/01/29 4:59:59","1","22","13"
"24","24","0","1","2024/02/18 5:00:00","2024/03/03 4:59:59","1","0","0"
"25","25","0","0","2024/03/03 5:00:00","2024/04/02 4:59:59","1","24","14"
"26","26","0","1","2024/04/17 5:00:00","2024/04/27 4:59:59","1","0","0"
"27","27","0","1","2024/08/15 5:00:00","2024/09/01 4:59:59","1","0","0"
"28","28","0","1","2024/10/15 5:00:00","2024/10/22 4:59:59","1","0","0"
"29","29","0","1","2024/12/23 5:00:00","2025/01/04 4:59:59","1","0","0"
"30","30","0","1","2025/02/13 5:00:00","2025/02/27 4:59:59","1","0","0"
"31","31","0","1","2025/04/10 5:00:00","2025/04/16 4:59:59","1","0","0"
