e738441c408fc287f92d02c598cb547e7ed18f04390489608e7726326213b7c9,22fce6a579c86ffc64fb044eff0097a90aeaa15b12d5dbde4c03811390304c4c,225f3b27aadec9a7a81751c4e7fbaf52e9130aa9b643e612b0c373c7658ed45b,ecdad2f63c53eba1fb5614f04ba99d53d4f44f6c912cd501b376f49196f20916,f0e1ebb11f7336d5a1a1c640e1dd4eaf70111652836b834576787e6921bff113,3ede4e126346332e11c11e4c25dec83ffb24ed338483a06e945b87f8c58b416a,c411eb517ee1bb05314ee03aa0139ce0d09ce330535c64dc36c1bb1faba71e83,0f6d15b02a5c5220b6ed63a92a51492e32a370032b9f74bb45df6aeef34abd37,af9f596c0d318fcbbe51be240376aaa964429d407a990bd1d54fa1bb8e4e499d,53acc1966ac0c81fbcf8b6d4a57491ba459371f00b73fcc7866f975ae6caf4ff,e7b5f3e321d3c667e39e410fd07c1c68ea8e6da8ff19eb2843f631d82ef82d6e,36f6a9375777680bf899bce8b62d484040b8553f16f1c63c812db68b4e09703e,de43f09d06ad5c604dcf0228f5dc635ebd259ee361674f4c8e269ad92f10841a,3f436ee47d4b43df35955f6dd671c3ea1e265f607a1383dd5be0bdd35187d4a1,2faa3700d56af41605bbb24722a484cae72270dc17ee07339c49814c8cae80e4,58d71ab6e40ae6ade4778a6d1fa879e15c9de1953dc238d711364209c56d6986,e9e9d0f5781dc77f98a19ddac22e9adb006af97a05e146478d7722f8d38ae0f7
"52001","51001","佩可莉姆的饱腹双份饭团","佩可莉姆的\n饱腹双份饭团","佩可莉姆精心制作的特大饭团。\n这么大似乎是为了体现出吃饭是活力来源。\n将最高级的食材包入让一般人饱腹的两倍分量中，\n是一道很有【美食殿堂】特色的菜。","骰子增加至两个。按照掷出的总数前进。","获得500里程。","500","1","1","2","1","0","1","0","10","2"
"52002","51002","可可萝的悠闲小憩沙拉","可可萝的\n悠闲小憩沙拉","可可萝为大家准备的沙拉。\n既考虑到营养均衡，还能吃饱。\n不仅注重味道，还保证了外观。\n是一道能带给大家对冒险的活力，充满慈爱的菜品。","下一次投掷骰子的结果必定是“1”。同时会跳过对下一个回合的计数。","获得500里程。","500","1","3","30001","1","0","2","0","10","2"
"52003","51003","凯露的极品五星汉堡","凯露的\n极品五星汉堡","夹着凯露想吃的食物的汉堡。\n香喷喷的面包和肉香味刺激着食欲。\n它是由非魔物的食材制成的。\n凯露认为这道菜对于冒险食品来说过于豪华了。","下次投掷骰子的结果必定是“5”。","获得1个平凡的未鉴定宝藏。","500","1","2","20004","1","0","1","0","10","1"
"52004","51004","莉莉的脚踏实地进步柏饼","莉莉的\n脚踏实地进步柏饼","是从莉莉制作的柏饼中……精心筛选的\n完美成品。不仅使用了最好的食材，\n还因为制作失败的那部分都被莉莉吃了，\n所以光从单价来看，就已经是很奢侈的菜品了。","接下来三次投掷骰子的结果都必定为“4”。","获得800里程。","500","1","2","20001","3","0","3","0","10","4"
"52005","51005","可璃亚的多彩丰盛豪华便当","可璃亚的\n多彩丰盛豪华便当","可璃亚一大早就开始准备的在冒险时食用的便当。\n菜色种类繁多，每样都堪称绝品。\n因为里面的菜品对大家保密了，\n所以令人很期待打开盖子的那一刻。","触发随机事件。","下次投掷骰子时，会多走一个格子。","500","3","4","1","0","0","3","0","11","1"
"52006","51006","普雷西娅的贪吃鬼香喷喷肉包","普雷西娅的贪吃鬼\n香喷喷肉包","塞满了普雷西娅精心挑选的食材的肉包。\n按照她的要求，做得比普通肉包\n大了好几倍。味道和分量都是满分，绝对会让人\n吃得很开心♪担任烹饪的可璃亚是这么说的。","下次投掷骰子的结果会是“4、5、6”其中的一个。","获得800里程。","500","1","2","20002","1","0","1","0","10","4"
"52007","51007","嘉夜和祈梨的食欲倍增烤肉三明治","嘉夜和祈梨的\n食欲倍增烤肉三明治","嘉夜和祈梨作为便当带来的烤肉。\n体现出祈梨常去的餐厅的硬派风格，作为黑帮\n能拿出三倍干劲，两人配合就是六倍干劲。\n能爆发出下克上的力量……好像是这样的。","下一次投掷骰子的结果必定是“3”，再下一次投掷骰子的结果必定是“6”。","获得一张抽奖券。","500","1","7","1","2","0","1","0","10","3"
"52008","51008","珠希的招财彩虹鲷鱼烧","珠希的招财\n彩虹鲷鱼烧","珠希他们将带入“吉奥·特尔哥尼亚”的\n鲷鱼烧概念融合了当地文化后，\n以神奇的方式改造出来的甜食。散发着彩虹般的光芒，据说\n比兰德索尔的鲷鱼烧还要甜数倍。","下次停在里程格子上时，里程获得量提升200%。","获得500里程。","500","2","5","200","0","1","2","0","10","2"
"52009","51009","克萝茜的满功率土豆沙拉","克萝茜的\n满功率土豆沙拉","克萝茜拼尽全力制作的土豆沙拉。\n本来是打算做成脆皮蛋糕的，\n因为不小心捏碎，就改变了做法，最终完成了这道菜品。\n先不管来历如何，总之非常美味。","[FF7C4E,D62146]【不可覆盖】[-]下一次投掷骰子的结果必定是“8”，再下一次投掷骰子的结果必定是“1”。","获得1个平凡的未鉴定宝藏。","500","1","7","1","2","0","2","1","10","1"
"52010","51010","绫音和胡桃的蓝天郊游套餐","绫音和胡桃的\n蓝天郊游套餐","绫音和胡桃两人一起准备的午餐篮。\n里面装满了各式美味佳肴，体现出与同伴\n去冒险的愉快心情，能够让途中遇见的各种事\n都变得像是更加特别的经历。","地图上的“里程格子”、“宝藏格子” 、“商店格子”的品级上升一级。效果持续到停在对应格子两次为止。","获得500里程。","500","2","6","1","0","2","3","0","10","2"
