1da6a858ea65dcc75cc4d42e290066b0dd40c0422288838aa2269cf9180ca525,e662d815cb3b988cbdada239eb54419da9ce8b59c28644242d81fc33a5720367,80c9c44dc7d55d68dbe034dcbcd3d5650ba1dc045fd9401a7e7177782e80b30d,8ac06334e3cb85558cb8c95ce2ba874fdf7f05aac95058b3b3dfccbd613e1ff4,0029b8e7d1fb2a26204db334f90928aebda989cfd2c48b31fafece0c078213d1
"1","10020001","1001","98002","40"
"2","10020002","1001","98002","200"
"3","10020003","1001","98002","300"
"4","10020004","1001","98002","400"
"5","10020004","12","94002","200000"
"6","10020004","8","91002","80"
"7","10020005","1001","98002","400"
"8","10020005","12","94002","200000"
"9","10020005","2","61252","100"
"10","10020006","1001","98002","400"
"11","10020006","12","94002","200000"
"12","10020006","2","61292","100"
"13","10020007","1001","98002","400"
"14","10020007","2","90005","50"
"15","10020008","1001","98002","400"
"16","10020009","1001","98002","400"
"17","10020009","2","90005","50"
"18","10020009","2","24001","1"
