8a0b290ef767bf2c580ad8cdace6f3a9e62949a94de9f93900e53ed5776eb65f,366142779117d8dbccb7619e526d106096dbac23525fe439e1cc3fcd49ca82df,e057b83e27733f184034a40d77cc40f567e78d88000d120e372dcb6339c76c91,84471053f5b694d49b9b17e754dc5a058b4ce78ad1dc94b78d6208971763282c,0cbaf76a545e28ec075d78401bbdc81e4d8302bd7b270156c591da40ecc376f6,ee71cd4d09ec2da0c3fecbb04deae327bf14b3ba0d634f44ac26ecedc8ea5846,418fcf8f58eece7b4d1e517164b712ade61c81d86ff0cc704cf32d362097ea7c,3648de6c181721a750cc0447e31fb943e3acaf5326f265d13b156014d4c3e87a,57bb3d2b3042668b60821f13c5615761763b77b0a6e643f4966a4c2408c6542a,d7ee1b2763eb4474fd976b836dd0bf6a15bd274e0e82d9f359c3dde413ef8b7f,0dbb265a90e62833ac9f53afab3e98820eab1ca2676cf4ff8893083668ba67bb
"20000","新手冲刺登录庆典","2","10","2020/01/01 5:00:00","2025/02/13 10:59:59","530100","0","0","0","0"
"20001","新手冲刺登录活动","2","10","2025/02/13 11:00:00","2099/12/31 23:59:59","530100","0","0","0","0"
"30000","登录奖励","3","15","2020/01/01 5:00:00","2099/12/31 23:59:59","0","0","0","0","0"
"40001","夏日登录活动 第2期","4","10","2020/08/30 5:00:00","2020/09/14 4:59:59","500160","1","0","0","0"
"40003","环游物语 连结启程！","4","10","2020/10/16 5:00:00","2020/10/26 4:59:59","40003","2","0","0","0"
"40004","跨年纪念登录活动","4","10","2020/12/31 5:00:00","2021/01/14 4:59:59","40004","3","0","0","0"
"40007","复刻Re:０联动纪念 签到登录活动","4","10","2022/11/10 5:00:00","2022/11/22 4:59:59","40007","2","0","0","0"
"40009","复刻偶像大师联动纪念 签到登录活动","4","10","2023/03/08 5:00:00","2023/03/25 4:59:59","40009","2","0","0","0"
"40010","【感谢骑士君的支持】登录奖励活动","4","10","2024/01/11 5:00:00","2024/04/7 4:59:59","40010","3","0","0","0"
"40011","主线剧情开启第3部纪念登录活动","4","6","2025/02/11 5:00:00","2025/02/17 4:59:59","531200","3","0","0","0"
"48001","启程冲刺 宝石庆典活动第一期","4","10","2020/04/17 5:00:00","2020/04/27 4:59:59","48001","0","0","0","0"
"48002","启程冲刺 宝石庆典活动第二期","4","10","2020/04/27 5:00:00","2020/05/07 4:59:59","48002","0","0","0","0"
"48003","启程冲刺 宝石庆典活动第三期","4","10","2020/05/07 5:00:00","2020/05/17 4:59:59","48003","0","0","0","0"
"48004","夏日登录活动 第1期","4","10","2020/08/03 5:00:00","2020/08/18 4:59:59","48004","0","0","0","0"
"48005","黄金周登录活动","4","10","2020/10/01 5:00:00","2020/10/16 4:59:59","48005","0","0","0","0"
"48006","黄金周登录活动","4","10","2021/05/01 5:00:00","2021/05/11 4:59:59","48006","0","0","0","0"
"48007","2.5周年纪念特别登录活动","4","10","2022/10/17 5:00:00","2022/10/30 4:59:59","48007","0","0","0","0"
"49004","「骑士之约」月度登录活动","4","7","2025/04/01 5:00:00","2025/05/01 4:59:59","48001","0","0","0","0"
"49005","「骑士之约」月度登录活动","4","7","2025/05/01 5:00:00","2025/06/01 4:59:59","48001","0","0","0","0"
"49006","「骑士之约」月度登录活动","4","7","2025/06/01 5:00:00","2025/07/01 4:59:59","48001","0","0","0","0"
"60000","祝贺新年 新年登录奖励","6","7","2021/01/19 5:00:00","2021/01/29 4:59:59","500553","0","1","0","0"
"60001","谨贺新年 新年特别登录活动","6","7","2022/1/1  5:00:00","2022/1/11  4:59:59","500553","0","1","0","0"
"60002","谨贺新年 特别登录奖励","6","7","2023/01/01 5:00:00","2023/01/11 4:59:59","500553","0","1","0","0"
"60003","祝贺新年 特别登录奖励","6","7","2024/01/01 5:00:00","2024/01/11 4:59:59","500553","0","1","0","0"
"60004","恭贺新春 新年登录奖励","6","7","2025/1/1 5:00:00","2025/1/11 4:59:59","500553","0","1","0","0"
"70000","圣诞节登录奖励","7","2","2020/12/24 5:00:00","2020/12/26 4:59:59","500160","0","0","1","0"
"70001","新年快乐登录奖励","7","3","2021/01/19 5:00:00","2021/01/22 4:59:59","500160","0","0","2","0"
"70002","圣诞节登录奖励","7","2","2021/12/24 5:00:00","2021/12/26 4:59:59","500160","0","0","1","0"
"70003","谨贺新年 特别登录奖励","7","3","2022/01/01 5:00:00","2022/01/04 4:59:59","500160","0","0","2","0"
"70004","圣诞节登录奖励","7","2","2022/12/24 5:00:00","2022/12/26 4:59:59","500160","0","0","1","0"
"70005","谨贺新年 特别登录奖励","7","3","2023/01/01 5:00:00","2023/01/04 4:59:59","500160","0","0","2","0"
"70006","圣诞节登录奖励","7","2","2023/12/24 5:00:00","2023/12/26 4:59:59","500160","0","0","1","0"
"70007","正月特别登录奖励","7","3","2024/01/01 5:00:00","2024/01/04 4:59:59","500160","0","0","2","0"
"70008","圣诞节登录奖励","7","2","2024/12/24 5:00:00","2024/12/26 4:59:59","500160","0","0","1","0"
"70009","元旦特别登录奖励","7","1","2025/01/01 5:00:00","2025/01/04 4:59:59","500160","0","0","2","0"
"80001","一周年庆倒计时登录奖励","8","15","2021/04/02 5:00:00","2021/04/17 4:59:59","0","0","0","0","1"
"80002","二周年庆倒计时登录奖励","4","15","2022/04/02 5:00:00","2022/04/17 4:59:59","80002","4","0","0","0"
"80003","2.5周年庆倒计时登录奖励","8","15","2022/10/02 5:00:00","2022/10/17 4:59:59","0","0","0","0","1"
"80004","3周年庆倒计时登录奖励","10","17","2023/04/01 5:00:00","2023/04/18 4:59:59","0","0","0","1","1"
"80005","3.5周年庆倒计时登录奖励","8","15","2023/10/03 5:00:00","2023/10/18 4:59:59","0","0","0","0","1"
"80006","4周年庆倒计时登录奖励","10","17","2024/04/01 5:00:00","2024/04/18 4:59:59","0","0","0","1","1"
"80007","4.5 周年 倒计时登录奖励","10","15","2024/10/03 5:00:00","2024/10/18 4:59:59","0","0","0","1","1"
"80008","5周年 倒计时登录奖励","10","16","2025/04/02 5:00:00","2025/04/18 4:59:59","0","0","0","1","1"
"80009","夏日庆典 倒计时登录奖励","10","15","2025/05/31 5:00:00","2025/06/15 4:59:59","0","0","0","1","1"
