b4c169842b487fba75df93dd7da2d81e512218d55decfd8630d9ade5b9729489,4395f774607821f54114ad4bcf36d5b6e7928644d759d9efc6f1ea900ac2ceb4,7b09a4f2a672f3e48caaa86d72e3907b4c12a75e245b2d6cfc6c81c50239094b,3beaf5f5ea4d3929998efea3b12cd2dc58f517fece289c89fab5a101f219153c,b818845a0900a9256988e988aa6d98d69176a2a463f8132521a8c07997fac78f,5d9726ee9ecd6cf6e1e397f83ebdea03755d2b238f6bcf4cf1b66253798924f4,63935b204105c8a363ce2e8fcad056f25aac8473b1c33aef0485b693114cc559,5fb4a1e5c5cebbaf55f6b6a1fdfe6f4ba542def8ebdaf1d2544af5c02184589d,63f2b2409d26652679a1f87574ff9c3f8101efea9f7655fbc141fc57a767e2ae,f29bd42beefe1bb964d4b945b341a10861035b66fbd98ea9b3795c86a1328265,fc699ec4dadc37d3b3ff423fe1c07f5e222fcca68b5f3875c7031a8c9c544c21,fa087683d74041cee34785bc6c0ec26df23e2dca24652ea83d6a3d1e797e49d9
"1","225","24","0.05","20","0.025","16","0","0","0","0","0"
"2","216","23","0.05","19","0.025","15","0","0","0","0","0"
"3","207","22","0.05","18","0.025","14","0","0","0","0","0"
"4","198","21","0.05","17","0.025","13","0","0","0","0","0"
"5","189","20","0.05","16","0.025","12","0","0","0","0","0"
"6","180","19","0.05","15","0.025","11","0","0","0","0","0"
"7","171","18","0.05","14","0.025","10","0","0","0","0","0"
"8","161","17","0.05","13","0.025","9","0","0","0","0","0"
"9","152","16","0.05","12","0.025","8","0","0","0","0","0"
"10","143","15","0.05","11","0.025","7","0","0","0","0","0"
"11","134","14","0.05","10","0.025","6","0","0","0","0","0"
"12","125","13","0.05","9","0.025","5","0","0","0","0","0"
"13","116","12","0.05","8","0.025","4","0","0","0","0","0"
"14","107","11","0.05","7","0.025","3","0","0","0","0","0"
"15","101","10","0.05","6","0.025","2","0","0","0","0","0"
"16","1","0","0","0","0","0","0","0","0","0","0"
