ca20eed906c4c5affc9b2238b86685a582f85a4850b0abeb45301878f75e9096,eff72752b0856253b1342fba97b59e465e62059070f2bb2bc1fa8ec5b0c268af,21669cb60fd00ac1e730f5d8544d89ad9832fc82c44fa45863e3d027c67131f1,89232df2db37652ec69dbedf0b257853b59b6397cb8d53da1f9eee620b9b6565
"10000","第1届 兰德索尔杯","2020/07/11 5:00","2020/07/25 4:59"
"10003","2周年纪念 兰德索尔杯","2022/04/17 5:00","2022/05/02 4:59"
"10005","3周年纪念 兰德索尔杯","2023/04/17 5:00:00","2023/5/1 4:59:59"
"10007","4周年纪念 兰德索尔杯","2024/04/17 5:00:00","2024/5/1 4:59:59"
"10008","夏日庆典纪念 兰德索尔杯","2024/08/15 5:00:00","2024/09/01 4:59:59"
"10009","5周年纪念 兰德索尔杯","2025/04/17 5:00:00","2025/05/01 4:59:59"
"10010","夏日庆典纪念 兰德索尔杯","2025/06/14 5:00:00","2025/07/01 4:59:59"
"18001","第1.5届 兰德索尔杯","2021/02/11 5:00","2021/02/18 4:59"
"18002","1周年纪念 兰德索尔杯","2021/04/18 5:00","2021/05/02 4:59"
"18003","端午节 兰德索尔杯","2021/06/11 5:00","2021/06/21 4:59"
"18004","夏日庆典 兰德索尔杯","2021/08/21 5:00","2021/09/07 4:59"
"18005","夏日庆典 兰德索尔杯","2022/08/15 5:00","2022/09/01 4:59"
"18006","夏日庆典 兰德索尔杯","2023/08/15 5:00","2023/09/01 4:59"
