d1fcda0c72a5b5c9ffbcaae721abec24ed30501906645bc91d95447b8f638792,ec403d1e9381933f524741ac7ddf428a5befc2d3c39d260c53de8d3da096f8a9,a160b8330166061b27e664c49d628baff4e9451336fbcd00ae951039aaf7a2d7,4cca6da2ff569548f090dac0c1ffbc0bea98cc1f0a57210018495c29bef5a839,83f3da75d611414adab2d87b401ab7ba01960c3a1e6b7762fb1004f4e5a74d3c,e480e130c3d0a62fd77dd5076eb35a683192444ca1e34fead9d659bfbef9b174,d6e831befca81c68b28a8a7754194dfd5bb4ad15f241269d34a2484beb9eaa06,cd8e8932b54fed00fc8f881659268f2a872963bbf45e3b598b348fba297a8cf2,b1a5fca50d062c263940b67e553ea8ebddbcf9962a0e46507c033eaca9f8038e,8716601f73f94d1bd493b737e5c1b40a3f88395ee36e9049b0049f6f36bb4f74,74e9c9056952a6d610caa5a3c4b3f2b554d47810d8f4a4b0b90257f9c8a21593,63a35a12b8fa6851b5807d4151502aebf47dbf07ec42ed01d678cb07b933c5b1,b63bb51898a4555131dc8cb1e22b47b33060c30f4b3ce5777d186068d15e46c6,2d4ef2451c62ddf85cf807bf7a6c881677ab8114c04f0dd74d257373d41a2aee
"1","31","3000","101","30","1","-1","2020/01/01 0:00:00","2020/04/24 4:59:59","0","0","0","0","1"
"2","41","3000","101","40","1","-1","2020/04/18 5:00:00","2020/04/24 4:59:59","0","0","0","0","1"
"3","34","3000","103","30","1","-1","2020/04/23 5:00:00","2020/04/30 4:59:59","0","0","0","0","1"
"4","44","3000","103","40","1","-1","2020/04/23 5:00:00","2020/04/30 4:59:59","0","0","0","0","1"
"5","45","3000","104","40","1","-1","2020/04/29 5:00:00","2020/05/06 4:59:59","0","0","0","0","1"
"6","31","3000","101","30","1","-1","2020/05/01 5:00:00","2020/05/07 4:59:59","0","0","0","0","1"
"7","41","3000","101","40","1","-1","2020/05/01 5:00:00","2020/05/07 4:59:59","0","0","0","0","1"
"8","34","2000","103","30","1","-1","2020/05/01 5:00:00","2020/05/07 4:59:59","0","0","0","0","1"
"9","44","2000","103","40","1","-1","2020/05/01 5:00:00","2020/05/07 4:59:59","0","0","0","0","1"
"10","32","3000","102","30","1","-1","2020/05/07 5:00:00","2020/05/12 4:59:59","0","0","0","0","1"
"11","42","3000","102","40","1","-1","2020/05/07 5:00:00","2020/05/12 4:59:59","0","0","0","0","1"
"12","34","2000","103","30","1","-1","2020/05/12 5:00:00","2020/05/17 4:59:59","0","0","0","0","1"
"13","44","2000","103","40","1","-1","2020/05/12 5:00:00","2020/05/17 4:59:59","0","0","0","0","1"
"14","45","2000","104","40","1","-1","2020/05/17 5:00:00","2020/05/25 4:59:59","0","0","0","0","1"
"15","151","1500","6004","80","1","-1","2020/05/15 11:00:00","2020/05/26 18:59:59","0","0","0","0","1"
"16","152","1500","6005","80","1","-1","2020/05/15 11:00:00","2020/05/26 18:59:59","0","0","0","0","1"
"17","132","3000","6005","30","1","-1","2020/05/21 5:00:00","2020/05/26 18:59:59","0","0","0","0","1"
"18","142","3000","6005","40","1","-1","2020/05/21 5:00:00","2020/05/26 18:59:59","0","0","0","0","1"
"19","31","2000","101","30","1","-1","2020/05/25 5:00:00","2020/06/02 4:59:59","0","0","0","0","1"
"20","41","2000","101","40","1","-1","2020/05/25 5:00:00","2020/06/02 4:59:59","0","0","0","0","1"
"21","32","2000","102","30","1","-1","2020/06/02 5:00:00","2020/06/08 4:59:59","0","0","0","0","1"
"22","42","2000","102","40","1","-1","2020/06/02 5:00:00","2020/06/08 4:59:59","0","0","0","0","1"
"23","34","2000","103","30","1","-1","2020/06/06 5:00:00","2020/06/16 4:59:59","0","0","0","0","1"
"24","44","2000","103","40","1","-1","2020/06/06 5:00:00","2020/06/16 4:59:59","0","0","0","0","1"
"25","151","1500","6004","80","1","-1","2020/06/08 11:00:00","2020/06/27 23:59:59","0","0","0","0","1"
"26","152","1500","6005","80","1","-1","2020/06/08 11:00:00","2020/06/27 23:59:59","0","0","0","0","1"
"27","131","2000","6004","30","1","-1","2020/06/08 11:00:00","2020/06/14 4:59:49","0","0","0","0","1"
"28","141","2000","6004","40","1","-1","2020/06/08 11:00:00","2020/06/14 4:59:49","0","0","0","0","1"
"29","132","2000","6005","30","1","-1","2020/06/08 11:00:00","2020/06/14 4:59:49","0","0","0","0","1"
"30","142","2000","6005","40","1","-1","2020/06/08 11:00:00","2020/06/14 4:59:49","0","0","0","0","1"
"31","45","2000","104","40","1","-1","2020/06/15 5:00:00","2020/06/26 4:59:59","0","0","0","0","1"
"32","31","2000","101","30","1","-1","2020/06/25 5:00:00","2020/07/01 4:59:59","0","0","0","0","1"
"33","41","2000","101","40","1","-1","2020/06/25 5:00:00","2020/07/01 4:59:59","0","0","0","0","1"
"34","32","2000","102","30","1","-1","2020/07/01 5:00:00","2020/07/06 4:59:59","0","0","0","0","1"
"35","42","2000","102","40","1","-1","2020/07/01 5:00:00","2020/07/06 4:59:59","0","0","0","0","1"
"36","34","2000","103","30","1","-1","2020/07/06 5:00:00","2020/07/16 4:59:59","0","0","0","0","1"
