d9b7ae343cd6624b3a9b25242612ec347ac86b32680b118266a4bb2ab269aa27,90db5cdb02b33411535acb8da5be33fe887125c047d29a6103b5aad3a91e8e07,883afafb94fce55e30cdcb93717077904737838c940daefc2616b8229f789d73,45f68f7e7235426732b35b99bf05da4c72d8c1e53b1562cec2dc7fc5c05575a7,6870eefd2ae8417d01d1e832151ee2208b1bdf1f01ba509f08505fc075a0d77a,915b81b6f8fe7b7844fa58f25597e4219699d2220abb83054f3950e000060ee3,a6f6ee3d62aba04d0fff4956973e02df5eace9c6293ab614bbfe728795d24812,674f12ffa7886fe2a132c56c7bfc2df8e437a1b17d2dc263ff3ba3cde3700c08,0eb9ed432e3d8a198fd266ecf35dbf096e07e5dfaa7311ad2538496d13c3af8a,8af1bfcdf409caf56165877c46968bc48447d8723ff437fdc40f4b172dcf86d9,6d5a8ab4925a53b6378eb390fa9fcd5cd15aa6401efbd314102b1126ea032fc0,00c5ef6c29352e2f0dd99a9e86153c00e2c95d52cfa187eeed982b40f3f7fb6c,8b2e86e836ad38e872c88752e9cbee727f24bf105d02e629435daa0e694493ad,843e82dab43965b8e3a3b69a98df9f1e47d99349e3e8137d4c6e9a93c978f341,b555d0c5db7dbd1534defa7e9f3f1b69809ffca71ee6014def561cd259d2a776,d92b35bf498abe7d4c169c8dd9716d1a1372d12191e51769f3d6e30497d16a4f,ee332be878b46b2e0bec69152d373807e9455498c841cd0b91233d5753a217af,c087fed8559a352d6aea2e58530e0827ae7e626235480eaa097b702fc29b6ccd
"1","10000","获得10000点累积点数","12","94002","100000","0","0","0","0","0","0","0","0","0","0","0","0"
"2","20000","获得20000点累积点数","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"3","30000","获得30000点累积点数","12","94002","100000","0","0","0","0","0","0","0","0","0","0","0","0"
"4","50000","获得50000点累积点数","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"5","80000","获得80000点累积点数","12","94002","100000","0","0","0","0","0","0","0","0","0","0","0","0"
"6","100000","获得100000点累积点数","12","94002","100000","0","0","0","0","0","0","0","0","0","0","0","0"
"7","120000","获得120000点累积点数","8","91002","100","0","0","0","0","0","0","0","0","0","0","0","0"
"8","150000","获得150000点累积点数","12","94002","200000","0","0","0","0","0","0","0","0","0","0","0","0"
"9","200000","获得200000点累积点数","12","94002","200000","0","0","0","0","0","0","0","0","0","0","0","0"
"10","250000","获得250000点累积点数","8","91002","100","0","0","0","0","0","0","0","0","0","0","0","0"
"11","300000","获得300000点累积点数","12","94002","200000","0","0","0","0","0","0","0","0","0","0","0","0"
"12","350000","获得350000点累积点数","12","94002","200000","0","0","0","0","0","0","0","0","0","0","0","0"
"13","400000","获得400000点累积点数","8","91002","100","0","0","0","0","0","0","0","0","0","0","0","0"
