fd6434ff4888940ee58e4bc403cdfa735e23bfa33085df05fd0ba9240b2f68b4,c1eb78023b53b5000e2293d915bddca2b23dd1aa14061ed8e46d500acc467c61,6ad342aecfb33869d9055fa232535b5d4eb86e7a87e9d23697c965e92e0a0d35,9c9f0be48c6c33c12d8526c779e3040130356d3f2556c35b1ccd44395162068b,0249c5c3c376df1aabe3c5b14f0fe370cd24dfb8f74976ddbde489dac6f37187,95bf87590370c58358d7e22386f235199a96298edb6a82d4ea9760bfc0e99db5,860cc672b6f3e6f30a621a300087ecdbd02b0d177ffb42161fff22e5c7d6a9d0,56f5fcec4ff200a1392bec59ca6cd7886c3bb47aad1b0eef24181954d00aa08b,cff6707504946602854ef456c280a6111290f62379f2590d111a4b241c5807e1,51557f0069ce5106f0311a52e99ae8a478738f4f9862e0ede694470ae83d7fb4,d5f9860f677fe2c6fc33911728a662881f22ec6701525b72d306146d4ea1e15e,169cd31b523b2669f44d66934d2ed2077f06c59d07384a235571933e2d92ea22,a94c1c6c48b22f8b7a9e387f6d123e644fe474436d2f63ad5123ac74874773db,6867bbd7da68b3080428ed494b8b3b3bcf62b298fadf78078cf4cabf2670fadc,2c599cbaa127864efe6823a23d7c26709f8b5f5b2392254d550b2f8df58d5af1
"3200101","1004110","603","登顶特别地下城1次吧","1st Round Clear！","80001","0","0","0","1","32001001","32001","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200102","1004110","603","登顶特别地下城2次吧","2nd Round Clear！","80001","0","0","0","2","32001002","32001","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200103","1004110","603","登顶特别地下城3次吧","3rd Round Clear！","80001","0","0","0","3","32001003","32001","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200104","1004110","603","登顶特别地下城4次吧","4th Round Clear！","80001","0","0","0","4","32001004","32001","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200105","1004110","603","登顶特别地下城5次吧","CONQUEST！","80001","0","0","0","5","32001005","32001","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200201","1004110","603","登顶特别地下城1次吧","1st Round Clear！","80001","0","0","0","1","32001001","32002","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200202","1004110","603","登顶特别地下城2次吧","2nd Round Clear！","80001","0","0","0","2","32001002","32002","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200203","1004110","603","登顶特别地下城3次吧","3rd Round Clear！","80001","0","0","0","3","32001003","32002","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200204","1004110","603","登顶特别地下城4次吧","4th Round Clear！","80001","0","0","0","4","32001004","32002","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200205","1004110","603","登顶特别地下城5次吧","CONQUEST！","80001","0","0","0","5","32001005","32002","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200301","1004110","603","登顶特别地下城1次吧","1st Round Clear！","80001","0","0","0","1","32001001","32003","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200302","1004110","603","登顶特别地下城2次吧","2nd Round Clear！","80001","0","0","0","2","32001002","32003","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200303","1004110","603","登顶特别地下城3次吧","3rd Round Clear！","80001","0","0","0","3","32001003","32003","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200304","1004110","603","登顶特别地下城4次吧","4th Round Clear！","80001","0","0","0","4","32001004","32003","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200305","1004110","603","登顶特别地下城5次吧","CONQUEST！","80001","0","0","0","5","32001005","32003","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200401","1004110","603","登顶特别地下城1次吧","1st Round Clear！","80001","0","0","0","1","32001001","32004","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200402","1004110","603","登顶特别地下城2次吧","2nd Round Clear！","80001","0","0","0","2","32001002","32004","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200403","1004110","603","登顶特别地下城3次吧","3rd Round Clear！","80001","0","0","0","3","32001003","32004","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200404","1004110","603","登顶特别地下城4次吧","4th Round Clear！","80001","0","0","0","4","32001004","32004","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200405","1004110","603","登顶特别地下城5次吧","CONQUEST！","80001","0","0","0","5","32001005","32004","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200501","1004110","603","登顶特别地下城1次吧","1st Round Clear！","80001","0","0","0","1","32001001","32005","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200502","1004110","603","登顶特别地下城2次吧","2nd Round Clear！","80001","0","0","0","2","32001002","32005","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200503","1004110","603","登顶特别地下城3次吧","3rd Round Clear！","80001","0","0","0","3","32001003","32005","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200504","1004110","603","登顶特别地下城4次吧","4th Round Clear！","80001","0","0","0","4","32001004","32005","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200505","1004110","603","登顶特别地下城5次吧","CONQUEST！","80001","0","0","0","5","32001005","32005","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200601","1004110","603","登顶特别地下城1次吧","1st Round Clear！","80001","0","0","0","1","32001001","32006","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200602","1004110","603","登顶特别地下城2次吧","2nd Round Clear！","80001","0","0","0","2","32001002","32006","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200603","1004110","603","登顶特别地下城3次吧","3rd Round Clear！","80001","0","0","0","3","32001003","32006","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200604","1004110","603","登顶特别地下城4次吧","4th Round Clear！","80001","0","0","0","4","32001004","32006","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200605","1004110","603","登顶特别地下城5次吧","CONQUEST！","80001","0","0","0","5","32001005","32006","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200701","1004110","603","登顶特别地下城1次吧","1st Round Clear！","80001","0","0","0","1","32001001","32007","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200702","1004110","603","登顶特别地下城2次吧","2nd Round Clear！","80001","0","0","0","2","32001002","32007","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200703","1004110","603","登顶特别地下城3次吧","3rd Round Clear！","80001","0","0","0","3","32001003","32007","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200704","1004110","603","登顶特别地下城4次吧","4th Round Clear！","80001","0","0","0","4","32001004","32007","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200705","1004110","603","登顶特别地下城5次吧","CONQUEST！","80001","0","0","0","5","32001005","32007","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200801","1004110","603","登顶特别地下城1次吧","1st Round Clear！","80001","0","0","0","1","32001001","32008","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200802","1004110","603","登顶特别地下城2次吧","2nd Round Clear！","80001","0","0","0","2","32001002","32008","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200803","1004110","603","登顶特别地下城3次吧","3rd Round Clear！","80001","0","0","0","3","32001003","32008","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200804","1004110","603","登顶特别地下城4次吧","4th Round Clear！","80001","0","0","0","4","32001004","32008","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200805","1004110","603","登顶特别地下城5次吧","CONQUEST！","80001","0","0","0","5","32001005","32008","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200901","1004110","603","登顶特别地下城1次吧","1st Round Clear！","80001","0","0","0","1","32001001","32009","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200902","1004110","603","登顶特别地下城2次吧","2nd Round Clear！","80001","0","0","0","2","32001002","32009","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200903","1004110","603","登顶特别地下城3次吧","3rd Round Clear！","80001","0","0","0","3","32001003","32009","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200904","1004110","603","登顶特别地下城4次吧","4th Round Clear！","80001","0","0","0","4","32001004","32009","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200905","1004110","603","登顶特别地下城5次吧","CONQUEST！","80001","0","0","0","5","32001005","32009","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
