77551ba0196f9cf489b9657b5bae3bd822e0fded56d8c0e4049bcfe3bed501d5,cf27ad65c2ed803a44a0a93471836e07623b1366be9cdee5d304d7ccab72132c,2b8e214d0e493cc6ed99db70cd2eb157bc101d56bf3170eafc22ef18074b8b51,a4280d83be64b1122f090a125e604bd0876e32344505274dab47d72ca990c27e,ac67e78d8f08b23f98d76ee61d25c3fc00fe88658a6448720f4a79aa0e549daf,bff075c9d0ef3aa6c21349805c4f63ef3e9e94902012ab034c04e57eb1679715,9332309e1d07153d0b394b93d945067bf7e05c6b1a0d87fbe74df86d76b6da44
"10101","101","动画 公主连结！Re:Dive 1 附录特典","2020-08-04 12:00:00","2023/12/31 23:59:59","1","0"
"10102","101","动画 公主连结！Re:Dive 2 附录特典","2020-09-03 19:00:00","2023/12/31 23:59:59","1","0"
"10103","101","动画 公主连结！Re:Dive 3 附录特典","2020-10-01 17:00:00","2023/12/31 23:59:59","1","0"
"10104","101","动画 公主连结！Re:Dive 4 附录特典","2020-11-05 12:00:00","2023/12/31 23:59:59","1","0"
"10201","102","动画 公主连结Re:Dive 第2季 第1卷 购买特典","2022-03-21 00:00:00","2026/12/31 23:59:59","1","0"
"10202","102","动画 公主连结Re:Dive 第2季 第2卷 购买特典","2022-04-18 00:00:00","2026/12/31 23:59:59","1","0"
"10203","102","动画 公主连结Re:Dive 第2季 第3卷 购买特典","2022-05-16 00:00:00","2026/12/31 23:59:59","1","0"
"20101","201","周刊法米通6月3日号（5月20日发售） 随刊礼品","2021-05-19 00:00:00","2022/05/19 23:59:59","1","0"
"20201","202","官方插画 第3卷 发售纪念道具","2021-07-30 00:00:00","2030/07/30 23:59:59","1","0"
"20301","203","公主连结庆典2023　真实扭蛋","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20302","203","公主连结庆典2023　真实扭蛋","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20303","203","公主连结庆典2023　真实扭蛋","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20304","203","公主连结庆典2023　真实扭蛋","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20305","203","公主连结庆典2023　真实扭蛋","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20306","203","公主连结庆典2023　真实扭蛋","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20307","203","公主连结庆典2023　真实扭蛋","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20308","203","公主连结庆典2023　真实扭蛋","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20309","203","公主连结庆典2023　真实扭蛋","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20310","203","公主连结庆典2023　真实扭蛋","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20311","203","公主连结庆典2023　真实扭蛋","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20312","203","公主连结庆典2023　真实扭蛋","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20313","203","公主连结庆典2023　真实扭蛋","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20314","203","公主连结庆典2023　真实扭蛋","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20315","203","公主连结庆典2023　真实扭蛋","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20316","203","公主连结庆典2023　真实扭蛋","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20317","203","公主连结庆典2023　真实扭蛋","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20401","204","角色歌专辑第5卷 购买特典","2024-02-14 00:00:00","2025/02/13 23:59:59","1","0"
"20501","205","原声音乐集第6卷 购买特典","2024-02-14 00:00:00","2025/02/13 23:59:59","1","0"
