36d801546e6f6f1dbe25abb51582bcde64c5642c83d3b644f004eddcf2702c8e,4ee84f0176d106b9db8df7e6311cf28d8dfdc1a90089ce329332e183bcb1e873,08c7f5f1e0b86e98f6123013e58bee1123e6cf3ea97759e84c32c27dae45bcaf,8cb3489cf4af9a6a6527d0fa17c18f1d224195ba8165de6b4a903e12bf41c4b1,5f339658bebdb5e813fafc35ea7b09c7435682704b5907ee16ab8b6a20c8f75c,7d4970e486a02f26f82ef7c5bbd0c23ad01dc43ff6304f5bacea01b6c67f0807,6a99adee5b6108cbf8a20a667b5ec70180833d7cfa43e36a4139653a79b47392,7a9436373d37fba3e5dd315cdf69d692f33133165d7a1681bfdaeeb2bbf9bbc5,463ac47dda32478cc607a2a0d53b719d3bda73bc757432dda7c073f0aa8d4dbf,e226d129196c20cf07446dcbe5d43385772c5dc8ecd9feaae4cb4657ee1d38c0,2a180836439c625391f91c80df92006130583505e34bb0684f2688dbb214740c,9ef04c9282bc97750a7c67d57e8276123c00038c240b85a466b6548f265b5242,de878b6ef1c9d53b30b9b8f339f35ff95965cf6fc538dd6029bff94f393e025b,c671ae0004f0866b9e382886b1408a2dee18fb1626ee02dad8e38e3576fd44ba
"24015","24","110501","4","香织（夏日）","啊呜～真遗憾～\n是被奄美魔物\n夺去灵魂了吗？","1","2019/07/31 12:00:00","2030/12/17 14:59:59","0","0","0","4","10021"
"24016","24","110501","4","香织（夏日）","今天的舞跳起来也没什么劲呢～\n吃些类似苦瓜的东西，打起精神来吧！","2","2019/07/31 12:00:00","2030/12/17 14:59:59","0","0","4","1","10021"
"24017","24","110501","4","香织（夏日）","到处都是奄美魔物，眼睛都花了～\n晕乎乎的～","3","2019/07/31 12:00:00","2030/12/17 14:59:59","0","0","0","4","10021"
"24018","24","110501","1","香织（夏日）","总会好的、总会好的。\n下次加油就好！\n在海里游会儿泳，\n振作起来吧！","4","2019/07/31 12:00:00","2030/12/17 14:59:59","0","0","5.2","2","10021"
"24019","24","110501","5","香织（夏日）","我这么丢人的样子\n都被你看到了～\n泳装？我不是指泳装哦？","5","2019/07/31 12:00:00","2030/12/17 14:59:59","0","0","4.2","6","10021"
"24020","24","110501","2","香织（夏日）","状态超棒！就这样\n让大海恢复和平吧！\n快乐的夏天近在眼前！","6","2019/07/31 12:00:00","2030/12/17 14:59:59","0","0","0","2","10021"
"24021","24","110501","1","香织（夏日）","不管有几只来袭，\n我都不会被吓到哦！\n啊嚏！啊……\n不过好像被刚才的喷嚏吓了一跳～","7","2019/07/31 12:00:00","2030/12/17 14:59:59","0","0","6.4","6","10021"
"24022","24","110501","2","香织（夏日）","咿～呀～萨～萨♪\n在战斗结束后尽情跳舞，\n心情都舒畅起来了！","8","2019/07/31 12:00:00","2030/12/17 14:59:59","0","0","0","2","10021"
"24023","24","110501","6","香织（夏日）","咦？在战斗的时候\n泳装不知道跑哪儿去了？\n我说，你有看到吗？\n为什么要远离我啊？","9","2019/07/31 12:00:00","2030/12/17 14:59:59","0","0","10.08","3","10021"
"24024","24","110501","1","香织（夏日）","我还很有精神呢！\n不管是奄美魔物还是别的，\n都尽管冲我来吧♪","10","2019/07/31 12:00:00","2030/12/17 14:59:59","0","0","5","2","10021"
"24025","24","110501","2","香织（夏日）","我的空手道是世上最强的！\n再配上夏日的阳光与碧蓝的大海，\n可谓所向披靡了！","11","2019/07/31 12:00:00","2030/12/17 14:59:59","0","0","0","2","10021"
