70019abec53a97300585c024ff11cb3535c6b660080246089873ab558fc9687a,c248443caed05f68b9fc62686343aecc2d567e37083c1f8652573530f63361ae,213fbf6dcbbb75280140709a99dcb8613d3b4a881baaf9b7b458541ea9ccccab,12e1bbdd243ec8387d9de15fcf1c5d120488db6ba51e11422434098285ae0775,72f864af46eab1fbb13f838051fbd5f3d897c7bdaab6a103d815068f9ef48eae,cef2b115c877317083ee174524b77caefa9becb4634a03bd2b78719cc2edebf2,46370b18c5cab3223235174b76256facf92219abe282d178bac604e31675f5ae,29618ee2dafa001c3b0be10abde0a28f3c361b9030db6102b03b3c968f8fe817,b7d9052f767bf4b1c29fc5f631734f1656b518a158f5a1392bf5bf0ba86d8367,7076fbb00d11d10076e84c50f22e93e8785972772446b2575ba081de389d2b82,fbbff6bd8a3c8e7cc27545b86f5f5c2547a9e1414ce07529c474bde2e8e7d49f,2c63172c36aa1ae14c82d42e1d21671467f044c37b5269c4d8df079aae1ce74b
"1","1","2","90005","5","8","91002","50","4","140001","10","10006"
"2","0","2","23001","10","2","23001","20","0","0","0","10006"
"3","0","2","22003","10","2","22003","20","0","0","0","10006"
"4","0","2","20004","5","2","20004","10","0","0","0","10006"
"5","1","8","91002","30","2","24001","1","2","23001","100","10006"
"6","0","50","1007002","3","50","1007002","5","0","0","0","10006"
"7","0","12","94002","200000","12","94002","500000","0","0","0","10006"
"8","0","51","93002","50","51","93002","100","0","0","0","10006"
"9","0","50","1002001","2","50","1002001","5","0","0","0","10006"
"10","1","8","91002","30","50","1002001","10","8","91002","50","10006"
"11","0","2","90005","5","2","90005","10","0","0","0","10006"
"12","0","2","23001","10","2","23001","20","0","0","0","10006"
"13","0","0","0","0","50","1007002","5","0","0","0","10006"
"14","0","12","94002","200000","12","94002","500000","0","0","0","10006"
"15","1","2","24001","1","2","24001","1","2","22003","50","10006"
"16","0","2","22003","10","2","22003","20","0","0","0","10006"
"17","0","2","20004","5","2","20004","10","0","0","0","10006"
"18","0","0","0","0","51","93002","100","0","0","0","10006"
"19","0","50","1002001","2","50","1002001","5","0","0","0","10006"
"20","1","8","91002","30","2","24001","1","2","90005","10","10006"
"21","0","2","23001","10","2","23001","20","0","0","0","10006"
"22","0","0","0","0","12","94002","500000","0","0","0","10006"
"23","0","0","0","0","51","93002","100","0","0","0","10006"
"24","0","2","22003","10","2","22003","20","0","0","0","10006"
"25","1","8","91002","30","8","91002","50","2","20004","30","10006"
"26","0","2","20004","5","2","20004","10","0","0","0","10006"
