24da57f7fa4d647bef62e7fc40c8e8ba809f4befc3e2b0a9860e6533b03f7acd,f1d07d6eea1a86f0825103b1be79482bd501a4859bb5b6ceefb2342e6847c52a,cbcbcbe5b0e3ee65236e6d04a607e57c7b7c1db0e2a12e42dfdd65b02de219a6,bc4f4e35ec322884d391011a904c15bdc783309d8c18df88b966355717f1bb29,c3c302dcfe74a27132e82449743df32c3a739df8297f140bfcb94a4cbe0a2f45,4fd27359ed45b796c10a27819dfddc06bac74c188669023cb480e44228c88f0f
"1","自动","1","2020-01-01 0:00:00","","1"
"2","默认","2","2020-01-01 0:00:00","","2"
"3","周年庆","3","2020-01-01 0:00:00","","3"
"4","粉色","1","2020-01-01 0:00:00","","4"
"5","红色","1","2020-01-01 0:00:00","","5"
"6","黄色","1","2020-01-01 0:00:00","","6"
"7","绿色","1","2020-01-01 0:00:00","","7"
"8","浅蓝色","1","2020-01-01 0:00:00","","8"
"9","蓝色","1","2020-01-01 0:00:00","","9"
"10","紫色","1","2020-01-01 0:00:00","","10"
"11","灰色","1","2020-01-01 0:00:00","","11"
