714850effab0b50e501e78962b10a81f0a64c9afa81f93fb135008fbd2401b1a,ab473f4eae2405d24faa65b0f5a42b912e4c4f211861d20ff7b3cfb17a894c12,2d955c49fa2b5ea593a879f3a5fabe47af861a73d5e76ce6d154cf13f67bae98,372fc54b0422904008f3ae5beb928f3ffc9a12f44b483f3e384a36cf00302358,2328149b9dc3bfde0314d88e11ed7946ee59b3c82131e8843c6598da42dabff1,5fa7543073d802af121e976615065c23c5992ffba9c6264228acd28a6415b90a,e5ba2b8edae28e97a62581dfcb32ce551a4fa0fad8589c3a44e04da4c387c3bc,2ec9fa32c81a991029918c959a43560a218ee43fbfe512920713c2dfcb335423,96623dc734a1b03cfcf3ba7f35f614578436f0c2c68ce5965c05be326f9f835c,afd99c4958d57e4853c8b18b59683105443cf70800d06f0970e023bf60948870,8866fb409d7de7824751b9e9cccd76d02e4ebfcd0a7810203d630c76b331ec06,0b8818fb08f141c44c78c0558de27036955d4fc2970038c90875797a7fec3b15,bb6f69cf1d259eea7dc74873830c4ba96b76402fbbe0cd53700f1d7d2bfec966,232e3da71fd6804cbd83477c216c288e14929d6ff0083f4b0006500984474174,c096477b0de28bdde6e7c7ba04cbd776ce9fad7fb75c2292c9215cbe6ded5403,b6035797512bdc2ee6b8b886ef3e42957bbe307275424ab6838a204f4d3cae51,b2f9eee47cc545ae369846ba59d6985da6e59c09bda5f8a4b1446319d15d1035,9e5dcc44b9a909d860de65608f22555e341b4cf9c0dec4e8d3306c4036135dc8,de693c6e35c8f2baa05b3629686507b2cb85c75c7a7ea6ac210f3db2f6452f84,4b143ba93dd12078491e74963fa88b19eb6040dbe6b048725eaf96efb8b5ae41,8ff0466f5517c5a630d93fb14de338d6bf6dc5d7899d37ffa7cd330926230c0f,4bfddd46e54d5a49e1c781a37ee67b371a825474cdd6931a7af8616275d5e57f,cc825bda1fda0cdfcc988b9cdd61db613725653913dd68bc91bded94bc3e9b5f,91b4030951c101481e3e96ff5ee333adfd9d09ece2681eecd392b13ed5c3f2ae,8d570f1f20f5233df7cac6eb467bcec2cdd0644427695fb9b93bb42e4d66a04c,0ceb2a2142a5cfcca6c7d91aadab6b4409e23b71b0b5b0433d70c51f66e8ad41,3092863f0f366071d4d200c7e2d1accfe2b012cbdde58956b8b72c74e64c9dd6
"10001","1","阅读活动剧情前篇第3话吧","8008","5035003","0","0","0","0","1","12","94002","2500","2","20002","5","2","23001","5","0","0","0","0","0","0","6001","10062"
"10002","1","阅读活动剧情前篇终章吧","8008","5035005","0","0","0","0","1","12","94002","5000","2","20002","5","2","23001","5","0","0","0","0","0","0","6001","10062"
"10003","1","通关3次活动前篇困难关卡1-1吧","9004","10062201","0","0","0","0","3","12","94002","7500","2","20002","5","2","23001","5","0","0","0","0","0","0","6005","10062"
"10004","1","打倒3次活动前篇困难难度首领吧","9011","1006202","0","0","0","0","3","8","91002","50","2","31126","1","2","20002","5","0","0","0","0","0","0","6007","10062"
"20001","2","阅读活动剧情后篇第1话吧","8008","5036001","0","0","0","0","1","12","94002","10000","2","20002","10","2","23001","5","0","0","0","0","0","0","6003","10063"
"20002","2","重置1次讨伐证交换吧","9006","0","0","0","0","0","1","12","94002","12500","2","20002","10","2","23001","5","0","0","0","0","0","0","6002","10063"
"20003","2","通关3次活动后篇困难关卡1-1吧","9004","10063201","0","0","0","0","3","12","94002","15000","2","20002","10","2","23001","5","0","0","0","0","0","0","6005","10063"
"20004","2","打倒3次活动后篇困难难度首领吧","9011","1006302","0","0","0","0","3","8","91002","75","2","31126","2","2","20002","10","0","0","0","0","0","0","6007","10063"
"30001","3","阅读活动剧情后篇第3话吧","8008","5036003","0","0","0","0","1","12","94002","17500","2","20003","10","2","23001","5","0","0","0","0","0","0","6003","10063"
"30002","3","将未央（偶像大师）提升到★2吧","6011","112601","0","0","0","0","2","12","94002","20000","2","20003","10","2","23001","5","0","0","0","0","0","0","501","0"
"30003","3","重置3次讨伐证交换吧","9006","0","0","0","0","0","3","12","94002","22500","2","20003","10","2","23001","5","0","0","0","0","0","0","6002","10063"
"30004","3","编组未央（偶像大师）打倒活动后篇困难难度首领吧","10000","1006302","1","112601","0","0","1","8","91002","100","2","31126","2","2","20003","5","0","0","0","0","0","0","6007","10063"
"40001","4","阅读活动剧情后篇终章吧","8008","5036005","0","0","0","0","1","12","94002","25000","2","20004","15","2","23001","5","0","0","0","0","0","0","6003","10063"
"40002","4","重置4次讨伐证交换吧","9006","0","0","0","0","0","4","12","94002","27500","2","20004","15","2","23001","5","0","0","0","0","0","0","6002","10063"
"40003","4","打倒活动前篇高难难度首领吧","9011","1006203","0","0","0","0","1","12","94002","30000","2","20004","20","2","23001","5","0","0","0","0","0","0","6010","10062"
"40004","4","打倒活动后篇高难难度首领吧","9011","1006303","0","0","0","0","1","8","91002","125","2","31126","4","2","20004","20","0","0","0","0","0","0","6010","10063"
