32c601ff05ccf78485380d62a17d9f87f6cf56192cd8d55d3f08d77c1f319cdb,06a93407e9582a9b50ebb6b4601ceb2b4c29aa56671e55dc9501fc988b0797ec,f2d48705132258a0bf345c195c82e2129427200ef40185ff12c4fc71e58602db,426874e29d93aa6d66fd6a434cfd32272d08f65b8e021b96d34c31c0846ab51e,a65f895489e55e69cff60ee511c0fe53b79daa17750bcb8fc4cd71abbe0546bd,1f7f92784c5524a5043d991bb868fd2d46c9535e8b6455524e8ca3249dd982ce,f4e7da534528bf51303f611db0fbe6a9edae9a0cab18e779d0bd6148c3cc0265,c367af155958e686be23165bd249babab25511322ceb8d5f7f716cb1ab7926ce,f9a7a478c546f2c31e5cc9c809c8f494a00598a09623babc29b074426cb3869d,77381b721ef72848ffa45359c86afb3fc31dabd1ff021e1178b1d0ac1e6efaf4,9c24075ee69d2ae12d31f6d5bfff5765835c0898cbffda8dde79e575c5430dd2,f35f845fcb4c102e79658d5d155d8d17be0a51eac84053fc3df9105cd2905d5c,867ce8196f250a9408d7e6edf5d1e0eacd61d34aa0fb8a602c92ae6bd7f7a914,62650d97a91d49ecc9a55e2348212b71424fb53691e0deb07b5615186d8913e3,e4a05fea9ce1c15a6d1060cc6015f0ce69bac3d1d5e7da0c921cf0bac92319e2
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","宫子厨房"
"2","48","0","0","0","0","0","0","0","102","0","0","0","0","把你变成布丁"
"3","96","0","0","0","0","0","0","0","152","0","0","0","0","比幽灵还可怕的东西？"
"4","144","0","0","0","0","0","0","0","142","0","0","0","0","办宴会要和做布丁同步进行"
"5","168","0","0","0","0","0","0","0","127","0","0","0","0","为布丁献上爱"
"6","192","0","0","0","0","0","0","0","107","0","0","0","0","稍微成长了一些？"
"7","240","0","0","0","0","0","0","0","0","0","0","0","0","啾啾！"
"8","0","20","0","0","0","0","0","0","153","154","155","0","0","三个可爱的手下"
"9","0","40","0","0","0","0","0","0","150","157","0","0","0","奇怪的兴趣"
"10","0","50","0","0","0","0","0","0","125","161","0","0","0","别放进去很危险的"
"11","0","60","0","0","0","0","0","0","116","135","0","0","0","这是菜谱吗？"
