1febc074055c0092b373e63625796a6e18fba2c9c39a0e0cc33c902950209a6f,4be7965473891f5a484cde2a7e7a0ee485ac45f08e7d42ed26e100a23ff88474,0c95cb5a88bfbec7523106b20d07d2dc8dd8e0a0bb63d84892fa4a1283191a46,37a10d63d09417bb004d80b8af20dd4cecd57178a361ee066d73824c539cbbcd,6cf40571aa6311d072dbbf7bb564782c6194fec85e6fecb6d2b85bde4da22490,daf3048c3b470e785c278af4b0b04675cbfbcf30e647dde8d83f7882b200ce71,734f702aa3ffa280dd8990869c5b23f12851b8d54cfa4b3705351a437303ae74,35271a118b8c5bc888ada1abc4f1d231d8cc2bf7d742db8308dbcf4cd8a2a85d
"1","1","2","21952","1","96001","10000","1"
"1","2","2","21904","1","96001","5000","1"
"1","3","2","41000","1","96001","5000","1"
"1","4","2","31803","5","96001","1000","5"
"1","5","2","31215","5","96001","750","5"
"1","6","2","31210","5","96001","750","5"
"1","7","2","31211","5","96001","750","5"
"1","8","2","90005","5","96001","625","10"
"1","9","4","140001","10","96001","250","20"
"1","10","2","25001","5","96001","250","10"
"1","11","4","150003","5","96001","50","5"
"1","12","4","150004","5","96001","65","5"
"1","13","4","150005","5","96001","75","5"
"1","14","4","150006","5","96001","90","5"
"1","15","4","150007","5","96001","100","5"
"1","16","4","150008","5","96001","115","5"
"1","17","2","20004","100","96001","250","5"
"1","18","2","22003","100","96001","100","5"
"1","19","2","20004","100","96001","500","0"
"1","20","2","22003","100","96001","200","0"
"2","21","2","21952","1","96002","10000","1"
"2","22","2","21904","1","96002","5000","1"
"2","23","2","41000","1","96002","5000","1"
"2","24","2","31233","5","96002","750","5"
"2","25","2","31229","5","96002","750","5"
"2","26","2","31225","5","96002","750","5"
"2","27","2","90005","5","96002","625","10"
"2","28","4","140001","10","96002","250","20"
"2","29","2","25001","5","96002","250","10"
"2","30","4","150003","5","96002","50","5"
"2","31","4","150004","5","96002","65","5"
"2","32","4","150005","5","96002","75","5"
"2","33","4","150006","5","96002","90","5"
"2","34","4","150007","5","96002","100","5"
"2","35","4","150008","5","96002","115","5"
"2","36","2","20004","100","96002","250","5"
"2","37","2","22003","100","96002","100","5"
"2","38","2","20004","100","96002","500","0"
"2","39","2","22003","100","96002","200","0"
