3936af4e4b6fcc3361066eb9dc344958c68ec9245b812ec5cfc25ca168d1c590,d9e279c90c12c66a395f93290f8e35bf21414d059a7a4d9aa2ad7984597f2547,c1ac64db1aa331311914b053fc5c21567cfcd82f3425a520464e04ab5789c7b9,ea09b65adfb2b93b8abfb50c4992eda49caf32f866dfe5ea7139a8b1668a0808,3d10dd1f2a41c38a2c499195a9e01c7b5c8eca9f7d54e9d3244bf36a8d5d9c03,2aaf2237b875f45d793639bf567c6c6ddf7e88e75b37c57d5cbd69e93f589eba
"2001","「{0}」第{1}天获得的道具。","1","2","0","0"
"2002","在「{0}」获得的道具。","3","0","0","0"
"2003","在「{0}」获得的道具。","4","0","0","0"
"2004","竞技场第{0}名的排名报酬。","5","0","0","0"
"2005","公主竞技场第{0}名的排名报酬。","6","0","0","0"
"2006","{0}月团队战{1}周期赛排位第{2}名的报酬。","10","11","7","0"
"2007","{0}月团队战月排位第{1}名的报酬。","10","8","0","0"
"2008","在{0}获得的报酬。","9","0","0","0"
"2009","{0}月团队战排位第{2}名的报酬。","10","11","7","0"
"2010","「{0}」{1}天的补偿道具。","1","2","0","0"
"2011","「{0}」第{1}天抽取「{2}」时获得的道具。","1","2","16","0"
"2012","「{0}」第{1}天获得的道具。","17","2","0","0"
"2013","在「{0}」获得的道具。","1","0","0","0"
"2014","{0}月团队战到达第{2}周的报酬。","10","11","19","0"
"2015","「{0}」的追加报酬。","20","0","0","0"
"2016","从{0}处收到的道具。","1","0","0","0"
"3001","解锁公会之家2楼获得的道具。","0","0","0","0"
"3002","解锁公会之家3楼获得的道具。","0","0","0","0"
"9101","来自运营的致歉补偿。","0","0","0","0"
"9102","来自运营的补偿。","0","0","0","0"
"9103","请在挑战次数小于4次时领取。","0","0","0","0"
"9201","协助维护的谢礼。","0","0","0","0"
"9202","更新版本的谢礼。","0","0","0","0"
"9203","来自运营的礼物。","0","0","0","0"
"9204","「游戏预约」达到20万人的奖励。","0","0","0","0"
"9205","「游戏预约」达到28万人的奖励。","0","0","0","0"
"9206","「游戏预约」达到30万人的奖励。","0","0","0","0"
"9208","LinksMate的游戏联动特典。","0","0","0","0"
"9209","使用LinksMate的特典。","0","0","0","0"
"9210","LinksMate的星级礼物。","0","0","0","0"
"9211","「DMM版游戏预约」达到10万人的礼物。","0","0","0","0"
"9212","广播1周年纪念直播内环节的特别礼物。","0","0","0","0"
"9213","来自运营的公会之家道具礼物。","0","0","0","0"
"9214","「官方直播　2018　秋」环节的特别礼物。","0","0","0","0"
"9215","露娜之塔更新附赠的礼物。","0","0","0","0"
"9216","任务报酬变更附赠的礼物。","0","0","0","0"
"9217","2周年纪念转发活动中奖者的礼物。","0","0","0","0"
"9218","智（魔法少女）的登场纪念礼物。","0","0","0","0"
"9219","来自运营「失落的龙约」应援纪念公会之家的道具礼物。","0","0","0","0"
"9220","在链接商店中兑换的商品。","0","0","0","0"
"9221","在#巨大佩可活动里中选的奖品。","0","0","0","0"
"9222","在#巨大佩可猫活动里中选的奖品。","0","0","0","0"
"9301","超出持有数上限时获得的体力。","0","0","0","0"
"9302","竞技场的防守奖励。","0","0","0","0"
"9303","公主竞技场的防守奖励。","0","0","0","0"
"9304","行会助战获得的奖励。","0","0","0","0"
"9305","提升品级前在强化装备中使用的一部分道具。","0","0","0","0"
"9306","玩家经验值变换后获得的金币。","0","0","0","0"
"9307","在团队战的讨伐奖励中获得的道具。","0","0","0","0"
"9308","向行会成员问好后获得的玛那。","0","0","0","0"
"9309","超过持有上限后获得的竞技场的时间奖励。","0","0","0","0"
"9310","超过持有上限后获得的竞技场奖励。","0","0","0","0"
"9311","超过持有上限后获得的公主竞技场的时间奖励。","0","0","0","0"
"9312","超过持有上限后获得的公主竞技场奖励。","0","0","0","0"
"9313","超出持有数上限后获得的角色交换报酬。","0","0","0","0"
"9314","扭蛋更新后，未使用的角色交换pt转换为的道具。","0","0","0","0"
"9315","转换体力获得的货币。","0","0","0","0"
"9316","SP庆典角色交换Pt转换为的道具。","0","0","0","0"
"9317","通过好友支援获得的报酬。","0","0","0","0"
"9318","超出持有数上限后获得的特别兑换券报酬。","0","0","0","0"
"9319","购买时获得的道具。","0","0","0","0"
"9320","CSP角色交换Pt换取的道具。","0","0","0","0"
"9321","超过持有上限后获得的记忆碎片交换券奖励。","0","0","0","0"
"9322","阅读剧情获得的道具。","0","0","0","0"
"9323","在大家的日历中获得的道具。","0","0","0","0"
"9324","根据未登录公主竞技场的时间发放的{0}天份排名报酬。","23","0","0","0"
"9325","根据未登录竞技场的时间发放的{0}天份排名报酬。","23","0","0","0"
"9326","因为超出持有上限而获得的骰子。","0","0","0","0"
"9401","每日宝石礼包中的道具。","0","0","0","0"
"9402","7天体力支援礼包中的道具。","0","0","0","0"
"9403","购买道具装备礼包Ⅰ获得的道具。","0","0","0","0"
"9404","购买道具装备礼包Ⅱ获得的道具。","0","0","0","0"
"9405","购买道具装备礼包Ⅲ获得的道具。","0","0","0","0"
"9406","购买道具装备礼包Ⅳ获得的道具。","0","0","0","0"
"9407","购买道具装备礼包Ⅰ（再贩）获得的道具。","0","0","0","0"
"9408","购买道具装备礼包Ⅱ（再贩）获得的道具。","0","0","0","0"
"9409","购买道具装备礼包Ⅲ（再贩）获得的道具。","0","0","0","0"
"9410","购买道具装备礼包Ⅳ（再贩）获得的道具。","0","0","0","0"
"9411","购买道具装备礼包Ⅴ获得的道具。","0","0","0","0"
"9412","购买道具装备礼包Ⅵ获得的道具。","0","0","0","0"
"9413","购买道具装备礼包Ⅰ（特别纪念）获得的道具。","0","0","0","0"
"9414","购买道具装备礼包Ⅱ（特别纪念）获得的道具。","0","0","0","0"
"9415","购买道具装备礼包Ⅲ（特别纪念）获得的道具。","0","0","0","0"
"9416","购买道具装备礼包Ⅳ（特别纪念）获得的道具。","0","0","0","0"
"9417","购买道具装备礼包Ⅴ（特别纪念）获得的道具。","0","0","0","0"
