bc2e6dddef4fcf7739bfc0940162b503143a535b6aeedfe35a6370fa79bfec08,f0dbb269b8a497a94e166a6779bce8100defd78852e7df74a93bd80b2bf4d7d5,162751fa566222a477831c023d18bfff025c8420d34dbf1628cdb2071dd34449,6153a8aff8d754dd8ce9237793d79d0dd9a97d331a1e5924ff7cf2dbd709e761,081829d577eb976ca897885bdd458244bcfe4c3a9d026140ed04562d8fb7cb78,f86238af45a992aad5dad20c77ae30bd448fdbbae91a9425fe4a631bf7171bb3,93e79ecc5be4168c48e1c62b2dd65ae73b2c9ffe8b9e23fc0be2552608b18f4e
"1","1","104701","3","0","2020/04/23 13:00:00","2020/05/07 12:59:59"
"2","2","101001","3","0","2020/05/07 13:00:00","2020/05/15 10:59:59"
"3","2","104301","3","0","2020/05/07 13:00:00","2020/05/15 10:59:59"
"4","3","106301","3","0","2020/05/15 11:00:00","2020/05/28 10:59:59"
"5","4","102801","3","0","2020/05/28 11:00:00","2020/06/08 10:59:59"
"6","5","103601","3","0","2020/06/08 11:00:00","2020/06/23 10:59:59"
"7","6","101201","3","0","2020/06/23 11:00:00","2020/07/06 10:59:59"
"8","7","104401","3","0","2020/07/06 11:00:00","2020/07/20 10:59:59"
"9","8","102901","3","0","2020/07/20 11:00:00","2020/08/03 10:59:59"
"10","9","107501","3","0","2020/08/03 11:00:00","2020/08/18 10:59:59"
"11","10","107701","3","0","2020/08/18 11:00:00","2020/08/30 10:59:59"
"12","11","107801","3","0","2020/08/30 11:00:00","2020/09/15 10:59:59"
"13","12","107901","3","0","2020/09/15 11:00:00","2020/09/28 08:59:59"
"14","13","103701","3","0","2020/09/28 09:00:00","2020/10/09 10:59:59"
"15","14","104301","3","0","2020/10/09 11:00:00","2020/10/16 10:59:59"
"16","15","170101","3","0","2020/10/16 11:00:00","2020/10/26 10:59:59"
"17","16","108101","3","0","2020/10/26 11:00:00","2020/11/10 10:59:59"
"18","17","108301","3","0","2020/11/10 11:00:00","2020/11/23 10:59:59"
"19","18","107101","3","0","2020/11/23 11:00:00","2020/11/30 10:59:59"
"20","19","105601","3","0","2020/11/30 11:00:00","2020/12/10 08:59:59"
"21","20","104401","3","0","2020/12/10 09:00:00","2020/12/20 10:59:59"
"22","21","108401","3","0","2020/12/20 11:00:00","2020/12/30 10:59:59"
"23","22","170201","3","0","2020/12/30 11:00:00","2021/01/08 10:59:59"
"24","22","170101","3","0","2020/12/30 11:00:00","2021/01/08 10:59:59"
"25","23","108601","3","0","2021/01/08 11:00:00","2021/01/18 08:59:59"
"26","24","108801","3","0","2021/01/18 09:00:00","2021/01/22 10:59:59"
"27","24","107101","3","0","2021/01/18 09:00:00","2021/01/22 10:59:59"
"28","25","108801","3","0","2021/01/22 11:00:00","2021/02/01 10:59:59"
"29","26","108701","3","0","2021/02/01 11:00:00","2021/02/14 10:59:59"
"30","27","109101","3","0","2021/02/14 11:00:00","2021/03/01 10:59:59"
"31","28","106101","3","0","2021/03/01 11:00:00","2021/03/15 10:59:59"
"32","29","101401","3","0","2021/03/15 11:00:00","2021/03/30 10:59:59"
"33","30","105501","1","0","2021/03/30 11:00:00","2021/04/12 10:59:59"
"34","30","106301","3","0","2021/03/30 11:00:00","2021/04/12 10:59:59"
"35","30","101501","2","0","2021/03/30 11:00:00","2021/04/12 10:59:59"
"36","31","103601","3","0","2021/04/12 11:00:00","2021/04/17 08:59:59"
"37","31","104901","3","0","2021/04/12 11:00:00","2021/04/17 08:59:59"
