2aafb07b8b839f8bdb00baee33d372b9026a1d08196eea47e789992b5811f1ba,e362ced32948963bf6e14054cce0e32b4193c2a7b33df711f94c4aaa6e31318d,4fd205fa6fc595da55a45d83e61e9373e2b3fcf38c41e6927a93c937962fe89b,d614fa57df47676caef6856f2d10d4c23d1f105e7cd9a53d89e343c56a86c0f2,e9edfe394fff37a4f8e04d85d81b88ea6f9a12be39f1d8f0396ad30f1e51133b,3637eef44d8556e40d5ebc8e1b168acbf76fda3820c6a98a1d5fcd84fa198b61,38ab51e3b88876c1408c84978fa641073c0cb4cb40e3388bff5eeb57b44c6e75,6facb1df33823f4b6e26402670e2ffac795bab4cd041d3b0746251a196b4c165,99c2f10122938e4401287b26575aa8cb1c49d78055742e535a817cdc4ec6c57a,7daf1f1d24996073ca2f2ca2fb3a59dd278b12a01c536196f0211fcd1946d59c,e85f861b262341d0cfc7890392c0dd303821fef698972acb2c807cf6b8d52a1e,cfcd287f23fa10377d737155fc30c63f1a3e7ba60fd6586a09a1097611cde823,7a26b1744c2ff1d4c6d931db496ea4b939e4d469aebd8a17018efbf0b19003f9,d8873ff8e29592242136a1b710ce42fba48fe77806253193813e8c51d4fae461,abed1a8ce0ab7b3fd342ec6c464fad7c6e0950e26f41e6581e6823898d8d4246,d018b5635fc03b26cdf4bf3429d7c6bbef95ed3dc6b72e7ed8e736021ac26b7b,a3e33e69cc8b4ca83dd005b6ca607a46735f0984d1fcbf164a92c513fac0c71f,dbcdeab7c11ffdfd8a988e0948b2b12f084ecc1137f4c54483d895e23de0dc94
"1","20000","累计获得20000以上的分数吧","12","94002","5000","0","0","0","0","0","0","0","0","0","0","0","0"
"2","40000","累计获得40000以上的分数吧","12","94002","10000","0","0","0","0","0","0","0","0","0","0","0","0"
"3","60000","累计获得60000以上的分数吧","12","94002","15000","0","0","0","0","0","0","0","0","0","0","0","0"
"4","80000","累计获得80000以上的分数吧","12","94002","20000","0","0","0","0","0","0","0","0","0","0","0","0"
"5","100000","累计获得100000以上的分数吧","8","91002","50","2","23001","5","0","0","0","0","0","0","0","0","0"
"6","120000","累计获得120000以上的分数吧","12","94002","25000","0","0","0","0","0","0","0","0","0","0","0","0"
"7","140000","累计获得140000以上的分数吧","12","94002","30000","0","0","0","0","0","0","0","0","0","0","0","0"
"8","160000","累计获得160000以上的分数吧","12","94002","35000","0","0","0","0","0","0","0","0","0","0","0","0"
"9","180000","累计获得180000以上的分数吧","12","94002","40000","0","0","0","0","0","0","0","0","0","0","0","0"
"10","200000","累计获得200000以上的分数吧","8","91002","50","2","23001","5","0","0","0","0","0","0","0","0","0"
"11","220000","累计获得220000以上的分数吧","12","94002","55000","0","0","0","0","0","0","0","0","0","0","0","0"
"12","240000","累计获得240000以上的分数吧","12","94002","35000","0","0","0","0","0","0","0","0","0","0","0","0"
"13","260000","累计获得260000以上的分数吧","12","94002","40000","0","0","0","0","0","0","0","0","0","0","0","0"
"14","280000","累计获得280000以上的分数吧","12","94002","45000","0","0","0","0","0","0","0","0","0","0","0","0"
"15","300000","累计获得300000以上的分数吧","15","11001021","1","8","91002","150","2","23001","10","0","0","0","0","0","0"
