33de8b2a5ffee5b780eb022c1e98bd1bc1c77f7e07960d1db078acd831c20e14,89942cecc88a9695656fae5d21b9e06ec198d092588707061e7d16d9b81d7c43,cb356c85ddd8355ead28973bd2b66935513ef0893301960320e85d757076ad19,727aa6d14883469eb9b8543f24e27dc81a10aab28431c054cc73434625e3a183,d400285965ca8329f93e3e6a41957f4ae18a37511605882b94a50618a0ad6586,873a7c325ef08391a922866938f3edcf4d136d1623ab7b0a7b99ecd29cc03110,b4ea4db4e6266e11453b78db1dd7a4edfe4f2a0fc2b2f280fa6aac0a5106d2e0,aa67e98da42b2dc1ea5c232790d5c1c02bd64a1ec7ec2a3e5255d42228b90385
"1","1","52001","1","1","【料理】骰子增加至两个","0","0"
"2","1","52002","1","1","【料理】投掷骰子的结果必定是“1”","0","0"
"3","1","52002","3","2","【料理】跳过本次的回合计数","0","0"
"4","1","52004","1","1","【料理】投掷骰子的结果必定是“4”","0","0"
"5","1","52006","1","1","【料理】投掷骰子的结果\n会是“4、5、6”其中的一个","0","0"
"6","1","52007","1","1","【料理】第一次投掷骰子的结果必定是“3”，第二次必定是“6”","0","0"
"7","1","52003","1","1","【料理】投掷骰子的结果必定是“5”","0","0"
"8","1","52008","2","7","【料理】里程格子获得的里程提升200%","0","0"
"9","2","4","3","2","【事件】跳过本次的回合计数","0","0"
"10","2","5","2","3","【事件】里程格子获得的里程提升100%","0","0"
"11","2","6","2","5","【事件】小游戏获得的里程提升100%","0","0"
"12","2","7","3","4","【事件】里程商店里所有商品享有20%以上的折扣","0","0"
"13","1","52009","1","1","【料理】第一次投掷骰子的结果必定是“8”，第二次必定是“1”","0","0"
"14","1","52010","2","6","【料理】“里程格子”、“宝\n藏格子”、“商店格子”上升一个品级","0","0"
"15","1","52011","1","1","【料理】第一次投掷骰子的结果必定是“2”，第二次必定是“7”","0","0"
"16","1","52012","1","1","【料理】投掷骰子的结果\n会是“1、2、3”其中的一个","0","0"
"17","1","52012","3","2","【料理】跳过本次的回合计数","0","0"
"18","1","52014","1","8","【料理】移动时会跳过里程格子。","0","0"
"19","1","52005","1","1","【料理】下次移动时会多走一个格子。","0","0"
"20","1","52014","1","1","【料理】下次移动时会多走一个格子。","2","2"
"21","1","52015","1","1","【料理】骰子增加至两个","0","0"
"22","1","52015","1","1","【料理】下次移动时会多走一个格子。","0","0"
"23","1","52016","1","1","【料理】骰子必然掷出“6”","0","0"
