272f437979248026111a9951271bef7fd69042f723ca6d501f19a8cfb077d250,d62ada4a72477a59ce58563dd0c32d4e12d0c9c71fe12f3e6fd3ee6cd56eb59c,a061310ddf26eb6c66247e5bc7b1be1ce4c2283cd80c2efd8ec1917217996d82,c6a3ab643bbf102a6381648fd59feef391ea526b05950866f91d3f9a2af69c1c,ff703de46e26655b5a1fd85f85255b0a64edcbda3ee6de412a2215b79932ed2b,c6c28a2822948df2afe07070fe37cd1e6199de0922de05d405f8e983721adb15,ed9be655c12b95e45cc2add8c87342b3c4ece8d4107dcdb6ed714b5e8e3c0584,98c015411862312a51de2b45803171c37e9e1e88468ff29ee23e18e7a0efd7bc,89ffad42deab10ab742d5672204274fd407eeec3958271e3cbb99ffb915d0ad8,2bfa207f83ea49376376193467dcfd0b9aa37512dcaaa3f296cca138e5f9fe9b,ee2d248dba8fa7235b05e1dbefd73469ca260ed49cebdb21edfca20043f00ddc,0f2cfbfa9e19e55b1b4e3af733337e514b8c9779ca1c86663465db2416289409,926870ee6aab142ab1bcfbc56275217d0aef608b468fb4b702c9e0131c5f3995
"11120101","1","1","1201","0","0","0","8","0","8","0","vo_minigame_1012_correct_107","그거면 돼!"
"11120102","1","1","1201","0","0","0","8","0","8","0","vo_minigame_1012_correct_108","응, OK!"
"11120103","1","1","1201","0","0","0","1","0","1","0","vo_minigame_1012_correct_109","컨디션 좋네!"
"11120201","1","1","1202","-1","13333","0","1","0","1","0","vo_minigame_1012_correct_115","차분히 해도 돼!"
"11120202","1","1","1202","-1","13333","0","9","0","9","0","vo_minigame_1012_correct_117","맞히면 괜찮아!"
"11120301","1","1","1203","0","0","0","1","0","1","0","vo_minigame_1012_correct_118","대단하네!"
"11120302","1","1","1203","0","0","0","5","0.01","5","8","vo_minigame_1012_correct_119","이걸 알아!?"
"11120401","1","1","1204","0","0","0","1","0","1","0","vo_minigame_1012_correct_125","이건 문제없네!"
"11120501","1","1","1205","0","0","0","7","0.01","7","4","vo_minigame_1012_correct_123","복습 완벽하네!"
"11120601","1","1","1206","-1","3","0","8","0","8","0","vo_minigame_1012_correct_128","연속으로 정답이야!"
