5f75fbc0c2c1f89568bdca35b43f769176790b989d9a6f15b0b2270d0b027049,b1ca21bae5586b6478f7597e9aea5e0da2df97cdafd02dd398afe6d95ce623da,73f4ae94b976d453290fb2dccd06f47d666b4fb75471a8b6d5a4f8eae3dede1d,b98e089d2659b153d3e937bc9ff8276f5ae087b0c12c548f7065a4552fa49769,2ecb0318446218575796a7a65d8093387de8947b96c666583d4be0d531f2e1dd,1b046223fc930a84d85bdc1b7e55d0fe7b5061e0beefa58f7d9d4fdc4c4fa5d7,3201eebe49dd3cb9d149157e5d9991cd6b5ce66a3942a5ec2398ef16c4cc138c,40a54edc9aa27af9355aa7afe243afbe261af83ad759ca9458f5fc8cb3f5ed91,75043fca801cea1a675788c8202a7cb270f34825b7ac20c8d81fd547964dc20c,953d55cfb83c55e1abc612f719bbd1d2faf182db11d5e0101b04f3a5edee7bda,34c46f4221baf96c1219030ef7da7a98a2a7562411d29a47f50884f614c3e668
"11010001","101","1","1","110931","110","-421","-209.3","1.35","0","nyx_idle_normal"
"11010002","101","1","1","104831","110","121.8","-182.5","1.35","0","nyx_idle_normal"
"11010003","101","1","1","104631","110","227.7","-182.5","1.35","0","nyx_idle_normal"
"11010004","101","1","1","103231","110","340.3","-182.5","1.35","1","nyx_talk_normal"
"11010005","101","1","1","103431","110","449.6","-182.5","1.35","1","nyx_idle_normal"
"11010006","101","5","2","2","120","-421","-209.3","1.35","0","NoItem"
"11010007","101","31","1","1","0","0","1","1","",""
"11010008","101","31","15","3","-300","0","1","0","",""
"11010009","101","31","15","4","-300","0","1.5","0","",""
"11010010","101","25","bgm_M347","bgm_M347","","","","","",""
"11010011","101","93","2","","","","","","",""
"11010012","101","3","2","nyx_101_chieru_01","0","nyx_101_chieru_loop","1","0.2","",""
"11010013","101","3","110931","nyx_101_chieru_01","0","nyx_101_chieru_loop","1","0.2","",""
"11010014","101","11","110931","치에룬♪\n처음에는 아무튼\n임팩트!","10","","","","",""
"11010015","101","93","0.4","","","","","","",""
