story_id,story_seq,story_phase,title,sub_title,read_condition_time,condition_quest_id,condition_boss_count,adv_flg,adv_id
"11","1","1","","","0","20023105","0","1","5038600"
"12","2","1","고등부 1학년 치에루","다음 세대로 계승해야 할 새로운 언어","0","20023105","0","0","0"
"13","3","1","고등부 2학년 클로에","저는 작문을 엄청 못합니다","0","20023107","0","0","0"
"14","4","1","고등부 3학년 유니","비상에 다다를 때까지","0","20023109","0","0","0"
"21","5","2","","","0","20023111","0","2","5038601"
"22","6","2","기입 담당 아키노","떠올랐어요!","0","20023111","0","0","0"
"23","7","2","기입 담당 타마키","조립이다냥!","0","20023112","0","0","0"
"24","8","2","기입 담당 유카리","내가 이런 걸 썼던가…?","0","20023113","0","0","0"
"25","9","2","기입 담당 미후유","이대로 둘 수는 없어","0","20023114","0","0","0"
"26","10","2","총괄","특별 강좌를 마치며","0","20023115","0","0","0"
"31","11","3","","","0","20023115","1","2","5038602"
"32","12","3","낭만 계승 계획","개발기 - 고찰","0","20023115","1","0","0"
"33","13","3","완전히 충족되지 않은 계획","개발기 - 시제품 완성","0","20023115","2","0","0"
"34","14","3","화룡점정 계획","개발기 - 최종 공정","0","20023115","3","0","0"
"35","15","3","","","2023/02/14 15:00:00","20023115","3","3","5038603"
