tbl,idx,stat
"caravan_goal_bonus","caravan_goal_bonus_0_season_id","13 13"
"trial_battle_data","trial_battle_data_0_category_id","25 5"
"event_gacha_data","event_gacha_data_0_event_id","122 1"
"hatsune_quiz","hatsune_quiz_0_event_id_1_release_quest_id","8 4 1"
"hatsune_quiz","hatsune_quiz_0_event_id","8 4"
"goldset_data_2","","70"
"clan_battle_training_schedule","clan_battle_training_schedule_0_clan_battle_id","27 1"
"caravan_map","caravan_map_0_season_id","319 319"
"tdf_battle_effect","tdf_battle_effect_0_quest_id","94 3"
"ssp_story_data","ssp_story_data_0_contents_type","22 6"
"ssp_story_data","ssp_story_data_0_original_event_id","22 22"
"hatsune_special_battle","hatsune_special_battle_0_wave_group_id","309 1"
"hatsune_special_battle","hatsune_special_battle_0_event_id","309 3"
"hatsune_special_battle","sqlite_autoindex_hatsune_special_battle_1","309 3 1"
"event_introduction","event_introduction_0_event_id","87 1"
"stamp","","89"
"dungeon_area_data","","7"
"legion_add_times_data","","168"
"hatsune_boss_enemy_setting","hatsune_boss_enemy_setting_0_boss_id_1_event_id","65 3 3"
"hatsune_boss_enemy_setting","sqlite_autoindex_hatsune_boss_enemy_setting_1","65 3 1"
"fix_lineup_group_set","fix_lineup_group_set_0_team_level_from_1_team_level_to","37 4 3"
"fix_lineup_group_set","sqlite_autoindex_fix_lineup_group_set_1","37 6 1 1"
"sekai_top_data","sekai_top_data_0_sekai_id","34 12"
"room_release_data","","3"
"tdf_top_offset","","5"
"cgg_game_settings","","1"
"fke_reward","","1"
"nyx_phase_data","","3"
"event_boss_treasure_box","","466"
"shiori_event_list","shiori_event_list_0_series_event_id","41 21"
"shiori_event_list","shiori_event_list_0_original_event_id","41 1"
"grand_arena_max_season_rank_reward","","118"
"birthday_login_bonus_data","","210"
"sp_lose_voice","","4"
"caravan_effect_setting","caravan_effect_setting_0_scene_type_1_effect_type","26 4 2"
"caravan_effect_setting","caravan_effect_setting_0_scene_type","26 4"
"legion_battle_bonus_effect","","124"
"legion_battle_bonus","legion_battle_bonus_0_type_1_legion_boss_id","124 62 16"
"legion_battle_bonus","legion_battle_bonus_0_type","124 62"
"arcade_description","arcade_description_0_arcade_id_1_type","4 4 4"
"arcade_description","arcade_description_0_arcade_id","4 4"
"mhp_drama_script","mhp_drama_script_0_drama_id","2814 83"
"ske_story_script","ske_story_script_0_story_id","737 67"
"event_wave_group_data","","4518"
"hatsune_quest_area","hatsune_quest_area_0_event_id","308 3"
"goldset_data_teamlevel","","300"
"promotion_bonus","promotion_bonus_0_unit_id","468 2"
"promotion_bonus","sqlite_autoindex_promotion_bonus_1","468 2 1"
"sre_battle_bonus_effect","","197"
"sjr_reward","","15"
"nyx_story_script","nyx_story_script_0_story_id","785 72"
"dear_setting","","28"
"secret_dungeon_quest_data","secret_dungeon_quest_data_0_dungeon_area_id_1_difficulty","300 50 10"
"secret_dungeon_quest_data","secret_dungeon_quest_data_0_dungeon_area_id_1_floor_num","300 50 5"
"arena_max_rank_reward","","79"
"birthday_login_bonus_drama_script","birthday_login_bonus_drama_script_0_drama_id","3897 58"
"growth_restriction_unit","growth_restriction_unit_0_growth_id","19 1"
"sre_quest_difficulty_data","sqlite_autoindex_sre_quest_difficulty_data_1","21 3 1"
"pct_combo_coefficient","","6"
"campaign_freegacha_data","","114"
"actual_unit_background","","226"
"room_effect_reward_get","sqlite_autoindex_room_effect_reward_get_1","122 9 1"
