daf3aeca9ce89d1a582f990d7408a6cf090d9b62c40ed0f5cb900d4ce5715d65,b2fd9e600d2463f1d5cc034f84831157428605402d35e7d616505f70c2800c99,45e43b1d667c8b74536a4bec7d78ce6c7abf58b4ac43d782967b190c5ca2d383,98c76a0a90fdd8f73c5b340ae93dade98369e4d9cbd2aa7e8b1504c320069b19,e0d0f6c865b068a2e2fa4ccedd01c94c8217bb3be9d7e51e4c7000ef371b50b2,86cc708457f83ac4afb285285e10c1b7d536c7495f1f9714cff0c4b68c77c44d,9fcbbdae5dac14904f1eff989d7f6e1026d355683d6d2825a45402ba9d9147e2,8d835e59bf75d9aa5b3f95b1f569858cb71c6d1eb74c62e22035668ccd77eaa9,1300bc5016772149a35310ab514aad2ce90946e1818326ec14de7d1eb6f01ce6,9a531789d421fe009da423dd7ea0837c7e988e1cefc7eb4e3e5787aaec230fb3,a37d3a340fe662d4147392da376de255cb91e968f92e273961e07df06b53b535,c241d9c35575f999ab9495f46b7b11a23e6432858150c8974f353c86f454a922,98bf615e18d24a727576eebc6d26e9d34e527132bea89621d8da851b64b14072
"1001","4","0","1","1","2","bgm_M90","1","2019/04/19 15:00:00","2019/05/21 14:59:59","2019/04/12 12:00:00","2019/04/17 11:59:59","2019/04/16 11:59:59"
"1002","5","1001","1","1","2","bgm_M97","2","2019/05/21 15:00:00","2019/06/18 14:59:59","2019/05/14 12:00:00","2019/05/19 11:59:59","2019/05/18 11:59:59"
"1003","6","1002","1","1","2","bgm_M104","1","2019/06/18 15:00:00","2019/07/17 14:59:59","2019/06/11 12:00:00","2019/06/16 11:59:59","2019/06/15 11:59:59"
"1004","7","1003","1","1","2","bgm_M115","2","2019/07/17 15:00:00","2019/08/20 14:59:59","2019/07/10 12:00:00","2019/07/15 11:59:59","2019/07/14 11:59:59"
"1005","8","1004","1","1","2","bgm_M119","1","2019/08/20 15:00:00","2019/09/20 14:59:59","2019/08/13 12:00:00","2019/08/18 11:59:59","2019/08/17 11:59:59"
"1006","9","1005","1","1","2","bgm_M132","2","2019/09/20 15:00:00","2019/10/21 14:59:59","2019/09/13 12:00:00","2019/09/18 11:59:59","2019/09/17 11:59:59"
"1007","10","1006","1","1","2","bgm_M139","1","2019/10/21 15:00:00","2019/11/19 14:59:59","2019/10/14 12:00:00","2019/10/19 11:59:59","2019/10/18 11:59:59"
"1008","11","1007","1","1","2","bgm_M166","2","2019/11/19 15:00:00","2019/12/24 14:59:59","2019/11/12 12:00:00","2019/11/17 11:59:59","2019/11/16 11:59:59"
"1009","12","1008","1","1","2","bgm_M175","1","2019/12/24 15:00:00","2020/01/21 14:59:59","2019/12/17 12:00:00","2019/12/22 11:59:59","2019/12/21 11:59:59"
"1010","1","1009","1","1","2","bgm_M181","2","2020/01/21 15:00:00","2020/02/19 14:59:59","2020/01/14 12:00:00","2020/01/19 11:59:59","2020/01/18 11:59:59"
