5ea51c6703f5362a3f7889f6d6051305d1ebd2d6571f932a7c8f343fc30e0db2,bed354371921a38f19ea2a843e75e336da6ad2f321d5966ce50d8500b5aaead3,32cc80d376192a178e076890befec6dee7b33e47e756ff82285b498e3a116986,6e082b00ffb9733fdc85f8e3bd1dcbdda698066c37cfc0552f21b34f475b059e,7e6e5f891e4ce07ab96cab38fea64fbb4537f11297bca87c2fdd7a73de62597a,e29502e53aef3e76254c61377b7989211910932fee55a30c484059682b6dbfaf,735257b2aa59a540eccbedf381a5dfda94a6bfdb02160c4c81be0397ccfabeb6,e1c8598326ed14feeb355063e06a0c4844bc4a13a6bb416fbc82a62f45c45641,a62a9f5ad47bd196652591b2205d4d8521790eccc4319cc285c7ab73184c8cff,8127a20b13350564ba5956cd8488b807570ac0f47949c0a9a53516a1104cd6b3,d61dfeb358decbf6664cecb98344f3481d4557deeef83df44c23f533cebc7b2c,31c20ca96704bb3ffe713a9515e502cc85ef55d9aca1f0754cfac70fb6f98d4b,a1fd2c845c24d2a582b72b4dd3010258f8566b93cbb91dfce8b665de0460bcb6,b8f4838cdf89e74e598ba101ba6ac89c37d026b311357c6de7c827bc65e97d87,b596a6e4cd4804f1864403d18e103f56cbca564f4a8b5a66ad2bb05c80b194a9,311fc86bdaf773d925e07eb14bb1ea84dc03b94592d386c9f21fc9ecbf14bd2a,b3be5bea0bf7017a03754abdf7c1d1276d129317b4506959bd987a96507662a1,2fb04d9450c28721fa9171dee8834726ef48ad5fa6f6b5cd10292b2cf9429a6c,d11aa4945b1a534f712a9f69d98654eabe2492b18b0efd4cb9f34725b90db253,39b84df7200908514255410c902565c4cd6a304303577dc69bd1a40d2061e007
"1001","1","클랜전 시작! 클랜 멤버와 협력하여\n몬스터를 토벌하자!","101011","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!","101011","0","0","0","2019/04/19 15:00:00","2019/04/30 23:59:59","2019/05/01","2019/05/21 14:59:59","2019/05/01","2019/05/05 17:00:00","2019/05/21 14:59:59","90","40004","25","0"
"1002","1","클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!","101021","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!","101021","0","0","0","2019/05/21 15:00:00","2019/05/29 23:59:59","2019/05/30","2019/06/18 14:59:59","2019/05/30","2019/06/04 15:00:00","2019/06/18 14:59:59","90","40004","25","0"
"1003","1","클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!","101042","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!","101042","0","0","0","2019/06/18 15:00:00","2019/06/27 23:59:59","2019/06/28","2019/07/17 14:59:59","2019/06/28","2019/06/28 15:00:00","2019/07/17 14:59:59","90","40004","25","0"
"1004","1","클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!","101161","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!","101161","0","0","0","2019/07/17 15:00:00","2019/07/28 23:59:59","2019/07/29","2019/08/20 14:59:59","2019/07/29","2019/08/02 15:00:00","2019/08/20 14:59:59","90","40004","25","0"
"1005","1","클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!","101171","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!","101171","0","0","0","2019/08/20 15:00:00","2019/08/29 23:59:59","2019/08/30","2019/09/20 14:59:59","2019/08/30","2019/09/02 15:00:00","2019/09/20 14:59:59","90","40004","25","0"
"1006","1","클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!","101191","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!","101191","0","0","0","2019/09/20 15:00:00","2019/09/29 23:59:59","2019/09/30","2019/10/21 14:59:59","2019/09/30","2019/10/02 15:00:00","2019/10/21 14:59:59","90","40004","25","0"
"1007","1","클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!","101202","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!","101202","0","0","0","2019/10/21 15:00:00","2019/10/30 23:59:59","2019/10/31","2019/11/19 14:59:59","2019/10/31","2019/11/01 15:00:00","2019/11/19 14:59:59","90","40004","25","0"
"1008","1","클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!","101292","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!","101292","0","0","0","2019/11/19 15:00:00","2019/11/28 23:59:59","2019/11/29","2019/12/24 14:59:59","2019/11/29","2019/12/02 15:00:00","2019/12/24 14:59:59","90","40004","25","0"
"1009","1","클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!","101302","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!","101302","0","0","0","2019/12/24 15:00:00","2019/12/31 23:59:59","2020/01/01","2020/01/21 14:59:59","2020/01/01","2020/01/02 15:00:00","2020/01/21 14:59:59","90","40004","25","0"
"1010","1","클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!","101441","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!","101441","0","0","0","2020/01/21 15:00:00","2020/01/29 23:59:59","2020/01/30","2020/02/18 14:59:59","2020/01/30","2020/01/30 15:00:00","2020/02/18 14:59:59","90","40004","25","0"
