cbf94c832753e3d3f7f2a23b56d823a7728482f01e957ece3b273f2b659f7760,003db13e099536d5a3fdf4c4ef0307216558005910b0477fbceceb55e384da9b,8114ddfeb7ef2a014ea24ca0c05e89270cb1c8a13c9e5a19605d198168667024,af94c6475685952e15364b1481d5265bfc05688c1897eb92045728ac67718421,f1672c1c7e62fe0ddd29431c049be1a22987c33dd7d2530cc3546a9eb6a3300c,48cfe7378f8e780bfdc8b8c966eaaa2a122ec803bdc53175d7cfe792f1521dff,d258e1556e3afd2dc2da5fee10b01257edfb4d473f9476bf4457a6c09a5f86bf
"10101","츠무기의 피규어","3","1","0.3046875","0.478515625","세세한 디테일에 신경 쓴 약동감 넘치는 최고의 츠무기\n피규어. 최고의 라이브가 주는 열기와 감동이 선명하게 상기돼 하루하루\n활력을 선사한다."
"10102","노조미의 피규어","3","1","0.365234375","0.490234375","세세한 디테일에 신경 쓴 약동감 넘치는 최고의 노조미\n피규어. 최고의 라이브가 주는 열기와 감동이 선명하게 상기돼 하루하루\n활력을 선사한다."
"10103","치카의 피규어","3","1","0.291015625","0.478515625","세세한 디테일에 신경 쓴 약동감 넘치는 최고의 치카\n피규어. 최고의 라이브가 주는 열기와 감동이 선명하게 상기돼 하루하루\n활력을 선사한다."
"10201","츠무기 친필 사인지","3","2","0.440625","0.440625","츠무기의 개성이 빛나는 친필 사인지. 마음이 담긴 메시지가\n들어가 있다. 가보로 삼은 팬도 많다고 한다."
"10202","노조미 친필 사인지","3","2","0.440625","0.440625","노조미의 개성이 빛나는 친필 사인지. 마음이 담긴 메시지가\n들어가 있다. 가보로 삼은 팬도 많다고 한다."
"10203","치카 친필 사인지","3","2","0.440625","0.440625","치카의 개성이 빛나는 친필 사인지. 마음이 담긴 메시지가\n들어가 있다. 가보로 삼은 팬도 많다고 한다."
"10301","츠무기의 메모리얼 핀 배지","3","3","1.40625","1.40625","츠무기의 서머 라이브 한정 메모리얼 핀 배지. 고급스러운 느낌이 있고\n세련된 디자인. 각 멤버 디자인은 퍼스널 컬러를 재현.\n노려라, 풀 컴플리트!"
"10302","노조미의 메모리얼 핀 배지","3","3","1.40625","1.40625","노조미의 서머 라이브 한정 메모리얼 핀 배지. 고급스러운 느낌이 있고\n세련된 디자인. 각 멤버 디자인은 퍼스널 컬러를 재현.\n노려라, 풀 컴플리트!"
"10303","치카의 메모리얼 핀 배지","3","3","1.40625","1.40625","치카의 서머 라이브 한정 메모리얼 핀 배지. 고급스러운 느낌이 있고\n세련된 디자인. 각 멤버 디자인은 퍼스널 컬러를 재현.\n노려라, 풀 컴플리트!"
"10304","카르미나 메모리얼 핀 배지","3","3","1.40625","1.40625","서머 라이브 개최를 기념해 만들어진 한정 메모리얼 핀 배지.\n엠블럼이 각인된 고급스러운 느낌의 귀한 물건. 각 멤버의\n배지와 함께 구비하자!"
"10401","츠무기의 브로마이드","2","7","1.0875","0.675","츠무기의 브로마이드. 엄선된 사랑스러운 표정을 바라보면\n츠무기에 대한 뜨거운 마음이 틀림없이 한층 더 높아질 것이다."
