ailment_id,ailment_action,ailment_detail_1,ailment_name
"1","8","1","슬로우"
"2","8","2","헤이스트"
"3","8","3","마비"
"4","8","4","정지"
"5","8","5","바인드"
"6","8","6","수면"
"7","8","7","스턴"
"8","8","8","석화"
"9","8","9","구류"
"10","9","0","구류(데미지)"
"11","9","1","독"
"12","9","2","화상"
"13","9","3","저주"
"14","11","0","매혹"
"15","12","-1","어둠"
"16","13","-1","침묵"
"17","30","-1","즉사"
"18","3","-1","넉백"
"19","11","1","혼란"
"20","9","4","맹독"
"21","56","-1","천리안"
"22","59","-1","회복 저해"
"23","61","-1","패닉"
"24","60","-1","각인 부여"
"25","62","-1","공포"
"26","69","-1","순록 변신"
"27","8","10","기절"
"28","9","5","저주"
"29","70","-1","HP 변화"
"30","8","11","시간 정지"
"31","76","-1","HP 회복량 감소"
"32","78","-1","약체 피격 데미지 상승"
"33","79","-1","행동 시 독 데미지"
"34","8","14","스턴(별도 기준)"
"35","9","7","독(별도 기준)"
"36","9","8","저주(별도 기준)"
"37","11","2","혼란(별도 기준)"
"38","8","13","결정화"
"39","83","1","슬로우(가산 가능)"
"40","83","2","헤이스트(가산 가능)"
